cycle,timestamp,pH,conductivity,temperature,ORP,LSI,RSI,risk_level,primary_risk,preemptive,doses,blowdown,slug_doses,cost_inr,safety_overrides,emergency_stop
1,0.000161,7.8,2184.6153846153848,32.86168778844914,612.7342338795025,0.5782851560258147,6.6434296879483705,LOW,scaling,False,"{'AQUATREAT-2501': 0.0, 'AQUATREAT-1196': 0.0, 'AQUATREAT-2150': 0.0, 'AQUATREAT-4612': 0.0, 'AQUATREAT-6625': 0.0}",0.0,"{'AQUATREAT-3331': 120.0, 'AQUATREAT-399': 120.0}",21600.0,0,False
2,1704067200.0,8.3,525.0,32.06911595161149,649.3777709024838,0.5164016789913806,7.26719664201724,LOW,biofouling,False,"{'AQUATREAT-2501': 0.4167, 'AQUATREAT-1196': 1.0417, 'AQUATREAT-2150': 0.0327, 'AQUATREAT-4612': 0.125, 'AQUATREAT-6625': 0.125}",0.0,{},377.35,5,False
3,1704067500.0,8.41,555.0,32.92787693818305,629.9134593643289,0.6998600407337037,7.010279918532593,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.5417, 'AQUATREAT-1196': 1.3542, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.1625, 'AQUATREAT-6625': 0.1625}",0.0,{},492.42,5,False
4,1704067800.0,8.4,625.0,32.078208671993885,674.0436759346495,0.7534408130965602,6.89311837380688,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.7042, 'AQUATREAT-1196': 1.7604, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.2113, 'AQUATREAT-6625': 0.2113}",0.0,{},640.14,5,False
5,1704068100.0,8.24,607.0,32.430564867208915,677.4746240095568,0.5478982858005343,7.1442034283989315,LOW,biofouling,False,"{'AQUATREAT-2501': 0.8333, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.25}",0.0,{},759.46,1,False
6,1704068400.0,8.14,625.0,32.61256337004664,635.3903143991465,0.4588251933565246,7.222349613286951,LOW,biofouling,False,"{'AQUATREAT-2501': 0.8333, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.25}",0.0,{},765.8,1,False
7,1704068700.0,7.26,729.0,32.439931462789175,632.6223303703683,-0.3967404703377415,8.053480940675483,LOW,biofouling,False,"{'AQUATREAT-2501': 0.1229, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.1428, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.25}",0.0,{},646.15,2,False
8,1704069000.0,8.11,652.0,32.93804379418124,650.8884064927514,0.4395289707609473,7.230942058478105,LOW,biofouling,False,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.1856, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.25}",0.0,{},664.74,2,False
9,1704069300.0,8.05,739.0,32.229123116299945,647.0647449428195,0.3947147764420249,7.260570447115951,LOW,biofouling,False,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.2413, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.25}",0.0,{},687.67,2,False
10,1704069600.0,8.6,603.0,33.34260865931737,663.2520605916847,0.885948317430973,6.828103365138054,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 2.0833, 'AQUATREAT-2150': 0.25, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.25}",0.0,{},701.53,1,False
