CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,TSS,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2024-04-01 00:00:00,8.3,5,,NIL,525,352,137,105,32,29,-,-,NIL,-,,,12
2024-04-02 00:00:00,8.41,9,,NIL,555,372,146,114,32,36,-,-,NIL,-,,,15
2024-04-03 00:00:00,8.4,5,,0.5,625,419,160,123,37,36,-,-,NIL,-,,,14
2024-04-04 00:00:00,8.24,9,,0.5,607,407,161,112,49,36,-,-,NIL,-,,,17
2024-04-05 00:00:00,8.14,17,,0.6,625,419,165,111,54,37,-,-,NIL,-,,,18
2024-04-08 00:00:00,7.26,17,,NIL,729,489,157,103,54,25,-,-,NIL,-,,,12
2024-04-09 00:00:00,8.11,16,,NIL,652,437,170,108,62,25,-,-,NIL,-,,,13
2024-04-10 00:00:00,8.05,16,,0.4,739,495,161,103,58,22,-,-,NIL,-,,,15
2024-04-11 00:00:00,8.6,25,,0.4,603,404,157,103,54,29,-,-,NIL,-,,,12
2024-04-12 00:00:00,7.72,20,,NIL,764,512,166,108,58,29,-,-,NIL,-,,,13
2024-04-18 00:00:00,8.15,18,,NIL,730,489,166,108,58,29,-,-,NIL,-,,,11
2024-04-19 00:00:00,8.02,14,,NIL,893,598,175,125,50,36,-,-,NIL,-,,,11
2024-04-22 00:00:00,7.37,12,,0.5,805,540,152,99,53,36,-,-,NIL,-,,,12
2024-04-23 00:00:00,7.15,6,,0.4,801,537,143,90,53,29,-,-,NIL,-,,,11
2024-04-24 00:00:00,7.46,15,,0.5,,585,152,103,49,36,-,-,NIL,-,,,12
2024-04-25 00:00:00,7.59,14,,NIL,944,633,157,99,58,29,-,-,NIL,-,,,11
2024-04-26 00:00:00,7.41,12,,0.7,970,650,188,110,78,30,-,-,NIL,-,,,12
2024-04-29 00:00:00,7.77,17,,0.5,989,663,215,112,103,33,-,-,NIL,-,,,15
2024-04-30 00:00:00,7.45,26,,0.5,1097,735,224,99,125,36,-,-,NIL,-,,,16
2024-05-01 00:00:00,7.19,26,,0.2,1088,729,220,116,104,36,-,-,NIL,-,,,15
2024-05-02 00:00:00,7.55,24,,0.3,1193,799,228,130,98,29,-,-,NIL,-,,,16
2024-05-03 00:00:00,7.22,27,,1,1152,772,233,112,121,22,-,-,NIL,-,,,15
2024-05-04 00:00:00,7.7,29,,0.6,1140,764,323,148,175,22,-,-,NIL,-,,,22
2024-05-06 00:00:00,7.52,26,,0.6,1328,890,831,157,674,33,-,-,NIL,-,,,19
2024-05-07 00:00:00,7.94,35,,0.3,1418,950,349,143,206,29,-,-,NIL,-,,,20
2024-05-08 00:00:00,7.1,33,,0.2,1428,957,349,181,168,37,-,-,NIL,-,,,22
2024-05-09 00:00:00,7.19,53,,0.3,1516,1016,374,189,185,37,-,-,NIL,-,,,23
2024-05-10 00:00:00,7.76,21,,1,1438,964,353,185,168,37,-,-,NIL,-,,,21
2024-05-11 00:00:00,7.49,32,,0.4,1486,996,374,223,151,44,-,-,NIL,-,,,36
2024-05-13 00:00:00,7.7,23,,0.2,1515,1015,391,210,181,37,-,-,NIL,-,,,34
2024-05-15 00:00:00,7.93,24,,NIL,1498,1004,371,200,171,37,-,-,NIL,-,,,37
2024-05-16 00:00:00,7.62,20,,0.5,1453,973,379,204,175,37,-,-,NIL,-,,,35
2024-05-17 00:00:00,8.08,28,,NIL,1407,943,375,196,179,37,-,-,NIL,-,,,24
2024-05-18 00:00:00,6.91,27,,0.5,,993,379,184,195,37,-,-,NIL,-,,,35
2024-05-20 00:00:00,7.86,20,,NIL,1492,1000,396,192,204,37,-,-,NIL,-,,,32
2024-05-21 00:00:00,7.81,20,,0.5,1462,980,379,200,179,37,-,-,NIL,-,,,34
2024-05-22 00:00:00,7.38,27,,NIL,1501,1006,388,208,180,37,-,-,NIL,-,,,33
2024-05-23 00:00:00,8.02,24,,NIL,,963,392,216,176,29,-,-,NIL,-,,,39
2024-05-24 00:00:00,7.33,16,,0.5,1495,1002,384,208,176,29,-,-,NIL,-,,,31
2024-05-25 00:00:00,7.55,15,,NIL,1479,991,445,241,204,33,-,-,NIL,-,,,39
2024-05-27 00:00:00,7.49,12,,NIL,1492,1000,478,225,253,28,-,-,NIL,-,,,40
2024-05-28 00:00:00,7.43,16,,0.4,1850,838,483,216,267,26,-,-,NIL,-,,,41
2024-05-29 00:00:00,7.41,22,,0.2,1441,966,478,241,237,22,-,-,NIL,-,,,46
2024-05-30 00:00:00,8.03,20,,0.1,1443,967,470,229,241,29,-,-,NIL,-,,,44
2024-05-31 00:00:00,8.04,16,,0.5,1456,976,483,237,246,29,-,-,NIL,-,,,45
2024-06-03 00:00:00,8.08,18,,-,1464,990,636,358,278,191,-,-,NIL,-,,,-
2024-06-04 00:00:00,8.07,25,,0.5,1505,1009,674,373,301,206,-,-,NIL,-,,,
2024-06-05 00:00:00,7.51,18,,0.5,1442,966,634,365,269,198,-,-,NIL,-,,,
2024-06-07 00:00:00,7.37,18,,0.5,1418,950,704,394,310,206,-,-,NIL,-,,,
2024-06-08 00:00:00,7.81,17,,NIL,1313,880,636,365,271,220,-,-,NIL,-,,,
2024-06-10 00:00:00,,22,,,1456,976,,,0,,-,-,NIL,-,,,
2024-06-11 00:00:00,8.21,18,,NIL,1216,815,628,343,285,220,-,-,NIL,-,,,
2024-06-12 00:00:00,8.11,18,,NIL,1362,913,615,360,255,235,-,-,NIL,-,,,
2024-06-13 00:00:00,7.96,19,,0.5,1544,1001,628,356,272,228,-,-,NIL,-,,,
2024-06-14 00:00:00,7.64,10,,0.5,1491,999,636,360,276,235,-,-,NIL,-,,,
2024-06-15 00:00:00,7.7,17,,0.5,1471,986,634,374,260,293,-,-,NIL,-,,,
2024-06-17 00:00:00,7.8,12,,NIL,1511,1013,625,401,224,206,-,-,NIL,-,,,
2024-06-20 00:00:00,7.85,25,,NIL,1470,985,615,405,210,220,-,-,NIL,-,,,
2024-06-21 00:00:00,7.56,22,,NIL,1523,1021,623,427,196,206,-,-,NIL,-,,,
2024-06-22 00:00:00,7.21,27,,0.2,1435,962,619,392,227,198,-,-,NIL,-,,,
2024-06-24 00:00:00,7.42,26,,NIL,1391,932,623,392,231,191,-,-,NIL,-,,,
25.06.24,7.04,21,,NIL,1631,1093,650,394,256,184,-,-,NIL,-,,,
2024-06-26 00:00:00,7.27,20,,NIL,1398,937,654,385,269,191,-,-,NIL,-,,,
2024-06-27 00:00:00,7.6,47,,0.7,,906,659,381,278,384,-,-,NIL,-,,,
2024-06-28 00:00:00,8.14,19,,NIL,1270,851,638,370,268,370,-,-,NIL,-,,,
2024-06-29 00:00:00,6.85,17,,0.2,,873,550,348,202,156,-,-,NIL,-,,,
2024-07-01 00:00:00,7.56,19,,NIL,1292,866,679,370,309,213,-,-,NIL,-,,,-
2024-07-02 00:00:00,7.05,25,,0.9,,1597,689,378,311,220,-,-,NIL,-,,,
2024-07-03 00:00:00,7.27,24,,0.5,1344,901,703,396,307,213,-,-,NIL,-,,,
2024-07-04 00:00:00,7.77,33,,NIL,1507,1010,717,415,302,227,-,-,NIL,-,,,
2024-07-05 00:00:00,7.06,33,,,1288,863,774,396,378,220,-,-,NIL,-,,,
2024-07-06 00:00:00,7.23,18,,NIL,1261,845,817,434,383,213,-,-,NIL,-,,,
2024-07-08 00:00:00,7.36,14,,0.5,1271,852,524,295,229,185,-,-,NIL,-,,,
2024-07-09 00:00:00,7.06,14,,0.5,1289,864,547,300,247,178,-,-,NIL,-,,,
2024-07-10 00:00:00,7.69,15,,NIL,1326,889,571,309,262,185,-,-,NIL,-,,,
2024-07-11 00:00:00,6.4,20,,0.6,1340,898,590,305,285,78,-,-,NIL,-,,,
2024-07-12 00:00:00,7.51,16,,NIL,1291,865,628,343,285,185,-,-,NIL,-,,,
2024-07-13 00:00:00,7.88,17,,NIL,1208,810,619,356,263,178,-,-,NIL,-,,,
2024-07-15 00:00:00,7.81,22,,NIL,1265,848,565,270,295,203,-,-,NIL,-,,,
2024-07-16 00:00:00,7.77,24,,0.2,1306,875,585,260,325,194,-,-,NIL,-,,,
2024-07-17 00:00:00,7.65,25,,0.1,1283,860,530,245,285,211,-,-,NIL,-,,,
2024-07-18 00:00:00,7.93,21,,NIL,1288,863,615,325,290,186,-,-,NIL,-,,,
2024-07-19 00:00:00,7.84,25,,,1188,796,620,320,300,178,-,-,NIL,-,,,
2024-07-20 00:00:00,7.1,18,,0.6,1258,843,543,262,281,162,-,-,NIL,-,,,
2024-07-22 00:00:00,7.86,20,,0.3,1229,824,585,253,332,186,-,-,NIL,-,,,
2024-07-23 00:00:00,7.74,20,,NIL,1285,861,594,257,337,194,-,-,NIL,-,,,
2024-07-24 00:00:00,6.78,22,,0.2,1229,824,580,271,309,178,-,-,NIL,-,,,
2024-07-25 00:00:00,7.14,45,,NIL,1250,838,590,281,309,186,-,-,NIL,-,,,
2024-07-26 00:00:00,7.56,31,,NIL,1188,796,585,271,314,178,-,-,NIL,-,,,
2024-07-27 00:00:00,7.7,25,,NIL,1216,815,580,267,313,186,-,-,NIL,-,,,
2024-07-29 00:00:00,7.35,17,,NIL,1253,840,571,220,351,203,-,-,NIL,-,,,
2024-07-30 00:00:00,6.9,21,,NIL,1213,813,580,225,355,21,-,-,NIL,-,,,
2024-07-31 00:00:00,6.95,19,,NIL,1180,796,571,220,351,203,-,-,NIL,-,,,
2024-08-01 00:00:00,7.22,14,,NIL,1165,781,565,203,362,186,-,-,NIL,-,,,-
2024-08-02 00:00:00,7.02,11,,0.1,1177,789,551,194,357,194,-,-,NIL,-,,,
2024-08-03 00:00:00,7.09,18,,0.6,1213,813,560,185,375,170,-,-,NIL,-,,,
2024-08-05 00:00:00,8.01,15,,0.3,1328,890,524,194,330,186,-,-,NIL,-,,,
