CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2,COC
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm,Based on TH
2013-08-01 00:00:00,8.01,14,0.1,2371,1660,805,509,296,174,7.6,180,NIL,0.3,29,927,107,7.666666666666667
2013-08-02 00:00:00,7.68,9,0.2,1985,1390,827,521,306,184,7.2,110,NIL,0.2,20,934,112,7.951923076923077
2013-08-03 00:00:00,7.86,16,0.2,2470,1729,818,513,305,181,7.8,120,NIL,0.2,25,917,109,7.865384615384615
2013-08-04 00:00:00,8.08,16,0.2,2500,1740,805,509,296,188,7.7,170,NIL,0.2,30,920,107,7.666666666666667
2013-08-05 00:00:00,8.1,15,0.2,2572,1801,860,517,343,191,7.8,186,NIL,0.2,28,901,110,8.11320754716981
2013-08-06 00:00:00,8.07,16,0.1,2380,1680,852,594,258,216,7.9,180,NIL,0.2,29,887,107,8.435643564356436
2013-08-07 00:00:00,7.87,18,0.2,2600,1850,932,636,296,222,7.3,160,NIL,0.2,25,899,112,9.227722772277227
2013-08-08 00:00:00,8.03,16,0.2,2570,1830,852,582,270,191,7.9,150,NIL,0.2,27,882,108,8.352941176470589
2013-08-09 00:00:00,7.82,16,0.2,2485,1740,811,561,250,174,7.5,155,NIL,0.2,26,874,105,8.11
2013-08-10 00:00:00,7.86,16,0.1,2311,1618,728,520,208,170,8,158,NIL,0.2,28,887,100,7.207920792079208
2013-08-11 00:00:00,7.87,14,0.1,2192,1535,805,509,296,167,7.7,155,NIL,0.2,24,890,174,7.815533980582524
2013-08-12 00:00:00,8.02,17,0.2,2208,1546,665,457,208,142,7,168,NIL,0.2,29,873,105,6.65
2013-08-13 00:00:00,8.04,17,0.3,2251,1576,728,499,229,156,8,170,NIL,0.2,33,921,111,7.207920792079208
2013-08-14 00:00:00,8.11,16,0.2,2185,1530,479,520,-41,149,7.5,178,NIL,0.2,34,929,105,4.696078431372549
2013-08-15 00:00:00,8.06,18,0.2,2215,1551,757,528,229,153,7.6,172,NIL,0.2,36,927,106,7.20952380952381
2013-08-16 00:00:00,7.7,18,0.2,2307,1615,790,520,270,156,7.5,165,NIL,0.2,35,910,103,7.745098039215686
2013-08-17 00:00:00,8.04,18,0.2,2210,1547,770,499,271,142,7.2,170,NIL,0.2,34,929,109,7.623762376237623
2013-08-18 00:00:00,7.96,21,0.2,2131,1492,782,491,291,146,7.1,160,NIL,0.2,42,923,102,7.592233009708738
2013-08-19 00:00:00,7.98,18,0.2,1914,1340,715,470,245,139,7.9,162,NIL,0.2,33,932,107,6.745283018867925
2013-08-20 00:00:00,7.87,18,0.2,1985,1390,686,457,229,132,7.8,150,NIL,0.2,37,912,104,6.7254901960784315
2013-08-21 00:00:00,7.93,18,0.2,2157,1510,757,441,316,142,7.5,158,NIL,0.2,39,902,112,7.4950495049504955
2013-08-22 00:00:00,8.02,19,0.2,2137,1496,782,491,291,153,7.9,162,NIL,0.2,37,927,107,7.447619047619048
2013-08-23 00:00:00,7.49,18,0.2,2214,1550,836,540,296,142,7,100,NIL,0.2,34,937,110,8.36
2013-08-24 00:00:00,7.84,18,0.2,2068,1448,749,499,250,139,7.7,140,NIL,0.2,36,910,108,7.565656565656566
2013-08-25 00:00:00,7.78,20,0.2,2090,1463,757,516,241,142,7.6,120,NIL,0.2,40,925,111,7.074766355140187
2013-08-26 00:00:00,7.99,18,0.1,2171,1520,790,486,304,139,7.9,150,NIL,0.2,35,939,114,7.9
2013-08-27 00:00:00,7.85,20,0.1,2128,1490,778,478,300,132,7.3,140,NIL,0.2,42,914,107,7.858585858585859
2013-08-28 00:00:00,7.9,19,0.2,2127,1489,775,498,277,142,7.8,160,NIL,0.2,37,922,105,7.598039215686274
2013-08-29 00:00:00,8.1,18,0.2,2014,1410,715,437,278,125,7.9,182,NIL,0.2,32,890,98,7.526315789473684
2013-08-30 00:00:00,,,,,,,,,,,,,,,,,
2013-08-31 00:00:00,,,,,,,,,,,,,,,,,
MIN.,7.49,9,0.1,1914,1340,479,437,-41,125,7,100,0,0.2,20,873,98,4.696078431372549
MAX.,8.11,21,0.3,2600,1850,932,636,343,222,8,186,0,0.3,42,939,174,9.227722772277227
AVG.,7.928620689655173,17.06896551724138,0.18275862068965523,2239.5862068965516,1570.2068965517242,772.6206896551724,510.2758620689655,262.3448275862069,159.6206896551724,7.606896551724139,156.24137931034483,,0.20344827586206907,32.275862068965516,911.7241379310345,109.48275862068965,7.566725271336995
No. of < Spec,1,--,6,--,--,--,--,--,--,0,--,--,--,--,--,--,--
No. of > Spec,12,1,0,--,0,0,--,--,0,29,0,--,0,--,0,0,0
% < Specs.,3.4482758620689653,--,20.689655172413794,--,--,--,--,--,--,0,,,,,,--,--
% > Specs.,41.37931034482759,3.4482758620689653,0,,0,0,,--,0,100,0,,0,,0,0,0
