CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2,COC
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm,Based on TH
2013-07-01 00:00:00,7.9,34,0.2,2178,1525,664,344,320,174,7.5,175,NIL,0.2,70,775,95,5.533333333333333
2013-07-02 00:00:00,7.96,29,0.2,2164,1515,742,371,371,167,7.4,180,NIL,0.2,59,843,102,6.288135593220339
2013-07-03 00:00:00,7.9,30,0.2,2300,1610,750,375,375,178,7.5,170,NIL,0.2,62,886,104,6.4655172413793105
2013-07-04 00:00:00,7.9,24,0.2,2335,1635,733,362,371,171,7.5,173,NIL,0.2,50,899,101,6.373913043478261
2013-07-05 00:00:00,7.8,20,0.2,2412,1690,721,354,367,167,7.6,165,NIL,0.2,43,921,106,6.269565217391304
2013-07-06 00:00:00,7.92,23,0.2,2571,1800,824,383,441,196,7.6,170,NIL,0.2,40,939,110,6.983050847457627
2013-07-07 00:00:00,7.92,21,0.2,2447,1713,857,396,461,214,7.5,170,NIL,0.2,35,928,108,7.082644628099174
2013-07-08 00:00:00,7.86,18,0.2,2600,1820,815,375,440,207,7.4,160,NIL,0.2,32,910,107,6.626016260162602
2013-07-09 00:00:00,7.86,15,0.2,2527,1769,803,367,436,205,7.3,160,NIL,0.2,30,924,105,6.528455284552845
2013-07-10 00:00:00,7.9,16,0.2,2500,1750,836,375,461,203,7.4,170,NIL,0.2,33,938,108,6.966666666666667
2013-07-11 00:00:00,7.96,15,0.3,2400,1680,783,412,371,196,7.8,175,NIL,0.3,35,910,113,6.579831932773109
2013-07-12 00:00:00,7.9,17,0.3,2428,1700,824,494,330,212,8,170,NIL,0.3,38,927,118,6.866666666666666
2013-07-13 00:00:00,7.88,16,0.2,2462,1724,840,507,333,215,7.6,168,NIL,0.2,35,939,114,6.9421487603305785
2013-07-14 00:00:00,7.9,16,0.2,2500,1750,836,375,461,203,7.4,175,NIL,0.2,36,938,108,6.966666666666667
2013-07-15 00:00:00,7.95,17,0.2,2564,1795,803,474,329,201,8,180,NIL,0.2,31,912,109,6.691666666666666
2013-07-16 00:00:00,8.24,16,0.3,2657,1860,812,478,334,194,7.9,195,NIL,0.2,33,919,112,6.88135593220339
2013-07-17 00:00:00,7.75,16,0.2,2600,1820,762,461,301,208,8,150,NIL,0.2,30,898,107,6.4033613445378155
2013-07-18 00:00:00,7.87,16,0.2,2500,1750,783,445,338,191,7.5,165,NIL,0.2,34,904,109,6.6923076923076925
2013-07-19 00:00:00,7.75,16,0.2,2414,1690,776,424,352,198,7,155,NIL,0.3,36,921,113,6.576271186440678
2013-07-20 00:00:00,7.86,14,0.2,2357,1650,750,411,339,194,7.6,165,NIL,0.2,30,933,110,6.302521008403361
2013-07-21 00:00:00,7.95,17,0.2,2564,1795,803,474,329,201,8,175,NIL,0.2,34,912,109,6.982608695652174
2013-07-22 00:00:00,7.9,17,0.3,2428,1700,824,494,330,212,8,180,NIL,0.3,38,927,118,7.357142857142857
2013-07-23 00:00:00,7.7,15,0.2,2328,1630,721,440,281,191,7,140,NIL,0.2,33,927,107,6.554545454545455
2013-07-24 00:00:00,7.75,13,0.2,2371,1660,742,454,288,198,7.9,150,NIL,0.2,29,910,111,7
2013-07-25 00:00:00,7.75,16,0.2,2400,1680,763,577,186,191,7.6,160,NIL,0.2,27,916,115,7.064814814814815
2013-07-26 00:00:00,7.55,18,0.1,2400,1680,772,580,192,194,7,140,NIL,0.1,25,929,120,7.214953271028038
2013-07-27 00:00:00,7.89,16,0.2,2331,1632,755,572,183,188,7.5,170,NIL,0.3,23,902,116,7.122641509433962
2013-07-28 00:00:00,7.9,17,0.3,2511,1700,824,494,330,212,8,165,NIL,0.3,21,927,118,7.700934579439252
2013-07-29 00:00:00,8.12,16,0.2,2357,1650,763,474,289,191,8,185,NIL,0.3,24,928,114,7.064814814814815
2013-07-30 00:00:00,8.04,16,0.3,2271,1590,750,466,284,181,7.9,190,NIL,0.2,26,932,112,6.8807339449541285
2013-07-31 00:00:00,8.02,15,0.2,2357,1650,763,487,276,181,7.2,188,NIL,0.2,28,921,109,7.19811320754717
MIN.,7.55,13,0.1,2164,1515,664,344,183,167,7,140,0,0.1,21,775,95,5.533333333333333
MAX.,8.24,34,0.3,2657,1860,857,580,461,215,8,195,0,0.3,70,939,120,7.700934579439252
AVG.,7.888709677419355,18.225806451612904,0.21612903225806454,2426.9032258064517,1697.1935483870968,780.4516129032259,441.7741935483871,338.6774193548387,194.6451612903226,7.6,168.83870967741936,,0.21935483870967745,35.483870967741936,912.741935483871,109.93548387096774,6.779399971680993
No. of < Spec,0,--,1,--,--,--,--,--,--,0,--,--,--,--,--,--,--
No. of > Spec,4,6,0,--,0,0,--,--,0,31,0,--,0,--,0,0,0
% < Specs.,0,--,3.225806451612903,--,--,--,--,--,--,0,,,,,,--,--
% > Specs.,12.903225806451612,19.354838709677416,0,,0,0,,--,0,100,0,,0,,0,0,0
