CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2013-05-01 00:00:00,7.92,20,0.2,2430,1640,907,544,363,132,7.3,160,NIL,0.2,35,923,110
2013-05-02 00:00:00,7.95,19,0.2,2380,1666,929,582,347,146,7.3,165,NIL,0.2,32,936,115
2013-05-03 00:00:00,7.8,18,0.2,2280,1590,877,535,342,139,7.2,150,NIL,0.2,30,908,108
2013-05-04 00:00:00,8,21,0.2,2382,1668,942,599,343,150,7.2,180,NIL,0.2,36,915,116
2013-05-05 00:00:00,7.9,22,0.2,2368,1658,959,600,359,160,7.3,160,NIL,0.2,38,920,118
2013-05-06 00:00:00,7.98,21,0.2,2382,1668,942,599,343,160,7.2,180,NIL,0.2,36,920,110
2013-05-07 00:00:00,8.09,20,0.2,2142,1500,963,514,449,153,7.1,190,NIL,0.2,35,904,104
2013-05-08 00:00:00,8.02,18,0.2,2207,1545,835,471,364,139,7.2,185,NIL,0.2,30,897,99
2013-05-09 00:00:00,8.24,20,0.2,2138,1497,770,458,312,132,7.3,200,NIL,0.2,32,915,96
2013-05-10 00:00:00,7.9,20,0.2,2014,1410,707,437,270,125,7.3,180,NIL,0.2,34,902,93
2013-05-11 00:00:00,7.85,24,0.2,2187,1531,736,458,278,125,7.3,170,NIL,0.2,38,960,96
2013-05-12 00:00:00,7.94,24,0.2,2182,1528,790,474,316,128,7.3,175,NIL,0.2,38,962,95
2013-05-13 00:00:00,7.9,24,0.2,2114,1480,795,480,315,130,7.4,170,NIL,0.2,40,964,96
2013-05-14 00:00:00,7.74,23,0.2,2151,1506,728,470,258,121,7.3,150,NIL,0.2,38,960,96
2013-05-15 00:00:00,7.9,20,0.2,2300,1610,728,470,258,128,7.4,170,NIL,0.2,35,964,95
2013-05-16 00:00:00,8.05,21,0.2,2328,1630,757,453,304,132,7.3,190,NIL,0.2,32,923,98
2013-05-17 00:00:00,7.66,20,0.2,2685,1880,807,478,329,142,7.1,130,NIL,0.2,30,904,102
2013-05-18 00:00:00,7.68,20,0.2,2471,1730,815,482,333,142,7.3,135,NIL,0.2,32,911,105
2013-05-19 00:00:00,7.8,20,0.2,2577,1804,861,512,349,168,7.3,150,NIL,0.2,30,909,102
2013-05-20 00:00:00,7.98,18,0.2,2485,1740,790,457,333,153,7.3,170,NIL,0.2,28,896,112
2013-05-21 00:00:00,8.26,18,0.2,2271,1590,803,465,338,157,7.4,195,NIL,0.2,26,910,114
2013-05-22 00:00:00,7.98,200,0.2,2405,1684,865,494,371,160,7.3,175,NIL,0.2,316,928,118
2013-05-23 00:00:00,7.95,200,0.2,3842,2690,783,453,330,171,7.5,180,NIL,0.2,310,956,123
2013-05-24 00:00:00,7.9,176,0.2,3282,2298,700,412,288,153,7.5,175,NIL,0.2,290,932,111
2013-05-25 00:00:00,8,180,0.2,2840,1988,659,371,288,142,7.5,180,NIL,0.2,300,908,105
2013-05-26 00:00:00,8.11,116,0.2,2774,1942,700,412,288,146,7.3,190,NIL,0.2,193,900,110
2013-05-27 00:00:00,7.96,94,0.2,2708,1896,679,424,255,139,7.6,180,NIL,0.2,118,891,103
2013-05-28 00:00:00,8.05,89,0.2,2785,1950,659,416,243,132,7.5,190,NIL,0.2,110,910,107
2013-05-29 00:00:00,8.12,83,0.2,2705,1894,638,403,235,128,7.5,195,NIL,0.2,102,902,104
2013-05-30 00:00:00,8.07,52,0.2,2388,1672,622,391,231,121,7.6,180,NIL,0.3,90,889,102
2013-05-31 00:00:00,8.05,50,0.2,2410,1700,638,400,238,125,7.5,185,NIL,0.2,87,911,105
MIN.,7.66,18,0.2,2014,1410,622,371,231,121,7.1,130,0,0.2,26,889,93
MAX.,8.26,200,0.2,3842,2690,963,600,449,171,7.6,200,0,0.3,316,964,123
AVG.,7.95967741935484,53.903225806451616,0.2000000000000001,2471.3870967741937,1728.5483870967741,786.5806451612904,474.64516129032256,311.93548387096774,141.25806451612902,7.341935483870969,173.70967741935485,,0.20322580645161298,84.54838709677419,920.3225806451613,105.41935483870968
No. of < Spec,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--
No. of > Spec,10,18,0,--,2,0,--,--,0,31,0,--,0,--,0,0
% < Specs.,0,--,0,--,--,--,--,--,--,0,,,,,,--
% > Specs.,32.25806451612903,58.064516129032256,0,,6.451612903225806,0,,--,0,100,0,,0,,0,0
