CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2,COC
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm,Based on TH
2013-10-01 00:00:00,7.69,17,0.3,2550,1780,861,525,336,222,7.8,120,NIL,0.3,35,907,111,7.972222222222222
2013-10-02 00:00:00,7.96,17,0.2,2530,1760,852,520,332,229,7.5,150,NIL,0.2,34,892,107,8.037735849056604
2013-10-03 00:00:00,7.85,18,0.2,2510,1730,861,540,321,223,7.8,145,NIL,0.2,37,913,113,7.827272727272727
2013-10-04 00:00:00,7.98,18,0.2,2630,1835,832,516,316,230,7.9,160,NIL,0.2,37,922,115,7.234782608695652
2013-10-05 00:00:00,7.92,17,0.2,2620,1820,890,543,347,233,7.5,155,NIL,0.2,36,910,113,7.876106194690266
2013-10-06 00:00:00,7.9,16,0.2,2600,1810,899,547,352,223,7.3,150,NIL,0.2,35,912,112,7.817391304347826
2013-10-07 00:00:00,7.86,16,0.2,2550,1780,882,538,344,212,7.7,145,NIL,0.2,33,899,107,7.603448275862069
2013-10-08 00:00:00,8.01,16,0.2,2510,1730,869,525,344,229,7.2,165,NIL,0.2,31,884,102,7.556521739130435
2013-10-09 00:00:00,7.96,17,0.3,2500,1720,890,543,347,233,7.7,160,NIL,0.3,35,906,104,7.416666666666667
2013-10-10 00:00:00,7.91,16,0.2,2520,1750,878,545,333,226,7.1,155,NIL,0.2,32,917,101,7.19672131147541
2013-10-11 00:00:00,7.93,16,0.2,2515,1732,865,528,337,216,7.5,158,NIL,0.2,31,923,98,7.032520325203252
2013-10-12 00:00:00,8.1,16,0.2,2630,1826,975,595,380,234,7.8,170,NIL,0.3,30,934,107,7.8
2013-10-13 00:00:00,7.98,17,0.2,2410,1683,890,525,365,233,7.1,160,NIL,0.2,33,922,112,7.17741935483871
2013-10-14 00:00:00,8.02,18,0.2,2520,1750,912,556,356,213,7.8,155,NIL,0.2,38,927,111,7.414634146341464
2013-10-15 00:00:00,7.96,15,0.2,2530,1760,903,550,353,216,7.4,152,NIL,0.2,31,921,115,7.282258064516129
2013-10-16 00:00:00,7.9,16,0.2,2520,1718,924,555,369,223,7.8,150,NIL,0.2,32,936,118,7.573770491803279
2013-10-17 00:00:00,8.09,18,0.2,2530,1731,890,564,326,198,7.7,168,NIL,0.2,36,918,109,7.235772357723577
2013-10-18 00:00:00,8.02,18,0.1,2540,1745,903,551,352,194,7.5,165,NIL,0.3,36,905,110,7.224
2013-10-19 00:00:00,7.92,16,0.2,2530,1731,945,576,369,205,8,150,NIL,0.3,32,920,113,7.56
2013-10-20 00:00:00,8.12,15,0.2,2550,1780,954,661,293,205,7.8,175,NIL,0.2,30,905,105,7.453125
2013-10-21 00:00:00,7.95,18,0.2,2500,1720,945,576,369,198,7.8,165,NIL,0.2,36,916,103,7.159090909090909
2013-10-22 00:00:00,8.02,18,0.2,2540,1745,931,578,353,205,7.6,170,NIL,0.2,35,909,109,6.845588235294118
2013-10-23 00:00:00,7.92,18,0.2,2535,1740,979,597,382,234,7.1,165,NIL,0.2,34,926,113,7.094202898550725
2013-10-24 00:00:00,7.89,18,0.3,2530,1762,996,607,389,252,7.5,160,NIL,0.3,33,948,117,7.114285714285714
2013-10-25 00:00:00,8.25,19,0.2,2490,1710,975,594,381,216,7.9,185,NIL,0.2,39,932,114,6.724137931034483
2013-10-26 00:00:00,7.98,18,0.2,2638,1838,958,585,373,205,7.8,170,NIL,0.3,37,919,112,6.652777777777778
2013-10-27 00:00:00,7.82,19,0.3,2680,1870,967,598,369,219,7.7,145,NIL,0.3,38,947,113,6.6689655172413795
2013-10-28 00:00:00,8.02,18,0.2,2630,1835,975,595,380,187,7.8,165,NIL,0.2,37,796,116,6.678082191780822
2013-10-29 00:00:00,8.19,16,0.2,2370,1654,954,577,377,173,7.7,170,NIL,0.2,33,907,112,6.671328671328672
2013-10-30 00:00:00,7.9,16,0.2,2350,1630,967,581,386,169,7.3,150,NIL,0.2,32,890,109,6.9071428571428575
2013-10-31 00:00:00,7.96,15,0.2,2290,1600,960,578,382,165,7.4,155,NIL,0.2,30,879,105,
MIN.,7.69,15,0.1,2290,1600,832,516,293,165,7.1,120,0,0.2,30,796,98,6.652777777777778
MAX.,8.25,19,0.3,2680,1870,996,661,389,252,8,185,0,0.3,39,948,118,8.037735849056604
AVG.,7.967096774193547,16.967741935483872,0.2096774193548388,2527.3548387096776,1750.8064516129032,918.7741935483871,563.516129032258,355.258064516129,213.5483870967742,7.596774193548388,158.32258064516128,,0.22580645161290328,34.12903225806452,911.0322580645161,109.87096774193549,7.293599044779125
No. of < Spec,0,--,1,--,--,--,--,--,--,0,--,--,--,--,--,--,--
No. of > Spec,10,0,0,--,0,0,--,--,0,31,0,--,0,--,0,0,0
% < Specs.,0,--,3.225806451612903,--,--,--,--,--,--,0,,,,,,--,--
% > Specs.,32.25806451612903,0,0,,0,0,,--,0,100,0,,0,,0,0,0
