CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2,COC
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm,Based on TH
2013-09-01 00:00:00,7.9,45,0,2000,1410,751,459,292,134,6.6,185,NIL,0.1,88,777,80,7.51
2013-09-02 00:00:00,7.95,43,0,1820,1210,749,457,292,134,6.5,190,NIL,0.1,82,821,85,7.565656565656566
2013-09-03 00:00:00,7.83,53,0.2,2070,1405,736,437,299,145,7,180,NIL,0.2,101,876,102,7.0095238095238095
2013-09-04 00:00:00,7.98,28,0.2,2000,1350,645,393,252,127,8,190,NIL,0.2,50,851,89,6.45
2013-09-05 00:00:00,7.97,42,0.2,2010,1360,616,378,238,117,8.4,188,NIL,0.2,80,819,85,6.222222222222222
2013-09-06 00:00:00,7.8,37,0.2,1950,1310,540,362,178,109,8.5,178,NIL,0.2,61,793,81,5.4
2013-09-07 00:00:00,7.98,32,0.2,1890,1289,562,374,188,117,8,192,NIL,0.2,57,858,89,4.9298245614035086
2013-09-08 00:00:00,7.75,27,0.2,1920,1302,540,362,178,109,8.4,160,NIL,0.2,45,839,81,4.821428571428571
2013-09-09 00:00:00,7.8,26,0.2,2060,1394,645,393,252,127,7,182,NIL,0.2,41,884,101,5.91743119266055
2013-09-10 00:00:00,8.02,24,0.2,2050,1380,670,409,261,124,7.2,195,NIL,0.2,46,913,104,6.7
2013-09-11 00:00:00,7.93,24,0.2,2010,1355,686,418,268,141,7.5,180,NIL,0.2,42,928,106,6.929292929292929
2013-09-12 00:00:00,7.96,20,0.2,2000,1350,707,431,276,148,7.8,185,NIL,0.2,30,908,111,6.798076923076923
2013-09-13 00:00:00,7.86,21,0.2,2050,1388,749,457,292,159,7.9,175,NIL,0.2,33,896,113,7.066037735849057
2013-09-14 00:00:00,7.71,13,0.2,2300,1561,811,495,316,170,8,160,NIL,0.2,26,911,116,7.5092592592592595
2013-09-15 00:00:00,7.81,20,0.2,2260,1531,815,508,307,160,6.3,175,NIL,0.2,38,912,117,7.276785714285714
2013-09-16 00:00:00,7.97,20,0.2,2310,1567,790,482,308,162,7.8,185,NIL,0.2,35,903,110,6.9298245614035086
2013-09-17 00:00:00,8.03,19,0.2,2260,1530,802,491,311,169,7.9,195,NIL,0.2,29,910,112,7.097345132743363
2013-09-18 00:00:00,7.82,18,0.2,2250,1525,782,477,305,162,7.5,172,NIL,0.2,32,897,108,6.982142857142857
2013-09-19 00:00:00,7.9,17,0.3,2230,1510,770,460,310,168,7.3,180,NIL,0.3,35,890,105,6.637931034482759
2013-09-20 00:00:00,7.8,19,0.2,2215,1500,753,470,283,173,7.2,170,NIL,0.2,39,892,106,6.38135593220339
2013-09-21 00:00:00,7.84,18,0.2,2280,1544,852,545,307,212,7,175,NIL,0.2,42,913,112,7.1
2013-09-22 00:00:00,7.93,18,0.2,2240,1520,844,549,295,219,7.1,186,NIL,0.2,38,918,110,7.1525423728813555
2013-09-23 00:00:00,7.95,19,0.3,2250,1523,757,478,279,184,7.4,183,NIL,0.2,36,917,112,6.525862068965517
2013-09-24 00:00:00,7.95,18,0.2,2348,1590,765,466,299,191,7.3,185,NIL,0.2,33,920,109,6.7105263157894735
2013-09-25 00:00:00,7.65,18,0.2,2389,1618,755,477,278,212,7,160,NIL,0.2,37,910,105,6.398305084745763
2013-09-26 00:00:00,7.85,18,0.2,2487,1684,790,482,308,293,7.4,175,NIL,0.2,39,919,112,6.583333333333333
2013-09-27 00:00:00,7.95,18,0.3,2658,1800,869,540,329,322,7.5,185,NIL,0.2,40,929,116,7.62280701754386
2013-09-28 00:00:00,8.03,18,0.2,2568,1739,832,499,333,212,7.4,192,NIL,0.2,34,910,109,7.5636363636363635
2013-09-29 00:00:00,7.98,18,0.2,2496,1690,811,508,303,205,7.3,186,NIL,0.2,30,912,116,7.440366972477064
2013-09-30 00:00:00,7.9,19,0.3,2437,1650,800,495,305,210,7,175,NIL,0.3,32,905,112,7.339449541284404
,,,,,,,,,,,,,,,,,
MIN.,7.65,13,0,1820,1210,540,362,178,109,6.3,160,0,0.1,26,777,80,4.821428571428571
MAX.,8.03,53,0.3,2658,1800,869,549,333,322,8.5,195,0,0.3,101,929,117,7.62280701754386
AVG.,7.893333333333332,24.333333333333332,0.20000000000000004,2193.6,1486.1666666666667,739.8,458.4,281.4,170.5,7.440000000000001,180.63333333333333,,0.20000000000000007,45.03333333333333,887.7,103.8,6.752365602443072
No. of < Spec,0,--,2,--,--,--,--,--,--,0,--,--,--,--,--,--,--
No. of > Spec,3,12,0,--,0,0,--,--,0,30,0,--,0,--,0,0,0
% < Specs.,0,--,6.666666666666667,--,--,--,--,--,--,0,,,,,,--,--
% > Specs.,10,40,0,,0,0,,--,0,100,0,,0,,0,0,0
