CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,Total PO4,T. Alk.,Total Iron,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,Max. 2 ppm,Max. 1000 ppm,180 ppm
01.08.16,7.28,11,0,1320,980,640,340,220,4.2,102,0.2,978,148
02.08.16,7.32,11,0,1342,988,652,336,226,4.1,104,0.2,980,149
03.08.16,7.35,12,0,1363,995,664,331,233,4.2,100,0.2,984,150
04.08.16,7.74,12,0,1357,974,655,319,218,4.2,102,0.2,970,150
05.08.16,7.33,12,0,1312,995,668,327,233,4.1,100,0.2,975,149
06.08.16,7.3,11,1,1380,1016,680,336,272,4.1,100,0.2,962,149
07.08.16,7.54,11,0.5,1410,990,662,328,278,4.1,102,0.2,960,148
08.08.16,7.62,12,0.2,1590,966,643,323,288,4.2,100,0.2,963,148
09.08.16,7.2,12,0.2,1690,970,655,315,280,4.1,102,0.2,955,146
10.08.16,7.32,13,0.2,1630,949,651,298,288,4.1,102,0.2,950,149
11.08.16,7.12,12,0.2,1550,999,655,344,280,4.2,103,0.2,957,151
12.08.16,7.6,12,0.2,1530,982,642,340,292,4.1,100,0.2,953,149
13.08.16,7.7,11,0.4,1680,1029,693,336,272,4.1,103,0.2,952,150
14.08.16,7.52,12,0.2,1620,1032,698,334,284,4.2,105,0.2,948,148
15.08.16,7.48,11,0.2,1580,1048,712,336,296,4.1,104,0.2,956,150
16.08.16,7.24,12,0.2,1546,1058,731,327,311,4.2,102,0.2,952,152
17.08.16,7.45,11,0.6,1818,1067,731,336,319,4.1,102,0.2,951,150
18.08.16,7.46,11,0.2,1560,995,685,310,303,4.1,105,0.2,960,149
19.08.16,7.32,11,0.1,1680,1040,710,330,308,4.2,102,0.2,963,148
20.08.16,7.51,11,0.1,1810,1100,785,315,327,4.1,107,0.2,955,152
21.08.16,7.38,11,0.1,1570,1000,655,345,320,4.1,110,0.2,986,148
22.08.16,7.3,11,0.1,1620,1058,733,325,327,4.2,110,0.2,939,150
23.08.16,7.24,12,0.2,1580,1020,715,305,311,4.2,100,0.2,965,147
24.08.16,7.33,12,0.2,1610,1071,748,323,303,4.2,100,0.2,960,150
25.08.16,7.38,11,0.2,1592,1080,750,330,312,4.2,102,0.2,957,152
26.08.16,7.26,12,0.1,1650,1050,721,329,285,4.2,100,0.25,959,152
27.08.16,7.68,12,0.1,1638,1079,756,323,316,4.1,104,0.25,968,150
28.08.16,7.96,12,0.1,1640,1080,756,323,316,4.2,105,0.25,963,148
29.08.16,7.46,13,0.2,1668,1108,798,310,318,4.1,105,0.2,972,150
30.08.16,7.8,12,0.1,1650,1125,790,335,323,4.1,103,0.2,970,146
31.08.16,7.78,13,0.5,1605,1134,806,328,331,4.2,100,0.2,972,151
MIN.,7.12,11,0,1312,949,640,298,218,4.1,100,0.2,939,146
MAX.,7.96,13,1,1818,1134,806,345,331,4.2,110,0.25,986,152
AVG.,7.450645161290323,11.67741935483871,0.20645161290322575,1567.4516129032259,1031.5483870967741,704.516129032258,327,290,4.148387096774194,102.7741935483871,0.20483870967741943,962.4193548387096,149.32258064516128
No. of < Spec,20,--,13,--,--,--,--,--,0,--,--,--,--
No. of > Spec,0,0,2,0,0,--,--,0,0,0,0,0,0
% < Specs.,64.51612903225806,--,41.93548387096774,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,0,6.451612903225806,0,0,0,--,0,0,0,0,0,0
