CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,10.0 - 12.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2014-08-01 00:00:00,7.8,28,0,1120,747,298,182,116,89,10.5,170,NIL,0.2,55,254,52
2014-08-02 00:00:00,7.73,26,0,1160,772,291,177,114,79,10.2,150,NIL,0.2,52,272,58
2014-08-03 00:00:00,7.75,22,0,1240,830,298,182,116,89,10.5,145,NIL,0.2,50,279,64
2014-08-04 00:00:00,7.8,24,0,1244,831,290,181,109,81,10.1,150,NIL,0.2,51,274,57
2014-08-05 00:00:00,7.83,22,0,1300,950,462,306,156,79,6.7,155,NIL,0.2,53,361,62
2014-08-06 00:00:00,7.91,20,0,1420,1090,459,302,157,85,6.7,150,NIL,0.2,45,399,67
2014-08-07 00:00:00,7.7,18,0,1650,1102,564,228,336,124,5.8,145,NIL,0.2,40,421,73
2014-08-08 00:00:00,7.78,18,0.1,1720,1150,569,344,225,141,8,142,NIL,0.2,38,487,76
2014-08-09 00:00:00,7.83,17,0,1810,1210,582,355,227,137,7.9,150,NIL,0.2,36,513,69
2014-08-10 00:00:00,7.7,18,0.1,1690,1130,582,302,280,137,5.8,155,NIL,0.2,38,510,67
2014-08-11 00:00:00,7.68,18,0.2,1830,1221,564,328,236,137,5.8,160,NIL,0.2,40,513,69
2014-08-12 00:00:00,7.65,18,0.1,1880,1255,462,360,102,141,8,155,NIL,0.2,41,510,61
2014-08-13 00:00:00,7.85,18,0.1,2090,1400,593,364,229,143,8,160,NIL,0.2,42,523,64
2014-08-14 00:00:00,7.7,17,0.1,1970,1320,590,360,230,137,7.9,165,NIL,0.2,37,532,65
2014-08-15 00:00:00,7.65,18,0.1,1970,1320,593,364,229,138,8,160,NIL,0.2,39,593,64
2014-08-16 00:00:00,7.6,18,0.1,1910,1280,586,357,229,138,7.8,155,NIL,0.2,38,518,63
2014-08-17 00:00:00,7.72,18,0.1,1850,1240,593,364,229,137,8,155,NIL,0.2,40,523,65
2014-08-18 00:00:00,7.6,18,0.1,1970,1320,590,364,226,137,8.3,158,NIL,0.2,41,510,63
2014-08-19 00:00:00,7.58,17,0.1,2020,1350,540,306,234,137,7.9,160,NIL,0.2,36,532,60
2014-08-20 00:00:00,7.82,18,0.1,1910,1276,764,466,298,144,7.8,165,NIL,0.2,38,536,64
2014-08-21 00:00:00,7.75,18,0.2,2030,1360,728,444,284,144,7,160,NIL,0.2,39,693,89
2014-08-22 00:00:00,7.68,18,0.2,2170,1450,793,491,302,155,7.1,165,NIL,0.2,37,698,78
2014-08-23 00:00:00,,16,0.2,2270,1520,782,477,305,151,7.8,170,NIL,0.2,33,811,75
2014-08-24 00:00:00,,18,0.2,2020,1350,764,466,298,144,7.8,165,NIL,0.2,36,811,64
2014-08-25 00:00:00,,18,0.2,2322,1556,837,510,327,155,7.8,165,NIL,0.2,34,807,75
2014-08-26 00:00:00,7.62,17,0.2,2150,1440,910,555,355,158,7.3,160,NIL,0.2,39,824,79
2014-08-27 00:00:00,7.56,18,0.1,2328,1560,892,544,348,168,7.6,155,NIL,0.2,40,837,76
2014-08-28 00:00:00,7.5,18,0.1,2360,1580,899,548,351,165,7.7,158,NIL,0.2,42,796,77
2014-08-29 00:00:00,7.43,17,0,2360,1580,910,555,355,165,7.3,160,NIL,0.2,35,829,76
2014-08-30 00:00:00,7.7,18,0,2320,1548,848,535,313,148,7.7,165,NIL,0.2,38,826,79
2014-08-31 00:00:00,7.8,18,0,2260,1510,855,539,316,158,7.5,165,NIL,0.2,37,835,75
MIN.,7.43,17,0,1120,747,290,177,102,142,5.8,142,0,0.2,33,254,52
MAX.,7.91,28,0.2,2360,1580,910,555,355,168,10.5,170,0,0.2,55,837,89
AVG.,7.704285714285716,19,0.0870967741935484,1882.0645161290322,1266.0645161290322,628.6451612903226,382.4516129032258,246.19354838709677,133.84375,7.816129032258066,157.83870967741936,0,0.2000000000000001,40.645161290322584,575.0645161290323,68.58064516129032
No. of < Spec,1,--,24,--,--,--,--,--,--,0,--,--,--,--,--,--
No. of > Spec,0,5,0,--,0,0,--,--,0,28,0,--,0,--,0,0
% < Specs.,3.5714285714285716,--,77.41935483870967,--,--,--,--,--,--,0,,,,,,--
% > Specs.,0,16.129032258064516,0,,0,0,,--,0,90.32258064516128,0,,0,,0,0
