CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
01.08.16,7.2,18,0,1020,441,273,168,93,6,10,104,870,98
02.08.16,7.12,20,0,1015,433,260,173,101,6.1,10.1,102,863,96
03.08.16,7.6,18,0,890,437,273,164,109,6.1,10.1,100,860,90
04.08.16,7.52,16,0,885,441,265,176,93,6,10,100,854,90
05.08.16,7.32,18,0,893,441,273,168,93,6,10,100,893,88
06.08.16,7.38,18,0,890,445,227,218,117,6,10,100,853,90
07.08.16,7.42,18,0,882,442,225,217,108,6.1,10.1,100,852,94
08.08.16,7.54,20,0,872,441,218,223,101,6.1,10.12,102,850,92
09.08.16,7.33,21,0,875,437,223,214,102,6.2,10.2,102,853,90
10.08.16,7.25,24,0,820,437,218,219,93,6,10,100,848,98
11.08.16,7.3,21,0,800,432,239,193,109,6,10,102,854,97
12.08.16,8.02,24,0,790,437,218,219,102,6,10,100,851,98
13.08.16,7.93,20,0,806,440,228,212,109,6.1,10.1,102,848,94
14.08.16,7.88,18,0,790,432,222,210,106,6.2,10.2,104,846,95
15.08.16,7.82,18,0,788,438,226,212,104,6,10,102,845,94
16.08.16,7.7,18,0,810,433,223,210,103,6.2,10.2,101,851,96
17.08.16,7.52,17,0,809,433,231,202,117,6.1,10.1,100,846,98
18.08.16,7.62,18,0,820,440,230,210,108,6.1,10.1,102,848,98
19.08.16,7.7,23,0,722,449,227,212,125,6.1,10.1,100,834,99
20.08.16,7.65,22,0,710,428,218,210,132,6.1,10.1,105,851,97
21.08.16,7.6,21,0,748,430,220,210,109,6.1,10.1,105,848,98
22.08.16,7.54,22,0,750,432,222,210,110,6.2,10.2,104,854,98
23.08.16,7.2,21,0,780,428,214,214,125,6,10,102,842,95
24.08.16,7.27,20,0,715,420,210,210,117,6.2,10.2,101,849,95
25.08.16,7.39,22,0,710,412,208,204,115,6.1,10.1,100,853,98
26.08.16,7.42,21,0,687,433,223,210,109,6.2,10.2,100,845,100
27.08.16,7.32,22,0,670,416,203,213,111,6,10,102,845,93
28.08.16,7.78,23,0,680,416,203,213,116,6.2,10.2,100,850,95
29.08.16,7.35,23,0,678,410,212,198,116,6.2,10.2,100,859,97
30.08.16,7.53,24,0,672,412,210,212,113,6.1,10.1,102,868,95
31.08.16,7.75,34,0,709,424,269,155,188,6.1,10.1,100,870,100
MIN.,7.12,16,0,670,410,203,155,93,6,10,100,834,88
MAX.,8.02,34,0,1020,449,273,223,188,6.2,10.2,105,893,100
AVG.,7.515161290322578,20.741935483870968,0,796.3225806451613,431.93548387096774,229.38709677419354,202.5483870967742,111.41935483870968,6.093548387096772,10.094193548387095,101.41935483870968,853.3225806451613,95.35483870967742
No. of < Spec,14,--,31,--,--,,--,--,0,--,-,--,--
No. of > Spec,1,16,0,0,0,--,--,0,0,0,-,0,0
% < Specs.,45.16129032258064,--,100,--,--,--,--,--,0,-,-,-,--
% > Specs.,3.225806451612903,51.61290322580645,0,0,0,-,--,0,0,0,-,0,0
