CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
01.05.16,7.48,19,0.1,1710,739,374,365,155,6.3,10.4,112,880,118
02.05.16,7.52,18,0.1,1760,773,391,382,211,6.3,10.3,115,886,115
03.05.16,7.56,20,0.1,1600,739,365,374,246,6.3,10.5,120,890,117
04.05.16,7.6,18,0.1,1700,727,361,366,239,6.3,10.4,118,898,116
05.05.16,7.7,20,0.3,1730,739,365,374,239,6.3,10.3,115,890,117
06.05.16,7.35,26,0.1,1840,701,344,357,232,6.3,10.4,112,896,119
07.05.16,7.6,28,0.1,1700,664,353,311,211,6.3,10.5,120,910,118
08.05.16,7.5,29,0.1,1720,659,357,302,218,6.2,10.3,118,905,119
09.05.16,7.6,22,0.1,1450,617,319,298,190,6.3,10.4,120,913,115
10.05.16,7.77,18,0.1,1484,613,310,303,183,6.3,10.4,120,920,115
11.05.16,7.5,16,0.3,1460,601,307,294,190,6.5,10.5,116,912,112
12.05.16,7.55,23,0.1,1400,592,302,290,183,6.4,10.4,115,902,114
13.05.16,7.59,20,0.1,1459,563,290,273,176,6.4,10.5,112,900,115
14.05.16,7.5,18,0.1,1500,525,302,223,169,6.5,10.5,110,890,117
15.05.16,7.8,18,0.1,1480,529,307,222,169,6.4,10.6,112,870,114
16.05.16,7.68,18,0.1,1776,590,328,268,190,6.5,10.5,115,880,115
17.05.16,7.56,19,0.1,1550,554,332,222,183,6.2,10.5,115,876,118
18.05.16,7.7,19,0.1,1495,508,269,239,155,6.3,10.3,115,871,118
19.05.16,7.64,18,0.1,1510,529,286,243,162,6.2,10.4,116,879,117
20.05.16,7.68,17,0.1,1490,525,273,252,155,6.3,10.3,114,870,115
21.05.16,7.58,18,0.2,1450,563,302,261,162,6.2,10.4,112,867,112
22.05.16,7.58,18,0.2,1540,554,294,260,168,6.2,10.2,110,873,114
23.05.16,7.65,18,0.2,1570,647,307,340,183,6.3,10.4,112,866,115
24.05.16,7.23,18,0.2,1501,643,302,341,169,6.2,10.5,112,862,114
25.05.16,7.48,17,0.1,1641,647,311,336,177,6.3,10.6,114,860,115
26.05.16,7.45,21,0.1,1650,643,307,336,183,6.2,10.4,110,866,114
27.05.16,7.41,15,0.2,1610,764,395,364,183,6.3,10.5,115,868,115
28.05.16,7.56,17,0.1,1670,735,365,370,211,6.2,10.5,118,876,114
29.05.16,7.59,20,0.1,1700,739,370,369,214,6.1,10.3,116,872,114
30.05.16,7.8,19,0.1,1780,680,349,331,199,6.3,10.5,112,867,116
31.05.16,7.8,18,0.1,1830,680,349,331,199,6.5,10.6,116,973,115
MIN.,7.23,15,0.1,1400,508,269,222,155,6.1,10.2,112,860,112
MAX.,7.8,29,0.3,1830,773,395,382,246,6.5,10.6,120,920,119
AVG.,7.573666666666666,19.5,0.13000000000000006,1597.5333333333333,636.7333333333333,327.9,308.8666666666667,190.16666666666666,6.296666666666667,10.4,116,883.8333333333334,115.56666666666666
No. of < Spec,6,--,23,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,6,0,0,0,--,--,0,0,0,-,0,0
% < Specs.,20,--,76.66666666666667,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,20,0,0,0,-,--,0,0,0,-,0,0
