CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
01.09.15,7.8,16,0.1,1280,516,348,168,135,7.2,10.2,154,865,112
02.09.15,7.54,16,0.5,1285,540,368,172,164,7.1,10.1,151,856,110
03.09.15,7.68,16,0.2,1310,548,392,1546,157,7.1,10.1,156,847,115
04.09.15,7.62,15,0.3,1295,564,396,168,178,6.9,10.9,148,840,119
05.09.15,7.92,16,0.1,1360,560,404,156,185,6.8,11,145,878,116
06.09.15,7.83,16,0.2,1300,556,408,148,178,6.5,10.9,152,865,120
07.09.15,7.51,15,0.1,1320,572,376,196,157,6.7,10.6,154,856,118
08.09.15,7.5,17,0.2,1360,564,380,184,164,6.8,10.38,152,849,116
09.09.15,7.5,16,0.1,1340,604,396,208,206,6.6,106,148,857,120
10.09.15,7.92,15,0.2,1390,596,380,216,221,7.2,11.2,152,841,115
11.09.15,7.75,15,0.1,1360,644,428,216,206,6.8,10.8,145,848,118
12.09.15,7.76,16,0.1,1320,604,404,200,185,7,10.6,140,887,115
13.09.15,7.51,17,0.1,1250,596,380,216,178,7.2,10.8,152,830,110
14.09.15,7.8,17,0.2,1340,564,372,189,188,7,10.8,160,851,115
15.09.15,7.54,17,0.1,1450,554,348,206,178,6.8,10.6,145,862,112
16.09.15,7.65,15,0.2,1430,540,344,196,165,6.9,10.4,148,851,110
17.09.15,7.6,16,0.1,1410,524,368,156,175,7,10.2,152,862,115
18.09.15,7.7,17,0.2,1370,516,344,172,177,7.2,10.5,148,851,112
19.09.15,7.6,17,0.1,1425,524,352,152,185,7,10.6,160,865,113
20.09.15,7.54,15,0.3,1435,552,392,160,156,6.9,10.5,162,848,116
21.09.15,7.56,15,0.2,1370,524,366,158,142,6.8,10.8,145,854,115
22.09.15,7.56,17,0.1,1450,556,392,164,152,7,10.4,152,856,113
23.09.15,7.86,18,0.1,1380,584,380,204,194,7.2,10.6,148,848,112
24.09.15,7.7,18,0.2,1420,596,398,198,150,7,10.5,145,857,115
25.09.15,7.5,17,0.2,1440,588,392,196,168,7.2,10.3,145,942,119
26.09.15,7.55,18,0.1,1450,584,382,202,152,7.2,10.5,142,930,117
27.09.15,7.5,17,0.21,1440,580,378,202,162,7.1,10.4,145,938,119
28.09.15,7.7,17,0.1,1380,592,392,200,172,7.2,10.5,140,847,117
29.09.15,7.7,18,0.1,1370,594,398,196,154,7,10.6,142,859,115
30.09.15,7.65,17,0.1,1350,610,410,200,134,7.2,10.2,140,849,117
MIN.,7.5,15,0.1,1250,516,344,148,134,6.5,10.1,140,830,110
MAX.,7.92,18,0.5,1450,644,428,1546,221,7.2,106,162,942,120
No. of < Spec,0,--,16,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,0,0,0,0,--,--,0,0,0,-,0,0
% < Specs.,0,--,53.333333333333336,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,0,0,0,0,-,--,0,0,0,-,0,0
