CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
03.03.24,8.3,-,-,328,220,136,89,47,36,1.8,-,NIL,0.2,,,3.2
05.03.24,8.92,66,NIL,354,237,148,68,80,14,-,-,NIL,-,,,5
06.03.24,8.48,47,NIL,335,225,154,84,70,18,-,-,NIL,-,,,5
09.03.24,8.57,35,NIL,362,243,114,76,38,30,2,-,NIL,-,,,4.1
10.03.24,8.59,29,NIL,377,253,127,76,51,36,1.7,-,NIL,-,,,4
11.03.24,8.51,19,NIL,418,280,131,79,52,36,2.2,-,NIL,-,,,4.3
12.03.24,8.48,19,NIL,415,278,142,85,57,33,2.3,-,NIL,-,,,4.6
13.03.24,8.42,21,NIL,423,284,148,89,59,36,2.5,-,NIL,-,,,4.4
14.03.24,8.39,24,NIL,428,287,147,85,62,33,2.4,-,NIL,-,,,4.3
15.03.24,8.64,28,NIL,443,297,179,94,85,29,1.8,-,NIL,-,,,4.1
16.03.24,8.63,25,NIL,411,276,,,0,,,-,NIL,,,,
18.03.24,8.75,12,NIL,415,278,152,94,58,36,-,-,NIL,-,,,
20.03.24,8.59,19,NIL,388,260,205,127,78,28,3.4,-,NIL,-,,,9
21.03.24,8.67,15,NIL,447,300,192,119,73,31,-,-,NIL,-,,,
22.03.24,8.41,4,NIL,321,215,223,123,100,36,-,-,NIL,-,,,9
23.03.24,8.62,4,NIL,432,290,114,105,9,43,-,-,NIL,,,,8
26.03.24,8.59,4,NIL,358,240,146,100,46,32,-,-,NIL,,,,
27.03.24,8.6,4,NIL,449,301,205,132,73,36,-,-,NIL,,,,10
28.03.24,8.47,10,NIL,464,311,228,141,87,29,-,-,NIL,,,,8
29.03.24,8.44,10,NIL,464,311,210,119,91,36,-,-,NIL,,,,10
30.03.24,8.32,11,NIL,562,377,219,105,114,29,-,-,NIL,,,,12
,,,,,,,,,,,-,NIL,,,,
,,,,,,,,,,,-,NIL,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,8.3,17,0,321,215,114,68,0,142,5.8,0,0,0,0,0,3.2
MAX.,8.92,28,0,562,377,228,141,114,142,10.5,0,0,0,0,0,12
AVG.,8.542380952380952,19,,409.23809523809524,274.42857142857144,166,99.5,63.333333333333336,37.095238095238095,2.233333333333333,,0,,,,6.411764705882353
No. of < Spec,0,--,0,--,--,--,--,--,--,9,--,--,--,--,--,--
No. of > Spec,21,8,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,0,--,,--,--,--,--,--,--,100,,,,,,--
% > Specs.,100,40,,,0,0,,--,0,0,,,,,,0
