CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.01.22,8.2,31,0.4,2301,1542,726,498,228,226,7,125,NIL,0.2,31,874,153
02.01.22,8.2,29,0.3,2358,1580,730,448,282,228,7.1,123,NIL,0.3,29,754,157
03.01.22,8.2,29,0.3,2358,1580,730,448,282,228,7.1,123,NIL,0.3,29,754,157
04.01.22,8.5,26,0.2,2149,1440,743,467,276,253,6.4,139,NIL,0.2,26,893,162
05.01.22,8.5,33,0.1,2104,1410,795,510,285,214,6.8,133,NIL,0.2,33,878,169
06.01.22,8.5,24,0,2036,1364,786,501,285,222,6.9,139,NIL,0.2,24,890,156
07.01.22,8.1,22,0,2015,1350,752,483,269,212,7,120,NIL,0.2,22,927,149
08.01.22,8.1,18,0,2127,1427,769,500,269,202,7.1,124,NIL,0.2,18,911,162
09.01.22,8.4,23,0,2394,1540,960,592,368,216,6.6,133,NIL,0.2,23,873,174
10.01.22,8.4,18,0,2073,1389,727,504,223,216,6.1,139,NIL,0.2,18,893,150
11.01.22,8.5,20,0,2213,1483,764,487,277,209,6.6,135,NIL,0.2,20,754,162
12.01.22,8.5,24,0,2257,1570,798,500,298,198,6.2,132,NIL,0.2,24,894,156
13.01.22,8.2,16,0,2000,1340,748,508,240,187,6.5,129,NIL,0.2,16,890,160
,,,,,,,,,,,,,,,,
15.01.22,8.3,18,0,1984,1332,733,492,241,182,6.2,122,NIL,0.2,18,899,156
16.01.22,8.2,19,0,1955,1310,777,479,298,210,6,124,NIL,0.2,19,878,156
17.01.22,8.5,18,0,2179,1460,802,496,306,187,6,124,NIL,0.2,18,916,149
,,,,,,,,,,,,NIL,,,910,
,,,,,,,,,,,,,,,,
20.01.22,8.1,20,0,2284,1530,798,525,273,180,6,124,NIL,0.2,20,910,158
21.01.22,8,16,0,2600,1560,777,500,277,184,6.2,120,NIL,0.2,16,873,162
22.01.22,8.2,15,0,2208,1480,756,517,198,198,6.3,124,NIL,0.2,15,875,150
23.01.22,8.2,36,0,2313,1550,781,462,319,218,6.1,130,NIL,0.2,36,888,167
24.01.22,8.3,18,0,2284,1502,770,524,246,202,6.4,120,NIL,0.2,18,878,152
25.01.22,8.2,32,0.5,2328,1560,790,540,250,210,5.9,123,NIL,0.2,32,916,164
,,,,,,,,,,,,,,,,
27.01.22,8.4,39,0.7,2194,1470,811,572,239,184,6.3,130,NIL,0.2,39,910,162
28.01.22,8.1,31,0,2242,1580,806,554,252,191,6.2,128,NIL,0.2,31,873,165
29.01.22,8.3,32,0.1,2350,1570,819,538,281,194,6,133,NIL,0.2,32,875,156
30.01.22,8,24,0.1,2513,1634,730,422,308,210,6.9,122,NIL,0.2,24,888,153
31.01.22,8.1,32,0,2253,1598,872,560,312,202,6,127,NIL,0.2,32,888,160
MIN.,8,17,0,1955,1310,726,422,198,142,5.8,120,0,0.2,15,754,149
MAX.,8.5,28,0.7,2600,1634,960,592,368,253,10.5,139,0,0.3,39,927,174
AVG.,8.266666666666666,19,0.1,2224.8888888888887,1487.0740740740741,779.6296296296297,504.7037037037037,273.4074074074074,203.75,6.440740740740741,127.5925925925926,0,0.2076923076923078,24.555555555555557,877.2142857142857,158.40740740740742
No. of < Spec,0,--,21,--,--,--,--,--,--,1,--,--,--,--,--,--
No. of > Spec,25,16,1,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,0,--,77.77777777777777,--,--,--,--,--,--,3.7037037037037037,,,,,,--
% > Specs.,92.5925925925926,59.25925925925926,3.7037037037037037,,0,0,,--,0,0,0,,0,,0,0
