CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.03.24,,100,,2123,1423,,,,,,,NIL,0.5,,,
02.03.24,7.47,109,NIL,2349,1574,1001,589,412,252,4.8,-,NIL,0.5,,,63
04.03.24,7.56,76,NIL,2223,1490,996,538,458,259,4.7,-,NIL,0.5,,,60
05.03.24,7.71,87,NIL,2254,1510,979,526,453,267,4.8,-,NIL,0.5,,,61
06.03.24,7.65,62,NIL,2218,1486,971,513,458,252,4.3,-,NIL,0.5,,,58
2024-03-07 00:00:00,7.43,59,NIL,2394,1604,954,517,437,231,4.1,-,NIL,0.5,,,50
09.03.24,7.52,48,NIL,2363,1583,933,479,454,223,4.1,-,NIL,0.5,,,59
11.03.24,7.14,60,NIL,2820,1890,988,526,462,238,4.3,-,NIL,0.5,,,61
2024-03-12 00:00:00,7.88,67,NIL,2761,1850,979,513,466,223,4.1,-,NIL,0.5,,,56
2024-03-13 00:00:00,7.63,71,NIL,2754,1845,992,511,481,231,4.2,-,NIL,0.5,,,59
2024-03-14 00:00:00,8.13,60,NIL,2555,1712,967,521,446,245,4,-,NIL,0.5,,,56
15.03.24,8.08,61,NIL,2619,1755,1007,560,447,223,4.6,-,NIL,0.5,,,63
2024-03-18 00:00:00,8.12,44,NIL,2253,1510,883,496,387,231,4.5,-,NIL,0.5,,,59
2024-03-19 00:00:00,8.23,39,NIL,2223,1490,803,483,320,223,4.3,-,NIL,0.5,,,58
20.03.24,7.66,39,NIL,2051,1374,812,488,324,231,4.2,-,NIL,0.5,,,58
2024-03-21 00:00:00,7.41,30,NIL,2156,1445,798,492,306,238,4.1,-,NIL,0.5,,,58
2024-03-22 00:00:00,7.96,35,NIL,2088,1399,766,447,319,223,3.8,-,NIL,0.4,,,51
2024-03-23 00:00:00,8.37,26,NIL,1958,1312,780,461,319,209,3.2,-,NIL,0.5,,,50
2024-03-26 00:00:00,7.89,31,NIL,2166,1451,876,543,333,218,3.4,-,NIL,0.5,,,51
2024-03-27 00:00:00,7.75,30,NIL,2087,1398,866,547,319,233,3.5,-,NIL,0.5,,,54
2024-03-28 00:00:00,8.26,23,NIL,1976,1324,873,538,335,225,3.2,-,NIL,0.5,,,56
2024-03-29 00:00:00,8.21,21,NIL,2164,1450,921,561,360,211,2.6,-,NIL,0.6,,,65
2024-03-30 00:00:00,7.55,28,NIL,2279,1527,948,588,360,204,2.5,-,NIL,0.6,,,73
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MIN.,7.14,17,0,1958,1312,766,447,306,142,5.8,0,0,0.4,0,0,50
MAX.,8.37,28,0,2820,1890,1007,589,481,267,10.5,0,0,0.6,0,0,73
AVG.,7.800454545454545,19,,2297.1304347826085,1539.2173913043478,913.3181818181819,519.8636363636364,393.45454545454544,227.47826086956522,3.9681818181818187,,0,0.5045454545454545,,,58.13636363636363
No. of < Spec,4,--,0,--,--,--,--,--,--,22,--,--,--,--,--,--
No. of > Spec,7,23,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,18.181818181818183,--,,--,--,--,--,--,--,100.00000000000001,,,,,,--
% > Specs.,31.81818181818182,100,,,0,0,,--,0,0,,,0,,,0
