CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.08.23,7.5,19,0.1,1495,1000,604,330,274,290,6.2,93,NIL,0.4,19,874,124
02.05.23,7.6,22,0,1896,1270,588,340,248,229,6.7,113,NIL,0.3,22,893,123
03.05.23,7.8,23,0.2,1836,1230,580,332,204,244,6.9,112,NIL,0.4,23,754,130
04.08.23,7,22,0.7,1632,1094,613,307,306,272,6.4,82,NIL,0.5,22,901,120
05.08.23,7.7,18,0.1,1855,1230,632,353,279,252,6,105,NIL,0.5,18,901,116
06.05.23,7.6,14,0.2,1683,1128,623,371,252,213,6.4,110,NIL,0.4,14,883,116
07.08.23,7.8,18,0.1,1851,1240,632,354,278,252,6,100,NIL,0.5,18,890,116
08.08.23,7.7,17,0,1882,1250,620,340,280,248,6.2,98,NIL,0.5,17,893,110
09.08.23,7.4,14,0.6,1896,1270,603,349,254,343,6.9,102,NIL,0.5,14,754,128
10.08.23,7.4,13,0,1701,1140,595,341,254,342,7.3,104,NIL,0.5,13,885,133
11.08.23,7.6,16,0,1690,1120,590,355,235,340,7,100,NIL,0.5,16,881,130
12.08.23,7.8,14,0,1835,1230,507,329,178,321,6.6,116,NIL,5,14,890,123
,8,34,0,1436,962,610,436,174,216,6.3,114,NIL,0.4,34,894,129
14.08.23,7.8,12,0.1,1791,1200,618,335,283,326,5,109,NIL,0.5,12,899,120
15.08.23,7.7,13,0.1,1820,1240,600,320,280,320,6.2,100,NIL,0.4,13,878,116
16.08.23,7.2,27,0.1,1522,1020,623,359,264,332,6.4,114,NIL,0.5,27,916,119
17.08.23,7.3,20,0,1572,1053,640,369,271,340,6.7,100,NIL,0.4,20,929,122
18.08.23,7.7,18,0.1,1734,1162,632,324,308,321,7.5,110,NIL,0.5,18,870,124
19.08.23,7.3,16,0.1,1555,1042,624,316,307,307,7.1,100,NIL,0.5,16,879,120
20.05.23,7.7,32,0.4,1487,996,506,314,198,209,6.6,109,NIL,0.4,32,875,126
21.05.23,8.1,18,0.2,1448,970,480,301,179,216,5.9,122,NIL,0.4,18,888,113
22.05.23,7.7,33,0.6,1478,990,449,281,168,213,6,118,NIL,0.2,33,878,110
23.05.23,8.1,19,0.1,1473,987,514,323,191,230,6.6,119,NIL,0.4,19,881,118
24.05.23,8,16,0.3,1332,893,501,314,187,223,6.4,119,NIL,0.4,16,882,110
25.08.23,7.7,30,0,1701,1140,659,408,251,358,7,100,NIL,0.5,30,892,118
26.05.23,7.9,14,0,1334,894,514,340,174,209,6.5,116,NIL,0.4,14,890,112
27.05.23,7.7,22,0.5,1388,930,506,331,175,202,7,114,NIL,0.4,22,887,120
28.05.23,7.7,22,0.5,1388,930,506,331,175,202,7,114,NIL,0.4,22,891,120
29.08.23,7.8,11,0.6,1385,928,613,349,264,347,5.4,110,NIL,0.5,11,910,132
30.05.23,7.8,22,0.5,1254,840,471,292,179,202,6,110,NIL,0.4,22,873,112
31.08.23,7.4,14,0.2,1597,1070,516,357,159,320,6.4,102,0.5,0.5,14,875,124
MIN.,7,17,0,1254,840,449,281,159,142,5.8,82,0.5,0.2,11,754,110
MAX.,8.1,28,0.7,1896,1270,659,436,308,358,10.5,122,0.5,5,34,929,133
AVG.,7.661290322580644,19,0.2064516129032258,1611.1935483870968,1079,573.1935483870968,338.741935483871,233.19354838709677,268.15625,6.4709677419354845,107.58064516129032,0,0.59,19.451612903225808,880.1935483870968,120.45161290322581
No. of < Spec,7,--,18,--,--,--,--,--,--,3,--,--,--,--,--,--
No. of > Spec,2,11,4,--,0,0,--,--,0,0,0,--,1,--,0,0
% < Specs.,22.58064516129032,--,58.064516129032256,--,--,--,--,--,--,9.677419354838708,,,,,,--
% > Specs.,6.451612903225806,35.483870967741936,12.903225806451612,,0,0,,--,0,0,0,,3.3333333333333335,,0,0
