CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2023-12-01 00:00:00,8.77,64,NIL,1739,1165,845,392,453,275,3.1,-,NIL,0.5,,,61
2023-12-02 00:00:00,8.61,45,NIL,1858,1245,906,444,462,296,2.8,-,NIL,0.5,,,57
2023-12-04 00:00:00,8.22,43,NIL,1850,1240,884,466,418,282,3,-,NIL,0.5,,,66
2023-12-06 00:00:00,8.24,30,NIL,1805,1210,889,475,414,289,3,-,NIL,0.5,,,49
2023-12-14 00:00:00,7.27,24,NIL,1546,1036,862,506,356,274,3.7,-,NIL,0.5,,,89
2023-12-15 00:00:00,7.19,53,NIL,1685,1129,876,537,339,303,3.9,-,NIL,0.5,,,91
2023-12-16 00:00:00,5.72,60,NIL,1910,1230,867,528,339,289,4,-,NIL,0.5,,,90
2023-12-18 00:00:00,7.42,51,NIL,1568,1051,871,532,339,244,3.9,-,NIL,0.5,,,86
2023-12-20 00:00:00,8.1,43,NIL,1409,944,980,607,373,244,4,-,NIL,0.5,,,82
2023-12-21 00:00:00,7.88,45,NIL,1314,881,957,598,359,252,4.2,-,NIL,0.5,,,89
2023-12-22 00:00:00,8.2,44,NIL,1256,842,966,584,382,274,3.8,-,NIL,0.5,,,82
2023-12-23 00:00:00,7.8,35,NIL,1294,837,998,609,389,252,3.5,-,NIL,0.5,,,79
2023-12-25 00:00:00,7.8,49,NIL,1294,867,994,589,405,244,3.5,-,NIL,0.5,,,78
2023-12-26 00:00:00,8.17,49,NIL,1476,989,975,580,395,266,3.9,-,NIL,0.5,,,86
2023-12-27 00:00:00,8.44,42,NIL,1441,966,944,469,475,237,2.5,-,NIL,0.5,,,83
2023-12-28 00:00:00,7.78,34,NIL,1358,910,897,460,437,229,1.7,-,NIL,0.5,,,89
2023-12-29 00:00:00,7.5,33,0.8,1349,904,874,474,400,244,1.4,-,NIL,0.5,,,85
2023-12-30 00:00:00,7.95,32,0.8,1194,800,901,510,391,221,60,-,NIL,0.5,,,60
,,,,,,,,,,,-,NIL,,,,
,,,,,,,,,,,-,NIL,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,NIL,,,,
MIN.,5.72,17,0.8,1194,800,845,392,0,142,5.8,0,0,0.5,0,0,49
MAX.,8.77,28,0.8,1910,1245,998,609,475,303,10.5,0,0,0.5,0,0,91
AVG.,7.836666666666665,19,0.8,1519.2222222222222,1013.6666666666666,915.8888888888889,520,375.05263157894734,255.6315789473684,6.438888888888889,,0,0.5,,,77.88888888888889
No. of < Spec,4,--,0,--,--,--,--,--,--,17,--,--,--,--,--,--
No. of > Spec,8,18,2,--,0,0,--,--,0,1,0,--,0,--,0,0
% < Specs.,22.22222222222222,--,0,--,--,--,--,--,--,94.44444444444444,,,,,,--
% > Specs.,44.44444444444444,100,100,,0,0,,--,0,5.555555555555555,,,0,,,0
