CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2024-02-01 00:00:00,,43,NIL,2185,1464,767,360,407,192,3.7,-,NIL,0.5,,,65
2024-02-02 00:00:00,7.15,43,0.4,2246,1505,789,377,412,178,3.8,-,NIL,0.5,,,66
2024-02-03 00:00:00,7.2,61,NIL,2280,1528,827,437,390,170,3.2,-,NIL,0.5,,,58
2024-02-05 00:00:00,7.69,61,NIL,2248,1506,801,424,377,170,3.4,-,NIL,0.5,,,69
2024-02-06 00:00:00,7.57,11,NIL,1690,1132,810,445,365,155,3.9,-,NIL,0.5,,,61
2024-02-07 00:00:00,7.69,62,NIL,2413,1617,831,488,343,185,3.3,-,NIL,0.5,,,58
2024-02-08 00:00:00,7.69,59,NIL,2185,1464,755,424,331,178,3.4,-,NIL,0.5,,,61
2024-02-09 00:00:00,7.33,61,NIL,2219,1487,784,458,326,207,3.1,-,NIL,0.5,,,57
2024-02-10 00:00:00,7.61,58,NIL,2376,1592,734,479,255,237,2.9,-,NIL,0.5,,,59
2024-02-12 00:00:00,7.94,75,NIL,2422,1623,776,445,331,259,3.3,-,NIL,0.5,,,59
2024-02-13 00:00:00,7.96,55,NIL,2397,1606,831,466,365,281,3.2,-,NIL,0.5,,,66
2024-02-14 00:00:00,7.8,55,NIL,2264,1517,797,432,365,252,2.9,-,NIL,0.5,,,63
2024-02-15 00:00:00,8.14,34,NIL,2152,1442,806,424,382,237,3.1,-,NIL,0.5,,,60
2024-02-16 00:00:00,8.18,35,NIL,2343,1570,852,437,415,259,2.8,-,NIL,0.5,,,58
2024-02-20 00:00:00,7.41,75,NIL,2897,1941,929,492,437,244,3.1,-,NIL,0.5,,,61
2024-02-21 00:00:00,7.41,78,NIL,2373,1590,903,479,424,252,3.6,-,NIL,0.5,,,59
2024-02-22 00:00:00,8.05,51,NIL,2379,1594,916,488,428,237,3.4,-,NIL,0.5,,,53
2024-02-23 00:00:00,7.73,37,NIL,2178,1459,873,500,373,259,3.5,-,NIL,0.5,,,57
2024-02-26 00:00:00,7.89,76,NIL,2215,1484,929,492,437,259,4.1,-,NIL,0.5,,,58
2024-02-27 00:00:00,7.42,46,NIL,2164,1450,954,522,432,281,4.2,-,NIL,0.5,,,63
2024-02-28 00:00:00,8.09,93,NIL,2068,1389,920,500,420,244,4,-,NIL,0.5,,,55
2024-02-29 00:00:00,7.92,92,NIL,2066,1384,924,492,432,252,4.3,-,NIL,0.5,,,61
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,NIL,,,,
MIN.,7.15,17,0.4,1690,1132,734,360,0,142,5.8,0,0,0.5,0,0,53
MAX.,8.18,28,0.4,2897,1941,954,522,437,281,10.5,0,0,0.5,0,0,69
AVG.,7.708095238095235,19,0.4,2261.818181818182,1515.6363636363637,841.2727272727273,457.3181818181818,367.2608695652174,223.04347826086956,3.463636363636364,,0,0.5,,,60.31818181818182
No. of < Spec,6,--,0,--,--,--,--,--,--,22,--,--,--,--,--,--
No. of > Spec,4,21,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,28.57142857142857,--,0,--,--,--,--,--,--,100.00000000000001,,,,,,--
% > Specs.,19.047619047619047,95.45454545454547,0,,0,0,,--,0,0,,,0,,,0
