CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.05.23,7.8,20,0,1973,1293,593,348,245,233,6.9,118,NIL,0.4,20,874,122
02.05.23,7.6,22,0,1896,1270,588,340,248,229,6.7,113,NIL,0.3,22,893,123
03.05.23,7.8,23,0.2,1836,1230,580,332,204,244,6.9,112,NIL,0.4,23,754,130
04.05.23,7.7,14,0.2,1736,1160,600,354,246,204,5.9,100,NIL,0.4,14,901,120
05.05.23,7.6,15,0.2,1718,1150,615,362,253,206,6.5,109,NIL,0.4,15,901,122
06.05.23,7.6,14,0.2,1683,1128,623,371,252,213,6.4,110,NIL,0.4,14,883,116
07.05.23,7.6,14,0.2,1683,1128,623,371,252,213,6.4,110,NIL,0.4,14,890,116
08.05.23,7.8,20,0.1,1749,1172,633,382,251,216,6.1,114,NIL,0.4,20,893,120
09.05.23,7.6,18,0.1,1686,1130,628,379,249,230,6.3,114,NIL,0.4,18,754,115
10.05.23,8,20,0.1,1556,1093,596,420,176,250,6.4,115,NIL,0.4,20,885,123
11.05.23,8.1,22,0.1,1580,1074,574,400,174,244,6,113,NIL,0.4,22,881,120
12.05.23,7.9,32,0,1463,980,623,450,173,219,6,118,NIL,0.4,32,890,125
13.05.23,8,34,0,1436,962,610,436,174,216,6.3,114,NIL,0.4,34,894,129
14.05.24,8,34,0,1436,962,610,436,174,216,6.3,114,NIL,0.4,34,899,129
15.05.23,8.2,40,0,1478,990,512,302,210,305,6.5,120,NIL,0.2,40,878,100
16.05.23,8.1,23,0.5,1346,902,475,296,179,209,6,114,NIL,0.4,23,916,112
17.05.23,8,20,0.2,1452,973,467,288,179,216,6.2,116,NIL,0.4,20,929,102
18.05.23,7.9,22,0.3,1455,975,458,292,166,209,5.6,120,NIL,0.4,22,870,118
19.05.23,7.8,28,0.6,1463,980,484,301,183,230,6,118,NIL,0.4,28,879,122
20.05.23,7.7,32,0.4,1487,996,506,314,198,209,6.6,109,NIL,0.4,32,875,126
21.05.23,8.1,18,0.2,1448,970,480,301,179,216,5.9,122,NIL,0.4,18,888,113
22.05.23,7.7,33,0.6,1478,990,449,281,168,213,6,118,NIL,0.2,33,878,110
23.05.23,8.1,19,0.1,1473,987,514,323,191,230,6.6,119,NIL,0.4,19,881,118
24.05.23,8,16,0.3,1332,893,501,314,187,223,6.4,119,NIL,0.4,16,882,110
25.05.23,8.1,15,0.2,1313,880,523,349,174,216,6.5,120,NIL,0.4,15,892,114
26.05.23,7.9,14,0,1334,894,514,340,174,209,6.5,116,NIL,0.4,14,890,112
27.05.23,7.7,22,0.5,1388,930,506,331,175,202,7,114,NIL,0.4,22,887,120
28.05.23,7.7,22,0.5,1388,930,506,331,175,202,7,114,NIL,0.4,22,891,120
29.05.23,7.9,21,0,1328,890,480,301,179,209,6.5,115,NIL,0.4,21,910,118
30.05.23,7.8,22,0.5,1254,840,471,292,179,202,6,110,NIL,0.4,22,873,112
31.05.23,7.8,27,0.4,1274,854,483,310,173,210,6.5,114,NIL,0.4,27,875,119
MIN.,7.6,17,0,1254,840,449,281,166,142,5.8,100,0,0.2,14,754,100
MAX.,8.2,28,0.6,1973,1293,633,450,253,305,10.5,122,0,0.4,40,929,130
AVG.,7.858064516129031,19,0.2161290322580645,1520.0645161290322,1019.5483870967741,542.741935483871,343.4516129032258,198.06451612903226,218.28125,6.3516129032258055,114.58064516129032,0,0.3833333333333335,22.451612903225808,880.1935483870968,117.93548387096774
No. of < Spec,0,--,13,--,--,--,--,--,--,3,--,--,--,--,--,--
No. of > Spec,6,17,2,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,0,--,41.93548387096774,--,--,--,--,--,--,9.677419354838708,,,,,,--
% > Specs.,19.354838709677416,54.83870967741935,6.451612903225806,,0,0,,--,0,0,0,,0,,0,0
