CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2023-11-01 00:00:00,8.7,22,NIL,1840,1233,719,253,466,295,4.4,-,NIL,0.6,,,176
2023-11-02 00:00:00,7.98,28,NIL,1791,1200,701,240,461,273,4.7,-,NIL,0.6,,,169
2023-11-03 00:00:00,8.26,23,NIL,1655,1109,687,339,348,266,5.2,-,NIL,0.5,,,172
2023-11-04 00:00:00,8.73,25,NIL,1575,1055,704,334,370,275,4.8,-,NIL,0.5,,,167
2023-11-06 00:00:00,8.12,52,NIL,1716,1150,717,330,387,275,4.2,-,NIL,0.5,,,176
2023-11-07 00:00:00,8.67,35,NIL,1672,1120,730,352,378,260,4,-,NIL,0.5,,,168
2023-11-08 00:00:00,8.72,32,NIL,1628,1091,717,343,374,267,4.1,-,NIL,0.5,,,171
2023-11-09 00:00:00,8.54,25,NIL,1611,1080,726,334,392,282,4,-,NIL,0.5,,,166
2023-11-10 00:00:00,8.21,24,NIL,1488,997,717,334,383,246,3.9,-,NIL,0.5,,,156
2023-11-11 00:00:00,8.35,27,NIL,1490,998,673,334,339,231,3.2,-,NIL,0.5,,,163
2023-11-17 00:00:00,7.7,20,NIL,1292,866,717,348,369,224,4,-,NIL,0.5,,,42
2023-11-20 00:00:00,7.56,22,NIL,1418,950,781,334,447,253,3.5,-,NIL,0.5,,,-
2023-11-20 00:00:00,7.65,13,NIL,1504,1008,845,444,401,246,3.3,-,NIL,0.5,,,134
2023-11-21 00:00:00,7.86,24,NIL,1291,865,752,326,426,246,3.3,-,NIL,0.5,,,3.4
2023-11-22 00:00:00,7.41,37,NIL,1254,840,757,317,440,239,2.9,-,NIL,0.5,,,3.1
2023-11-23 00:00:00,7.49,35,NIL,1291,865,770,321,449,239,3.2,-,NIL,0.5,,,29
2023-11-24 00:00:00,8.9,36,NIL,1365,915,796,334,462,253,3.6,-,NIL,0.5,,,360
2023-11-28 00:00:00,8.31,36,NIL,1416,949,814,365,449,253,3.1,-,NIL,0.5,,,
2023-11-29 00:00:00,8.26,42,NIL,1470,985,805,370,435,275,3.3,-,NIL,0.5,,,77
2023-11-30 00:00:00,7.79,30,NIL,1388,930,796,356,440,253,3.2,-,NIL,0.5,,,65
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,NIL,,,,
MIN.,7.41,17,0,1254,840,673,240,0,142,5.8,0,0,0.5,0,0,3.1
MAX.,8.9,28,0,1840,1233,845,444,466,295,10.5,0,0,0.6,0,0,360
AVG.,8.1605,19,,1507.75,1010.3,746.2,335.4,391.23809523809524,252.04761904761904,3.7949999999999995,,0,0.5052631578947369,,,133.19444444444446
No. of < Spec,2,--,0,--,--,--,--,--,--,20,--,--,--,--,--,--
No. of > Spec,12,18,0,--,0,0,--,--,0,0,0,--,0,--,0,1
% < Specs.,10,--,,--,--,--,--,--,--,100,,,,,,--
% > Specs.,60,90,,,0,0,,--,0,0,,,0,,,5.555555555555555
