CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.09.23,7.46,22,NIL,1567,1050,622,349,273,260,6,-,NIL,0.5,,,122
2023-09-02 00:00:00,7.63,15,NIL,1634,1095,613,357,256,297,6.2,100,NIL,0.5,,,115
2023-09-04 00:00:00,7.53,44,NIL,2119,1420,722,357,365,383,6.8,100,NIL,0.7,,,179
2023-09-05 00:00:00,7.78,35,0.5,1611,1080,636,307,329,311,6.3,-,NIL,0.5,,,117
2023-09-06 00:00:00,7.11,39,0.8,1418,950,629,314,315,297,6,-,NIL,0.5,,,119
2023-09-07 00:00:00,7.48,35,0.4,1428,964,690,328,362,322,5.9,-,NIL,0.5,,,120
2023-09-08 00:00:00,7.52,37,0.5,1396,935,636,310,326,311,5.8,-,NIL,0.5,,,116
2023-09-09 00:00:00,7.63,33,0.5,1485,995,617,295,322,289,5.4,-,NIL,0.5,,,111
2023-09-11 00:00:00,7.69,18,NIL,1500,1005,594,275,319,326,5.3,-,NIL,0.5,,,129
2023-09-12 00:00:00,7.78,19,0.1,1489,998,605,283,322,297,5.5,-,NIL,0.5,,,121
2023-09-13 00:00:00,7.65,19,0.1,1464,981,598,279,319,311,5.1,-,NIL,0.5,,,125
2023-09-14 00:00:00,7.64,17,0.1,,914,609,291,318,304,5.3,-,NIL,0.5,,,120
2023-09-15 00:00:00,8.1,15,NIL,1348,903,582,268,314,318,5.3,-,NIL,0.5,,,126
2023-09-16 00:00:00,7.94,14,NIL,1210,811,582,256,326,304,5.1,-,NIL,0.4,,,113
2023-09-18 00:00:00,7.69,23,NIL,,975,586,248,338,304,5.2,-,NIL,0.5,,,129
2023-09-19 00:00:00,7.54,24,NIL,1488,992,573,240,333,300,5.5,-,NIL,0.5,,,126
2023-09-20 00:00:00,7.58,16,0.4,1287,862,590,252,338,297,5.4,-,NIL,0.4,,,127
2023-09-21 00:00:00,7.75,18,0.5,1330,891,598,248,350,311,5.2,-,NIL,0.5,,,119
2023-09-22 00:00:00,7.9,24,NIL,1330,891,594,241,353,305,5.1,-,NIL,0.5,,,131
2023-09-23 00:00:00,7.6,17,NIL,1419,951,590,252,338,289,5.3,-,NIL,0.4,,,125
2023-09-25 00:00:00,7.76,15,NIL,1410,945,586,237,349,282,4.5,-,NIL,0.2,,,135
2023-09-26 00:00:00,7.62,18,NIL,1440,965,590,244,346,289,5,-,NIL,0.3,,,132
2023-09-27 00:00:00,7.37,15,NIL,,1032,578,233,345,304,5.3,-,NIL,0.3,,,139
2023-09-29 00:00:00,8.14,15,NIL,1728,1158,613,229,384,318,4.9,-,NIL,0.4,,,121
2023-09-30 00:00:00,7.95,19,0.9,1723,1155,594,225,369,326,5,-,NIL,0.3,,,123
,,,,,,,,0,,,,NIL,,,,
,,,,,,,,0,,,,NIL,,,,
,,,,,,,,0,,,,NIL,,,,
MIN.,7.11,17,0.1,1210,811,573,225,0,142,5.8,100,0,0.2,0,0,111
MAX.,8.14,28,0.9,2119,1420,722,357,384,383,10.5,100,0,0.7,0,0,179
AVG.,7.673600000000001,19,0.43636363636363645,1492,996.72,609.08,276.72,296.75,299.88461538461536,5.4559999999999995,100,0,0.4541666666666668,,,125.6
No. of < Spec,4,--,3,--,--,--,--,--,--,20,--,--,--,--,--,--
No. of > Spec,2,10,2,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,16,--,27.272727272727273,--,--,--,--,--,--,80,,,,,,--
% > Specs.,8,40,18.181818181818183,,0,0,,--,0,0,0,,0,,,0
