CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.07.23,7.4,14,0.3,1992,1335,620,364,256,254,7,82,NIL,0.5,14,874,122
02.07.23,7.4,14,0.3,1992,1335,620,364,256,254,7,82,NIL,0.5,14,893,115
03.07.23,7.3,12,0.2,1976,1324,642,377,265,250,6.8,90,NIL,0.5,12,754,118
04.07.23,7.7,16,0.1,2060,1380,629,364,265,271,6.2,93,NIL,0.5,16,901,125
06.07.23,7.6,12,0.1,2058,1379,655,381,274,286,6.9,110,NIL,0.5,12,883,128
07.06.23,7.6,12,0.1,2058,1379,655,381,274,286,6.9,110,NIL,0.5,12,890,116
09.07.23,7.4,16,0.1,2800,1680,710,407,303,300,7.3,89,NIL,0.6,16,754,108
10.07.23,7.4,16,0.1,2800,1680,710,407,303,300,7.3,89,NIL,0.6,16,878,149
11.07.23,7.8,7,0,2246,1504,693,360,333,321,6.2,94,NIL,0.7,22,881,136
12.07.23,7.5,9,0,2313,1550,706,381,325,300,5.9,94,NIL,0.6,9,890,135
13.07.23,7.5,10,0,2194,1470,712,390,322,305,7,100,NIL,0.6,10,894,130
14.07.23,7.4,20,0.3,1851,1240,698,377,321,307,7.1,90,NIL,0.5,20,899,129
15.07.23,7.4,17,0.2,1701,1140,668,338,330,286,6.9,87,NIL,0.5,17,878,125
16.07.23,7.4,17,0.2,1701,1140,668,338,330,286,6.9,87,NIL,0.5,17,916,131
17.07.23,7.6,15,0,1648,1104,689,351,338,300,7.2,92,NIL,0.5,15,929,123
18.07.23,7.5,17,0.4,2075,1390,698,338,360,298,6.9,90,NIL,0.5,17,837,132
19.07.23,7.3,15,0.5,1716,1150,651,325,326,286,6.5,87,NIL,0.5,15,879,128
20.07.23,7.3,17,0.4,1552,1040,706,347,359,307,7.1,84,NIL,0.5,17,875,141
21.07.23,7.4,16,0.4,1313,880,629,338,291,286,6.5,80,NIL,0.5,16,888,122
23.07.23,7.4,32,0.1,1492,1000,619,344,275,221,6.3,90,NIL,0.4,32,881,126
24.07.23,7.7,16,0,1343,900,655,351,304,307,7.1,92,NIL,0.5,16,882,139
25.07.23,7.6,17,0,1328,890,638,342,296,286,6.9,87,NIL,0.5,17,892,142
26.07.23,7.3,18,0.4,1328,890,646,388,258,321,7.2,84,NIL,0.5,18,890,133
27.07.23,7.6,17,0.5,1463,980,633,325,308,293,6.5,89,NIL,0.4,17,887,126
28.07.23,7.8,20,0.1,1448,970,620,324,296,260,5.9,93,NIL,0.4,20,891,120
29.07.23,7.7,21,0.1,1418,950,616,317,299,264,6,90,NIL,0.5,21,910,116
30.07.23,7.7,21,0.1,1418,950,616,317,299,264,6,90,NIL,0.5,21,902,116
31.07.23,7.6,20,0.1,1403,940,595,324,271,293,6.6,89,NIL,0.4,20,873,132
MIN.,7.3,17,0,1313,880,595,317,256,142,5.8,80,0,0.4,9,754,108
MAX.,7.8,28,0.5,2800,1680,712,407,360,321,10.5,110,0,0.7,32,929,149
AVG.,7.510714285714285,19,0.1821428571428571,1810.25,1198.9285714285713,657.0357142857143,355.7142857142857,301.32142857142856,280.48275862068965,6.717857142857143,90.5,0,0.5074074074074074,16.75,878.6071428571429,127.25
No. of < Spec,13,--,16,--,--,--,--,--,--,2,--,--,--,--,--,--
No. of > Spec,0,3,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,46.42857142857143,--,57.142857142857146,--,--,--,--,--,--,7.142857142857143,,,,,,--
% > Specs.,0,10.714285714285715,0,,0,0,,--,0,0,0,,0,,0,0
