CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.06.23,8.3,20,0.1,1239,830,462,286,176,202,6,122,NIL,0.4,20,874,110
02.06.23,8.3,21,0,1269,850,475,294,181,216,6.8,120,NIL,0.4,21,893,115
03.06.23,8.2,20,0,1296,864,484,299,220,220,7,122,NIL,0.4,20,754,119
04.06.23,8.2,18,0,1296,864,484,299,220,220,7,122,NIL,0.4,18,901,120
05.06.23,8.1,15,0.1,1253,840,496,298,198,220,6.3,119,NIL,0.3,15,898,110
06.06.23,8,12,0,1462,980,663,375,288,209,6,114,NIL,0.4,12,883,129
07.06.23,7.9,16,0.1,1243,833,504,307,197,223,6.7,116,NIL,0.3,16,890,116
08.06.23,8.2,32,0,1230,824,496,294,202,221,6.4,122,NIL,0.3,32,893,110
09.06.23,8.1,30,0,1319,884,503,298,205,218,6.2,120,NIL,0.3,30,754,108
10.06.23,8.1,28,0,1298,870,500,292,208,212,6,118,NIL,0.3,28,885,102
11.06.23,8.1,22,0.1,1298,870,574,400,174,244,6,113,NIL,0.4,22,881,120
12.06.23,8.1,20,0,1358,910,506,301,205,250,6.5,120,NIL,0.3,20,890,112
13.06.23,7.8,27,0,1492,1000,514,305,209,257,6.8,109,NIL,0.3,27,894,120
14.06.23,7.6,37,0.2,1535,1029,523,318,205,243,7,100,NIL,0.3,37,899,129
15.06.23,7.3,35,0.2,1549,1020,633,342,291,203,6.2,98,NIL,0.3,35,878,124
16.06.23,7.2,37,0.2,1541,1033,654,366,288,200,6.3,96,NIL,0.3,37,916,131
17.06.23,7.9,34,0.2,1572,1042,670,384,286,214,6.9,100,NIL,0.5,34,929,133
18.06.23,7.9,34,0.2,1572,1042,670,384,286,214,6.9,100,NIL,0.5,34,837,118
19.06.23,7.2,37,0,1628,1090,632,362,270,229,6.1,104,NIL,0.3,37,879,122
20.06.23,7.5,47,0.2,1515,1015,562,340,198,214,6.9,100,NIL,0.3,47,875,116
21.06.23,7.6,48,0.8,1582,1060,589,353,236,207,6.5,92,NIL,0.4,48,888,123
22.06.23,7.4,32,0.1,1492,1000,619,344,275,221,6.3,90,NIL,0.4,32,878,119
23.06.23,7.8,40,0.1,1557,1043,628,349,279,214,7.1,87,NIL,0.4,40,881,126
24.06.23,7.9,16,0.4,1672,1128,612,383,229,262,7,96,NIL,0.5,16,882,126
25.06.23,7.9,16,0.4,1672,1128,612,383,229,262,7,96,NIL,0.5,16,892,114
26.06.23,7.4,12,0.2,1688,1131,608,360,248,279,6.8,93,NIL,0.5,12,890,130
27.06.23,7.5,13,0.2,1642,1100,616,355,261,250,6.9,84,NIL,0.5,13,887,123
28.06.23,7.6,14,0.6,1815,1240,625,368,257,257,6.6,92,NIL,0.6,14,891,136
29.06.23,7.4,13,0.5,1791,1200,612,342,270,264,6.5,80,NIL,0.5,13,910,145
30.06.23,7.8,14,0.5,1780,1193,600,332,268,260,6.7,87,NIL,0.5,14,873,140
MIN.,7.2,17,0,1230,824,462,286,174,142,5.8,80,0,0.3,12,754,102
MAX.,8.3,28,0.8,1815,1240,670,400,291,279,10.5,122,0,0.6,48,929,145
AVG.,7.8100000000000005,19,0.18000000000000002,1488.5333333333333,997.1,570.8666666666667,337.1,235.3,227.32258064516128,6.58,104.4,0,0.3931034482758621,25.333333333333332,879.1666666666666,121.53333333333333
No. of < Spec,6,--,16,--,--,--,--,--,--,0,--,--,--,--,--,--
No. of > Spec,10,16,2,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,20,--,53.333333333333336,--,--,--,--,--,--,0,,,,,,--
% > Specs.,33.333333333333336,53.333333333333336,6.666666666666667,,0,0,,--,0,0,0,,0,,0,0
