CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.04.22,8.5,18,0,2228,1493,706,412,294,247,5,133,NIL,0.2,18,874,155
02.04.22,8.1,18,0,2149,1440,714,424,290,261,5.6,122,NIL,0.2,18,754,149
03.04.22,8.1,18,0,2149,1440,714,424,290,261,5.6,122,NIL,0.2,18,754,149
04.04.22,8,20,0.2,1985,1350,702,389,313,254,5.2,122,NIL,0.2,20,893,140
05.04.22,8.4,20,0.2,2045,1370,714,413,301,212,5.9,130,NIL,0.2,20,878,145
06.04.22,8.1,26,0.2,2048,1370,706,390,316,265,5.5,125,NIL,0.2,26,873,144
07.04.22,8.2,30,0.2,2179,1460,692,378,314,275,5.8,126,NIL,0.2,30,893,142
08.04.22,8.232,32,0.2,2006,1344,685,374,311,283,6.2,133,NIL,0.2,32,754,140
09.04.22,8.1,25,0.2,1850,1240,731,357,374,294,6.5,122,NIL,0.2,25,894,145
10.04.22,8.1,25,0.2,1850,1240,731,357,374,294,6.5,122,NIL,0.2,25,894,145
11.04.22,8.5,18,0.1,1701,1140,672,349,323,287,6,129,NIL,0.2,18,890,139
12.04.22,8.4,19,0.1,1737,1164,680,361,319,298,6.3,133,NIL,0.2,19,899,147
13.04.22,8.4,24,0.2,1733,1120,672,357,315,305,6.4,133,NIL,0.2,24,878,150
14.04.22,7.3,16,0,1836,1230,693,374,319,308,6.7,119,NIL,0.2,16,916,152
15.04.22,8,20,0,1770,1210,692,369,323,302,6.2,128,NIL,0.2,20,929,144
16.04.22,8.1,18,0,1704,1142,672,353,319,290,6,122,NIL,0.2,18,929,140
17.04.22,8.1,18,0,1704,1142,672,353,319,290,6,122,NIL,0.2,18,929,140
18.04.22,8.3,22,0,2222,1489,605,357,248,279,5.9,130,NIL,0.2,22,875,139
19.04.22,8.2,20,0,1803,1202,613,314,299,290,6.9,128,NIL,0.2,20,888,136
20.04.22,8.1,24,0,1646,1103,588,353,235,298,6,122,NIL,0.2,24,878,130
21.04.22,7.6,28,0,1734,1162,609,374,235,301,6.2,120,NIL,0.2,28,881,139
22.04.22,7.7,19,0,1615,1082,622,386,236,290,5.9,122,NIL,0.2,19,884,142
23.04.22,8.3,30,0,1701,1140,638,412,226,308,5.5,128,NIL,0.2,30,884,149
24.04.22,8.3,30,0,1701,1140,638,412,226,308,5.5,128,NIL,0.2,30,884,149
25.04.22,8.5,23,0,1866,1250,664,428,236,316,5.8,135,NIL,0.2,23,890,153
26.04.22,8.6,25,0,1955,1310,672,441,231,323,6,139,NIL,0.2,25,886,159
27.04.22,8.4,22,0,2212,1482,685,454,231,327,6.7,134,NIL,0.2,22,899,162
28.04.22,8.7,23,0,1806,1210,706,458,248,316,6.5,139,NIL,0.2,23,905,155
29.04.22,8.5,18,0,1915,1283,714,483,231,305,6.2,139,NIL,0.2,18,881,148
30.04.22,8.3,20,0.1,2119,1420,638,462,176,290,5.5,129,NIL,0.2,20,890,140
MIN.,7.3,17,0,1615,1082,588,314,176,142,5.8,119,0,0.2,16,754,130
MAX.,8.7,28,0.2,2228,1493,731,483,374,327,10.5,139,0,0.2,32,929,162
AVG.,8.2044,19,0.06333333333333334,1898.9666666666667,1272.2666666666667,674.6666666666666,392.26666666666665,282.4,284.48387096774195,6,127.86666666666666,0,0.2000000000000001,22.3,878.5333333333333,145.56666666666666
No. of < Spec,1,--,22,--,--,--,--,--,--,13,--,--,--,--,--,--
No. of > Spec,25,15,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,3.3333333333333335,--,73.33333333333334,--,--,--,--,--,--,43.333333333333336,,,,,,--
% > Specs.,83.33333333333334,50,0,,0,0,,--,0,0,0,,0,,0,0
