CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.06.22,7.9,36,0,1866,1250,754,428,326,219,5.6,122,NIL,0.2,36,874,138
02.06.22,7.8,32,0,1937,1298,769,432,337,211,6.2,114,NIL,0.2,32,754,130
03.06.22,7.9,27,0,2149,1440,916,510,406,202,6.7,114,NIL,0.2,27,754,127
04.06.22,8.2,34,0,1640,1098,692,410,282,204,6,130,NIL,0.2,34,893,124
05.06.22,8.2,34,0,1640,1098,692,410,282,204,6,130,NIL,0.2,34,893,124
06.06.22,8.4,42,0,1660,1112,750,423,327,207,5.3,129,NIL,0.2,42,873,123
07.06.22,8.3,36,0,1693,1134,714,400,314,200,5.8,128,NIL,0.2,36,893,129
08.06.22,8,33,0,1537,1030,670,398,272,172,5.9,129,NIL,0.4,33,754,120
09.06.22,8.2,37,0,1507,1010,527,302,225,110,5.4,120,NIL,0.2,37,894,116
10.06.22,8.5,28,0,1358,910,533,306,227,105,5.8,133,NIL,0.3,28,894,137
11.06.22,8.1,28,0,1254,840,528,297,231,101,6.3,134,NIL,0.4,28,890,128
12.06.22,8.1,28,0,1254,840,528,297,231,101,6.3,134,NIL,0.4,28,890,128
13.06.22,8.3,40,0,1333,893,533,280,253,105,5.8,133,NIL,0.4,40,878,130
14.06.22,8.3,39,0,1318,880,520,272,248,108,6,130,NIL,0.4,39,916,134
15.06.22,8.5,35,0,1279,857,657,337,320,101,6.2,136,NIL,0.3,35,929,100
16.06.22,8.4,40,0,1448,970,675,382,293,93,6.1,132,NIL,0.3,40,929,118
17.06.22,7.5,28,0,1540,1032,684,395,289,110,6.4,128,NIL,0.3,28,929,127
18.06.22,7.9,27,0,1498,1020,674,382,292,112,6.3,130,NIL,0.3,27,875,134
19.06.22,7.9,27,0,1498,1020,674,382,292,112,6.3,130,NIL,0.3,27,875,134
20.06.22,8.2,24,0,1231,825,453,302,151,105,6.1,119,NIL,0.3,24,878,138
21.06.22,8.4,22,0,1119,750,441,295,146,101,6.7,139,NIL,0.2,22,881,123
22.06.22,8.5,20,0,1060,710,435,284,151,110,5.7,142,NIL,0.2,20,884,121
23.06.22,8.4,16,0,1030,690,395,253,142,84,5.9,145,NIL,0.2,16,884,100
24.06.22,7.4,19,0,1129,757,415,275,140,93,6.3,122,NIL,0.2,19,884,133
25.06.22,7.9,21,0,1146,768,422,289,133,101,5.7,118,NIL,0.4,21,890,122
26.06.22,7.9,21,0,1146,768,422,289,133,101,5.7,118,NIL,0.4,21,890,122
27.06.22,8.1,20,0,1168,776,440,296,144,105,5.9,122,NIL,0.4,20,899,120
28.06.22,8.3,27,0,1245,840,451,306,145,114,6.2,120,NIL,0.4,27,905,145
29.06.22,8.4,30,0,1469,984,457,320,137,122,6.7,136,NIL,0.4,30,881,149
30.06.22,8.2,26,0,1702,1144,617,346,271,156,6,133,NIL,0.4,26,890,153
MIN.,7.4,17,0,1030,690,395,253,133,142,5.8,114,0,0.2,16,754,100
MAX.,8.5,28,0,2149,1440,916,510,406,219,10.5,145,0,0.4,42,929,153
AVG.,8.136666666666667,19,0,1428.4666666666667,958.1333333333333,581.2666666666667,343.26666666666665,238,132.61290322580646,6.043333333333332,128.33333333333334,0,0.30000000000000004,29.233333333333334,878.4333333333333,127.56666666666666
No. of < Spec,1,--,30,--,--,--,--,--,--,12,--,--,--,--,--,--
No. of > Spec,20,26,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,3.3333333333333335,--,100,--,--,--,--,--,--,40,,,,,,--
% > Specs.,66.66666666666667,86.66666666666667,0,,0,0,,--,0,0,0,,0,,0,0
