CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.05.23,8.1,15,0.2,2574,1740,910,540,370,334,6,120,NIL,0.5,15,910,150
02.05.23,7.9,13,0.1,2537,1700,907,519,388,328,6.3,119,NIL,0.5,13,864,149
03.05.23,7.9,15,0.1,2310,1548,894,506,388,312,6.7,116,NIL,0.5,15,754,152
04.05.23,7.9,14,0,2490,1596,874,509,365,240,6,118,NIL,0.5,14,864,140
05.05.23,7.8,13,0,2507,1680,898,519,379,244,6.3,120,NIL,0.5,13,860,142
06.05.23,7.8,13,0,2364,1584,885,510,375,236,6,114,NIL,0.5,13,873,139
07.05.23,8.3,19,0,2373,1590,870,502,368,230,6.9,118,NIL,0.5,19,910,135
08.05.23,8.3,19,0,2373,1590,870,502,368,230,6.9,118,NIL,0.5,19,910,135
09.05.23,8.1,22,0.5,2634,1765,885,506,379,240,6,119,NIL,0.5,22,864,145
10.05.23,8.2,38,0.6,2507,1680,872,489,383,229,6.2,122,NIL,0.5,38,887,135
11.05.23,8.2,35,0.5,2671,1790,850,475,375,218,6.8,120,NIL,0.5,35,875,130
12.05.23,7.8,62,0.7,2432,1630,864,489,375,250,7.2,100,NIL,0.5,62,888,148
13.05.23,7.8,68,0.9,2463,1650,859,475,384,259,6.9,104,NIL,0.4,68,877,152
14.05.23,7.8,68,0.9,2463,1650,859,475,384,259,6.9,104,NIL,0.4,68,872,152
15.05.23,8,46,0.1,2284,1530,501,305,196,223,6.8,100,NIL,0.6,46,869,100
16.05.23,7.9,32,0.6,2254,1510,855,480,375,257,6.9,100,NIL,0.5,32,958,140
17.05.23,7.8,28,0.4,2149,1440,837,471,366,237,6.5,112,NIL,0.6,28,878,134
18.05.23,7.5,34,0.5,2403,1610,850,480,370,250,6.7,100,NIL,0.6,34,871,130
19.05.23,7.5,36,0.9,2373,1590,868,493,375,244,6,110,NIL,0.6,36,873,148
20.05.23,7.9,34,0.4,2522,1690,876,510,366,230,6.2,114,NIL,0.6,34,864,142
21.05.23,7.4,47,0.2,2237,1500,881,501,380,237,6,100,NIL,0.5,47,878,139
22.05.23,7.4,47,0.2,2237,1500,881,501,380,237,6,100,NIL,0.5,47,881,139
23.05.23,8,55,0.1,2462,1650,894,519,375,230,6.6,110,NIL,0.5,55,984,145
24.05.23,7.8,40,0,2179,1460,885,510,375,226,6.9,114,NIL,0.5,40,982,140
25.05.23,7.9,39,0,2194,1470,920,523,397,244,7,118,NIL,0.5,39,875,137
26.05.23,7.5,26,0,2254,1510,907,514,393,237,6.8,110,NIL,0.5,26,960,147
27.05.23,8,26,0.2,2223,1490,911,532,379,316,7.2,120,NIL,0.5,26,893,156
28.05.23,8,26,0.2,2223,1490,911,532,379,316,7.2,120,NIL,0.5,26,888,156
29.05.23,7.5,22,0.6,2149,1440,894,506,388,230,6.9,112,NIL,0.5,22,872,140
30.05.23,7.7,30,0.6,2090,1400,881,492,389,223,6.4,100,NIL,0.5,30,893,137
31.05.23,7.6,33,0.5,2074,1390,873,480,393,220,6.2,112,NIL,0.5,33,890,132
MIN,7.4,17,0,2074,1390,501,305,196,142,5.8,100,0,0.4,13,754,100
MAX.,8.3,28,0.9,2671,1790,920,540,397,334,10.5,122,0,0.6,68,984,156
AVG.,7.848387096774194,19,0.32258064516129026,2355,1576.225806451613,868.4516129032259,495.64516129032256,372.80645161290323,247.125,6.561290322580645,111.74193548387096,0,0.51,32.74193548387097,887.6451612903226,140.83870967741936
No. of < Spec,2,--,12,--,--,--,--,--,--,0,--,--,--,--,--,--
No. of > Spec,6,23,8,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,6.451612903225806,--,38.70967741935483,--,--,--,--,--,--,0,,,,,,--
% > Specs.,19.354838709677416,74.19354838709677,25.806451612903224,,0,0,,--,0,0,0,,0,,0,0
