CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.08.23,7.4,59,0.1,1676,1123,650,315,335,264,6,100,NIL,0.5,59,910,135
02.05.23,7.9,13,0.1,2537,1700,907,519,388,328,6.3,119,NIL,0.5,13,864,149
03.05.23,7.9,15,0.1,2310,1548,894,506,388,312,6.7,116,NIL,0.5,15,754,152
04.08.23,7.5,40,0.1,2075,1390,643,325,318,282,6.5,104,NIL,0.6,40,864,142
05.08.23,7.4,38,0,2119,1420,691,360,331,272,6.8,110,NIL,0.6,38,860,136
,7.8,13,0,2364,1584,885,510,375,236,6,114,NIL,0.5,13,873,139
07.08.23,7.8,25,0,2268,1520,703,366,337,286,6.2,113,NIL,0.6,25,910,152
08.08.23,7.8,22,0.1,2313,1550,698,360,338,275,6,102,NIL,0.6,22,910,148
09.08.23,7.9,26,0,2372,1589,815,437,378,398,6.7,110,NIL,0.6,26,864,154
10.08.23,7.2,25,0,2373,1590,824,445,379,433,7,112,NIL,0.6,25,887,158
11.08.23,7.6,28,0,2376,1592,818,440,378,438,6.9,118,NIL,0.6,28,875,150
12.08.23,7.6,24,0,2448,1640,820,399,421,391,6.5,100,NIL,0.6,24,888,140
,7.8,68,0.9,2463,1650,859,475,384,259,6.9,104,NIL,0.4,68,877,152
14.08.23,7.514,14,0,2507,1680,832,480,352,400,6.2,104,NIL,0.6,14,872,144
15.08.23,7.4,15,0,2573,1700,793,472,321,410,6.4,116,NIL,0.6,15,869,150
16.08.23,6.9,23,0.3,2229,1494,800,484,316,424,6.9,113,NIL,0.6,23,958,155
17.08.23,7.1,36,0.1,2149,1440,843,496,347,440,7,104,NIL,0.6,36,878,157
18.08.23,7.8,31,0.6,2209,1430,835,389,446,398,6.9,114,NIL,0.6,31,871,141
19.08.23,7.4,40,0,2074,1390,822,411,411,384,7,98,NIL,0.6,40,873,138
20.05.23,7.9,34,0.4,2522,1690,876,510,366,230,6.2,114,NIL,0.6,34,864,142
21.08.23,8.2,20,0.1,2223,1489,829,418,411,387,6.4,99,NIL,0.6,20,878,134
22.05.23,7.4,47,0.2,2237,1500,881,501,380,237,6,100,NIL,0.5,47,881,139
23.05.23,8,55,0.1,2462,1650,894,519,375,230,6.6,110,NIL,0.5,55,984,145
24.05.23,7.8,40,0,2179,1460,885,510,375,226,6.9,114,NIL,0.5,40,982,140
25.08.23,7.2,25,0.2,2209,1480,818,450,368,412,6.9,110,NIL,0.6,25,875,138
26.05.23,7.5,26,0,2254,1510,907,514,393,237,6.8,110,NIL,0.5,26,960,147
27.05.23,8,26,0.2,2223,1490,911,532,379,316,7.2,120,NIL,0.5,26,893,156
28.05.23,8,26,0.2,2223,1490,911,532,379,316,7.2,120,NIL,0.5,26,888,156
29.08.23,7.6,15,0.1,2119,1420,794,433,361,405,5.9,100,NIL,0.5,15,872,139
30.05.23,7.7,30,0.6,2090,1400,881,492,389,223,6.4,100,NIL,0.5,30,893,137
31.05.23,7.6,33,0.5,2074,1390,873,480,393,220,6.2,112,NIL,0.5,33,890,132
MIN,6.9,17,0,1676,1123,643,315,316,142,5.8,98,0,0.4,13,754,132
MAX.,8.2,28,0.9,2573,1700,911,532,446,440,10.5,120,0,0.6,68,984,158
AVG.,7.632709677419354,19,0.16129032258064518,2266.1290322580644,1516.0967741935483,825.5483870967741,454.19354838709677,371.35483870967744,319.09375,6.5677419354838715,109.03225806451613,0,0.5533333333333331,30.06451612903226,887.6451612903226,145.06451612903226
No. of < Spec,9,--,21,--,--,--,--,--,--,1,--,--,--,--,--,--
No. of > Spec,1,24,3,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,29.032258064516128,--,67.74193548387096,--,--,--,--,--,--,3.225806451612903,,,,,,--
% > Specs.,3.225806451612903,77.41935483870967,9.677419354838708,,0,0,,--,0,0,0,,0,,0,0
