CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2023-12-01 00:00:00,7.38,79,NIL,1934,1296,1082,629,453,217,3.8,-,NIL,0.5,,,138
2023-12-02 00:00:00,7.42,50,NIL,2054,1376,1008,576,432,246,4.2,-,NIL,0.5,,,143
2023-12-04 00:00:00,8.19,29,NIL,2239,1500,999,550,449,224,4.1,-,NIL,0.5,,,160
2023-12-06 00:00:00,7.12,54,0.9,1982,1328,1047,590,457,231,4,-,NIL,0.5,,,133
2023-12-14 00:00:00,7.21,32,0.6,1820,1220,950,537,413,244,4.4,-,NIL,0.5,,,151
2023-12-15 00:00:00,7.09,40,0.5,1715,1176,937,546,391,252,4.2,-,NIL,0.5,,,148
2023-12-16 00:00:00,7.46,45,0.5,1910,1280,928,537,391,244,4.3,-,NIL,0.5,,,150
2023-12-18 00:00:00,7.1,46,0.3,1611,1080,937,48,889,289,4,-,NIL,0.5,,,139
2023-12-19 00:00:00,7.56,49,NIL,1432,960,929,575,354,259,3.7,-,NIL,0.5,,,88
2023-12-19 00:00:00,7.4,50,0.8,1507,1010,1035,731,304,289,3.8,-,NIL,0.5,,,142
2023-12-20 00:00:00,7.2,70,0.9,1478,990,966,653,313,252,4.1,-,NIL,0.5,,,138
2023-12-21 00:00:00,6.88,61,0.8,1407,943,975,644,331,259,4,-,NIL,0.5,,,140
2023-12-22 00:00:00,7.39,65,0.8,1658,1111,1017,658,359,274,3.8,-,NIL,0.5,,,132
2023-12-23 00:00:00,7.89,61,NIL,1697,1018,1040,630,410,311,4.6,-,NIL,0.5,,,138
2023-12-25 00:00:00,8.64,98,NIL,1422,953,865,524,341,289,4.2,-,NIL,0.5,,,135
2023-12-26 00:00:00,7.9,78,NIL,1413,947,851,501,350,311,4.3,-,NIL,0.5,,,141
2023-12-27 00:00:00,7.54,62,NIL,1623,1088,925,469,456,274,2,-,NIL,0.5,,,138
2023-12-28 00:00:00,7.56,48,NIL,1618,1083,911,483,428,296,1.6,-,NIL,0.5,,,135
2023-12-29 00:00:00,7.41,42,1,1440,965,1012,621,391,311,1.5,,NIL,0.5,,,142
2023-12-30 00:00:00,7.9,35,NIL,1461,979,994,543,451,326,1.7,,NIL,0.5,,,121
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
MIN,6.88,17,0.3,1407,943,851,48,304,142,5.8,0,0,0.5,0,0,88
MAX.,8.64,28,1,2239,1500,1082,731,889,326,10.5,0,0,0.5,0,0,160
AVG.,7.5120000000000005,19,0.71,1671.05,1115.15,970.4,552.25,418.15,263.8095238095238,3.6149999999999998,,0,0.5,,,137.6
No. of < Spec,12,--,0,--,--,--,--,--,--,20,--,--,--,--,--,--
No. of > Spec,2,20,7,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,60,--,0,--,--,--,--,--,--,100,,,,,,--
% > Specs.,10,100,70,,0,0,,--,0,0,,,0,,,0
