CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2024-02-01 00:00:00,7.05,27,NIL,2461,1649,823,443,380,274,4.1,-,NIL,0.5,,,70
2024-02-02 00:00:00,7.61,20,NIL,2483,1664,793,407,386,259,3.6,-,NIL,0.5,,,63
2024-02-03 00:00:00,7.5,13,NIL,2263,1516,814,420,394,252,3.2,-,NIL,0.5,,,62
2024-02-05 00:00:00,7.35,12,NIL,2382,1596,852,437,415,215,2.9,-,NIL,0.5,,,66
2024-02-06 00:00:00,7.1,37,NIL,2120,1421,810,424,386,237,3.1,-,NIL,0.5,,,69
2024-02-07 00:00:00,7.55,15,NIL,2261,1515,831,445,386,259,2.8,-,NIL,0.5,,,61
2024-02-08 00:00:00,7.77,39,0.5,2071,1388,750,428,322,252,2.5,-,NIL,0.5,,,69
2024-02-09 00:00:00,7.51,53,0.5,1968,1319,776,437,339,266,2.8,-,NIL,0.5,,,72
2024-02-10 00:00:00,7.29,39,0.5,2022,1355,767,420,347,244,3.1,-,NIL,0.5,,,66
2024-02-12 00:00:00,7.66,30,NIL,1673,1121,636,301,335,244,3.4,-,NIL,0.5,,,72
2024-02-13 00:00:00,7.19,28,NIL,1611,1080,644,310,334,259,3.1,-,NIL,0.5,,,68
2024-02-14 00:00:00,7.27,25,NIL,2094,1403,704,301,403,244,2.8,-,NIL,0.5,,,72
2024-02-15 00:00:00,7.55,21,NIL,2008,1346,691,288,403,229,3.2,-,NIL,0.5,,,71
2024-02-16 00:00:00,7.84,15,NIL,2034,1363,742,267,475,215,2.8,-,NIL,0.5,,,68
2024-02-20 00:00:00,7.29,14,NIL,2619,1755,784,479,305,244,3.1,-,NIL,0.5,,,56
2024-02-21 00:00:00,7.41,24,NIL,2612,1750,810,471,339,222,3.3,-,NIL,0.5,,,66
2024-02-22 00:00:00,7.5,24,NIL,2544,1705,797,458,339,237,3.1,-,NIL,0.5,,,61
2024-02-23 00:00:00,7.27,17,NIL,2878,1928,818,488,330,259,2.8,-,NIL,0.5,,,55
2024-02-26 00:00:00,7.76,48,NIL,2478,1660,907,522,385,281,3.9,-,NIL,0.5,,,68
2024-02-27 00:00:00,7.34,39,NIL,2508,1681,895,509,386,224,4.1,-,NIL,0.5,,,65
2024-02-28 00:00:00,7.4,25,NIL,2397,1606,903,517,386,259,3.9,-,NIL,0.5,,,63
2024-02-29 00:00:00,7.42,26,NIL,2335,1565,912,522,390,281,4.1,-,NIL,0.5,,,69
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
MIN,7.05,17,0.5,1611,1080,636,267,305,142,5.8,0,0,0.5,0,0,55
MAX.,7.84,28,0.5,2878,1928,912,522,475,281,10.5,0,0,0.5,0,0,72
AVG.,7.437727272727272,19,0.5,2264.6363636363635,1517.5454545454545,793.5909090909091,422.45454545454544,371.1363636363636,243.3913043478261,3.2590909090909084,,0,0.5,,,66
No. of < Spec,12,--,0,--,--,--,--,--,--,22,--,--,--,--,--,--
No. of > Spec,0,15,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,54.54545454545455,--,0,--,--,--,--,--,--,100.00000000000001,,,,,,--
% > Specs.,0,68.18181818181819,0,,0,0,,--,0,0,,,0,,,0
