CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.03.23,8.3,82,0.5,3164,2120,1071,605,466,343,6,120,NIL,0.4,82,910,123
02.03.23,8.3,85,0.4,3179,2130,1080,620,460,350,6.1,122,NIL,0.4,85,864,138
03.03.23,8.1,87,0.4,3194,2140,1072,610,462,346,6.2,119,NIL,0.3,87,754,135
04.03.23,8.2,84,0.3,3015,2020,1033,594,439,340,5.9,122,NIL,0.3,84,864,132
05.03.23,8.2,84,0.3,3015,2020,1033,594,439,340,5.9,122,NIL,0.3,84,864,132
06.03.23,7.9,74,0.3,2407,1613,890,517,373,320,5.9,110,NIL,0.3,74,873,133
07.03.23,7.9,84,0.3,2552,1710,940,554,386,289,6,100,NIL,0.3,84,864,140
09.03.23,8.2,78,0.1,2704,1812,945,546,399,274,5.7,116,NIL,0.3,78,873,142
10.03.23,7.8,80,0.1,2472,1656,916,533,383,274,6,100,NIL,0.3,80,864,133
11.03.23,8,51,0.2,2164,1450,874,509,365,240,6,112,NIL,0.3,51,875,128
12.03.23,8,51,0.2,2164,1450,874,509,365,240,6,112,NIL,0.3,51,875,128
13.03.23,7.8,54,0.2,2191,1468,882,512,370,244,6.1,110,NIL,0.3,54,875,123
14.03.23,8.2,35,0.4,1388,930,521,311,210,297,6.1,118,NIL,0.2,35,877,110
15.03.23,7.6,50,0.1,2134,1430,861,496,263,251,6.3,100,NIL,0.3,50,881,128
16.03.23,7.9,42,0.1,2104,1410,843,509,334,248,6.5,112,NIL,0.3,42,869,134
17.03.23,7.6,40,0,2254,1510,836,491,345,236,6,114,NIL,0.3,40,958,130
18.03.23,7.8,28,0,2000,1240,790,483,307,229,6.7,100,NIL,0.2,28,878,126
19.03.23,7.8,28,0,2000,1240,790,483,307,229,6.7,100,NIL,0.2,28,878,126
20.03.23,7.9,29,0.2,2313,1550,798,487,311,236,6.1,118,NIL,0.3,29,873,130
21.03.23,7.8,38,0,2033,1360,754,463,291,212,6.3,118,NIL,0.2,38,864,122
22.03.23,7.9,36,0,2015,1350,735,454,281,190,6.2,120,NIL,0.2,36,878,120
23.03.23,7.9,40,0.2,2012,1348,727,449,278,198,6.5,112,NIL,0.2,40,890,129
24.03.23,7.9,43,0.3,1791,1200,672,441,231,190,6,100,NIL,0.3,43,984,118
25.03.23,8,46,0,1925,1290,685,458,227,198,6.9,112,NIL,0.3,46,982,125
26.03.23,8,46,0,1925,1290,685,458,227,198,6.9,112,NIL,0.3,46,982,125
27.03.23,8.2,39,0.5,1806,1210,680,420,260,206,6,119,NIL,0.2,39,960,130
28.03.23,7.7,90,0.7,2224,1490,811,479,332,221,7.4,114,NIL,0.4,90,893,136
29.03.23,7.6,90,0.6,2000,1340,806,470,336,213,7.4,112,NIL,0.4,90,890,140
30.03.23,7.9,88,0.6,2090,1400,798,462,336,206,7.1,104,NIL,0.4,88,872,138
31.03.23,7.6,17,0,1388,930,521,311,210,142,5.8,100,0,0.2,28,754,110
MAX.,8.3,28,0.7,3194,2140,1080,620,466,350,10.5,122,0,0.4,90,984,142
AVG.,7.944827586206897,19,0.2413793103448276,2283.9655172413795,1523.344827586207,841.448275862069,500.58620689655174,337.3448275862069,250,6.306896551724138,112.06896551724138,0,0.28928571428571426,58.689655172413794,888.4137931034483,129.44827586206895
No. of < Spec,0,--,11,--,--,--,--,--,--,4,--,--,--,--,--,--
No. of > Spec,8,29,3,--,3,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,0,--,37.93103448275862,--,--,--,--,--,--,13.793103448275861,,,,,,--
% > Specs.,27.586206896551722,100,10.344827586206897,,10.344827586206897,0,,--,0,0,0,,0,,0,0
