CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2023-11-01 00:00:00,7.83,21,-,2093,1401,823,312,511,266,3.1,-,NIL,0.7,,,158
2023-11-02 00:00:00,7.84,61,NIL,2181,1558,809,303,506,280,3.3,-,NIL,0.6,,,162
03.11.23,7.67,21,NIL,2131,1428,777,402,375,287,3.5,-,NIL,0.5,,,158
2023-11-04 00:00:00,7.7,26,NIL,1962,1315,818,378,440,311,3.8,-,NIL,0.5,,,186
2023-11-06 00:00:00,7.76,35,NIL,2015,1350,840,383,457,282,3.5,-,NIL,0.5,,,181
2023-11-07 00:00:00,7.9,22,NIL,1963,1315,845,378,467,275,3.4,-,NIL,0.5,,,188
2023-11-08 00:00:00,7.26,33,NIL,2119,1420,849,365,484,260,3.3,-,NIL,0.5,,,175
2023-11-09 00:00:00,7.88,19,NIL,1954,1309,858,378,480,282,3.5,-,NIL,0.5,,,179
2023-11-10 00:00:00,7.5,46,0.7,1934,1296,836,453,383,289,3.3,-,NIL,0.5,,,162
11.11.23,7.4,69,NIL,2034,1363,836,453,383,246,3.5,-,NIL,-,,,152
2023-11-17 00:00:00,7.67,30,NIL,1410,945,827,427,400,253,3.5,-,NIL,0.5,,,144
2023-11-21 00:00:00,7.33,22,NIL,1381,925,827,440,387,253,3.1,-,NIL,0.5,,,141
2023-11-22 00:00:00,7.11,41,NIL,1204,790,818,444,374,239,2.9,-,NIL,0.5,,,139
2023-11-23 00:00:00,7.29,24,NIL,1037,695,858,449,409,246,3.2,-,NIL,0.5,,,246
2023-11-24 00:00:00,7.99,59,NIL,919,616,937,532,405,224,3.2,-,NIL,0.5,,,124
2023-11-28 00:00:00,7.58,86,NIL,1210,811,968,524,444,253,3.4,-,NIL,0.5,,,149
2023-11-29 00:00:00,7.75,115,NIL,1260,844,950,532,418,239,3.1,-,NIL,0.5,,,141
2023-11-30 00:00:00,7.45,70,NIL,2054,1376,968,541,427,231,3.3,-,NIL,0.5,,,145
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
MIN,7.11,17,0.7,919,616,777,303,374,142,5.8,0,0,0.5,0,0,124
MAX.,7.99,28,0.7,2181,1558,968,541,511,311,10.5,0,0,0.6,0,0,246
AVG.,7.606111111111111,19,0.7,1714.5,1153.1666666666667,858,427.44444444444446,430.55555555555554,255.68421052631578,3.327777777777778,,0,0.50625,,,162.77777777777777
No. of < Spec,6,--,0,--,--,--,--,--,--,18,--,--,--,--,--,--
No. of > Spec,0,17,1,--,0,0,--,--,0,0,0,--,0,--,0,4
% < Specs.,33.33333333333333,--,0,--,--,--,--,--,--,100,,,,,,--
% > Specs.,0,94.44444444444444,100,,0,0,,--,0,0,,,0,,,22.22222222222222
