CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.09.23,7.35,33,0.4,2104,1410,735,386,349,355,6.9,-,NIL,0.7,,,166
2023-09-02 00:00:00,7.72,56,0.4,2037,1365,748,399,349,369,7.1,102,NIL,0.7,,,172
2023-09-04 00:00:00,7.56,21,0.3,1731,1160,617,314,303,282,5.9,110,NIL,0.5,,,121
2023-09-05 00:00:00,7.72,42,NIL,2701,1810,760,399,361,398,7.3,-,NIL,0.7,,,188
2023-09-06 00:00:00,7.36,32,NIL,2173,1456,718,365,353,291,7.1,-,NIL,0.7,,,181
2023-09-07 00:00:00,7.8,25,NIL,2294,1540,760,372,388,390,6.4,-,NIL,0.6,,,180
2023-09-08 00:00:00,7.73,26,NIL,2268,1520,714,357,357,398,6.5,-,NIL,0.7,,,184
2023-09-09 00:00:00,7.69,22,NIL,2074,1390,733,369,364,391,6.2,-,NIL,0.7,,,188
2023-09-11 00:00:00,6.92,16,NIL,2240,1501,757,365,392,391,6.4,-,NIL,0.6,,,179
2023-09-12 00:00:00,7.45,20,NIL,2209,1480,768,372,396,398,6,-,NIL,0.6,,,189
2023-09-13 00:00:00,7.41,17,NIL,2365,1585,760,376,384,405,6.2,-,NIL,0.7,,,182
2023-09-14 00:00:00,7.81,21,0.2,2011,1348,768,365,403,383,6.1,-,NIL,0.6,,,174
2023-09-15 00:00:00,7.72,24,0.3,2150,1427,776,396,380,376,6,-,NIL,0.6,,,179
2023-09-16 00:00:00,7.13,20,0.6,1940,1300,768,380,388,391,5.8,-,NIL,0.7,,,193
2023-09-18 00:00:00,7.56,20,0.3,1985,1330,811,384,427,362,5.1,-,NIL,0.7,,,193
2023-09-19 00:00:00,7.64,22,0.2,2020,1350,820,390,430,354,5.3,-,NIL,0.7,,,187
2023-09-20 00:00:00,7.24,30,0.7,1703,1141,795,392,403,369,5.3,-,NIL,0.7,,,189
2023-09-21 00:00:00,7.25,41,0.6,1752,1174,803,376,427,376,5.6,,NIL,0.6,,,178
2023-09-22 00:00:00,7.28,42,0.7,1731,1160,799,380,419,369,5.2,-,NIL,0.6,,,182
2023-09-23 00:00:00,7.4,41,NIL,1789,1199,795,388,407,362,5.4,-,NIL,0.6,,,188
2023-09-25 00:00:00,7.56,38,NIL,1686,1130,757,369,388,311,5,-,NIL,0.6,,,163
2023-09-26 00:00:00,7.44,42,0.4,1564,1048,764,376,388,347,5.1,-,NIL,0.6,,,178
2023-09-27 00:00:00,7.74,45,0.7,1583,1061,784,384,400,369,5.3,-,NIL,0.6,,,186
2023-09-29 00:00:00,7.12,61,0.8,1957,1311,792,392,400,376,5.2,-,NIL,0.7,,,172
2023-09-30 00:00:00,7.21,59,0.6,2064,1383,795,380,415,362,5.1,-,NIL,0.6,,,178
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
,,,,,,,,,,,,NIL,,,,
MIN,6.92,17,0.2,1564,1048,617,314,303,142,5.8,102,0,0.5,0,0,121
MAX.,7.81,28,0.8,2701,1810,820,399,430,405,10.5,110,0,0.7,0,0,193
AVG.,7.472400000000001,19,0.48000000000000004,2005.24,1343.16,763.88,377.04,386.84,358.34615384615387,5.899999999999999,106,0,0.6416666666666664,,,178.8
No. of < Spec,13,--,0,--,--,--,--,--,--,13,--,--,--,--,--,--
No. of > Spec,0,20,7,--,0,0,--,--,0,0,0,--,0,--,0,13
% < Specs.,52,--,0,--,--,--,--,--,--,52,,,,,,--
% > Specs.,0,80,46.66666666666667,,0,0,,--,0,0,0,,0,,,52
