CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.07.23,7.6,17,0.1,1940,1300,600,340,260,240,6.2,91,NIL,0.5,17,910,134
02.07.23,7.6,17,0,1940,1300,600,340,260,240,6.2,91,NIL,0.5,17,864,139
03.07.23,7.8,19,0,1865,1250,612,351,261,243,6.5,96,NIL,0.8,19,754,140
04.07.23,7.4,20,0.3,2213,1453,642,368,274,257,6.8,100,NIL,0.8,20,864,159
06.07.23,7.5,28,0,2000,1340,625,342,283,271,7,102,NIL,0.7,28,873,152
07.07.23,7,70,0,2373,1590,642,355,287,279,6.5,87,NIL,0.7,70,910,157
09.07.23,7.9,27,0,1704,1142,549,344,205,200,6.5,120,NIL,0.4,27,864,130
10.07.23,7.5,26,0,2313,1550,702,377,325,216,7.5,90,NIL,0.7,26,887,169
11.07.23,7.3,20,0,2246,1504,693,364,329,321,6.2,94,NIL,0.7,20,875,136
12.07.23,7.6,30,0.5,1963,1315,689,372,317,293,7.2,97,NIL,0.7,30,888,162
13.07.23,7.9,28,0,1970,1320,678,364,314,290,6.9,98,NIL,0.7,28,877,153
14.07.23,7.6,24,0,2239,1500,693,364,329,286,6.7,100,NIL,0.7,24,872,159
15.07.23,7.6,24,0,2015,1350,685,360,325,270,7,98,NIL,0.7,24,869,152
16.07.23,7.6,24,0,2015,1350,685,360,325,270,7,98,NIL,0.7,24,958,158
17.07.23,7.7,20,0,1970,1320,690,355,335,250,6.8,100,NIL,0.7,20,878,167
18.07.23,7.8,30,0.3,2134,1430,706,351,355,264,6.9,98,NIL,0.7,30,871,158
19.07.23,7.3,37,0.3,2090,1400,687,342,345,243,7,90,NIL,0.7,37,873,153
20.07.23,7.7,40,0.3,1940,1300,710,364,346,279,6.9,100,NIL,0.7,40,864,161
21.07.23,7.6,39,0,1910,1280,676,351,325,271,6,96,NIL,0.7,39,878,150
23.07.23,7.2,25,0.1,1955,1310,623,344,279,243,6.5,96,NIL,0.5,25,984,145
24.07.23,7.5,20,0,1627,1090,710,368,342,271,5.9,102,NIL,0.6,20,882,146
25.07.23,7.4,21,0,1522,1020,698,372,326,300,6.2,102,NIL,0.5,21,875,149
26.07.23,7.4,22,0,1403,940,706,364,342,290,5.9,87,NIL,0.5,22,960,152
27.07.23,7.3,21,0,1487,966,681,342,339,279,6.3,92,NIL,0.5,21,893,140
28.07.23,7.7,20,0.1,1343,900,648,300,348,254,6.9,104,NIL,0.5,20,888,134
29.07.23,7.9,18,0.1,1333,893,659,312,347,257,6.2,100,NIL,0.5,18,872,136
30.07.23,7.9,18,0.1,1333,893,659,312,347,257,6.2,100,NIL,0.5,18,886,149
31.07.23,7.5,48,0.1,1636,1096,668,321,347,272,6.1,104,NIL,0.5,48,893,139
MIN,7,17,0,1333,893,549,300,205,142,5.8,87,0,0.4,17,754,130
MAX.,7.9,28,0.5,2373,1590,710,377,355,321,10.5,120,0,0.8,70,984,169
AVG.,7.564285714285714,19,0.08214285714285716,1874.25,1253.642857142857,664.8571428571429,349.9642857142857,314.89285714285717,260.2758620689655,6.571428571428571,97.60714285714286,0,0.6259259259259258,26.892857142857142,884.3571428571429,149.25
No. of < Spec,8,--,23,--,--,--,--,--,--,2,--,--,--,--,--,--
No. of > Spec,0,18,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,28.571428571428573,--,82.14285714285715,--,--,--,--,--,--,7.142857142857143,,,,,,--
% > Specs.,0,64.28571428571429,0,,0,0,,--,0,0,0,,0,,0,0
