CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.06.23,7.5,24,0.5,2047,1370,872,484,388,230,6.5,100,NIL,0.5,24,910,142
02.06.23,7.6,35,0,1940,1300,859,475,384,223,6.3,110,NIL,0.5,35,864,139
03.06.23,7.9,37,0,2000,1340,870,480,390,230,6.9,118,NIL,0.5,37,754,140
04.06.23,7.9,37,0,2000,1340,870,480,390,230,6.9,118,NIL,0.5,37,864,140
05.06.23,8,39,0.5,1492,1000,560,329,231,226,6.2,114,NIL,0.5,39,860,120
06.06.23,7.8,37,0.1,1350,905,517,315,202,230,6.5,120,NIL,0.4,37,873,122
07.06.23,8,35,0,1257,854,562,352,210,202,7,118,NIL,0.4,35,910,125
08.06.23,7.9,27,0,1704,1142,549,344,205,200,6.5,120,NIL,0.4,27,910,133
09.06.23,7.8,25,0,1737,1164,530,337,193,204,6.9,116,NIL,0.4,25,864,130
10.06.23,7.7,24,0,1750,1173,542,340,202,208,6,112,NIL,0.4,24,887,133
11.06.23,7.7,22,0,1750,1173,542,340,202,208,6,112,NIL,0.4,22,875,130
12.06.23,7.7,24,0,1552,1040,541,340,201,236,7.2,100,NIL,0.3,24,888,145
13.06.23,7.6,23,0,1611,1080,558,349,209,243,7.5,118,NIL,0.3,23,877,150
14.06.23,7.8,24,0.2,1573,1054,567,358,209,257,7,104,NIL,0.3,24,872,142
15.06.23,7.6,30,0.1,1950,1293,593,359,234,218,6.9,95,NIL,0.3,30,869,132
16.06.23,7.4,31,0.2,1966,1317,584,344,240,221,6,100,NIL,0.3,31,958,137
17.06.23,7.5,28,0.2,1952,1310,562,339,223,218,7,98,NIL,0.4,28,878,130
18.06.23,7.5,25,0.2,1952,1310,562,339,223,218,7,98,NIL,0.4,25,871,130
19.06.23,7.5,41,0,2000,1340,606,344,262,214,7,95,NIL,0.3,41,873,128
20.06.23,7.3,30,0.1,1630,1092,637,388,249,236,7.1,92,NIL,0.3,30,864,146
21.06.23,7.6,28,0,1896,1270,615,358,257,214,6.8,100,NIL,0.5,28,878,138
22.06.23,7.2,25,0.1,1955,1310,623,344,279,243,6.5,96,NIL,0.5,25,881,140
23.06.23,7.3,28,0.1,2462,1650,894,519,375,230,6.6,110,NIL,0.5,55,984,145
24.06.23,7.6,37,0.3,1640,1093,589,348,241,240,6.5,92,NIL,0.6,37,982,130
25.06.23,7.6,33,0.3,1640,1093,589,348,241,240,6.5,92,NIL,0.6,33,875,137
26.06.23,7.7,35,0.1,1655,1109,579,351,228,243,6.7,89,NIL,0.7,35,960,139
27.06.23,7.1,30,0.1,1916,1284,612,345,267,237,5.9,90,NIL,0.7,30,893,141
28.06.23,7.4,28,0,1671,1120,603,242,361,229,6.3,82,NIL,0.8,28,888,146
29.06.23,7.6,27,0.1,1851,1240,621,351,270,243,6.9,84,NIL,0.8,27,872,151
30.06.23,7.7,28,0.1,1895,1270,634,369,265,240,7,90,NIL,0.8,28,893,146
MIN,7.1,17,0,1257,854,517,242,193,142,5.8,82,0,0.3,22,754,120
MAX.,8,28,0.5,2462,1650,894,519,390,257,10.5,120,0,0.8,55,984,151
AVG.,7.6166666666666645,19,0.11000000000000001,1793.1333333333334,1201.2,628.0666666666667,367.03333333333336,261.03333333333336,224.29032258064515,6.670000000000001,102.76666666666667,0,0.4758620689655172,30.8,887.5666666666667,136.9
No. of < Spec,6,--,22,--,--,--,--,--,--,1,--,--,--,--,--,--
No. of > Spec,0,30,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,20,--,73.33333333333334,--,--,--,--,--,--,3.3333333333333335,,,,,,--
% > Specs.,0,100,0,,0,0,,--,0,0,0,,0,,0,0
