CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.04.22,8.4,20,0,2567,1720,794,458,336,232,5.4,105,NIL,0.2,20,910,168
02.04.22,7.1,20,0,2501,1680,785,449,336,224,7,110,NIL,0.2,20,864,170
03.04.22,7.1,20,0,2501,1680,785,449,336,224,7,110,NIL,0.2,20,864,170
04.04.22,8.1,20,0,2463,1650,752,441,311,377,5.8,102,NIL,0.2,20,864,165
05.04.22,8.3,19,0,2537,1700,743,445,298,369,6,110,NIL,0.2,19,887,160
06.04.22,8.2,18,0,2507,1680,722,437,285,355,6.2,102,NIL,0.2,18,864,150
07.04.22,7.5,18,0,2633,1764,714,428,286,312,6,100,NIL,0.2,18,887,152
08.04.22,7.5,21,0,2597,1740,735,433,302,327,6.6,102,NIL,0.2,21,887,150
09.04.22,7.5,20,0,2457,1780,769,462,307,363,6,112,NIL,0.2,20,864,172
10.04.22,7.5,20,0,2457,1780,769,462,307,363,6,112,NIL,0.2,20,864,172
11.04.22,7.7,20,0.1,2570,1792,756,458,298,334,6.3,102,NIL,0.2,20,878,156
12.04.22,7.7,23,0,2810,1883,790,491,299,348,6.9,109,NIL,0.2,23,875,166
13.04.22,7.7,20,0,2982,1998,794,500,294,363,7.2,113,NIL,0.2,20,877,169
14.04.22,8.4,30,0,3151,2098,802,517,285,377,7,120,NIL,0.2,30,881,176
15.04.22,7.9,28,0.2,2792,1810,772,492,280,340,6.2,110,NIL,0.2,28,869,160
16.04.22,8.2,35,0.2,2642,1770,790,500,290,348,6.6,100,NIL,0.2,35,958,165
17.04.22,8.2,35,0.2,2642,1770,790,500,290,348,6.6,100,NIL,0.2,35,958,165
18.04.22,7.8,41,0.5,3239,2170,920,546,374,356,6.2,109,NIL,0.2,41,893,178
19.04.22,7.9,35,0.2,3018,2022,911,542,369,327,6,100,NIL,0.2,35,873,170
20.04.22,7.7,40,0.1,2866,1920,882,563,319,327,6.1,107,NIL,0.2,40,864,168
21.04.22,7.858,58,0.5,3107,2082,903,580,801,298,6.4,102,NIL,0.2,58,878,179
22.04.22,7.9,42,0.1,2746,1840,882,567,315,312,6.1,100,NIL,0.2,42,890,167
23.04.22,7.9,79,0.5,3149,2110,899,584,315,327,6.6,100,NIL,0.2,79,984,170
24.04.22,7.9,79,0.5,3149,2110,899,584,315,327,6.6,100,NIL,0.2,79,984,170
25.04.22,7.6,65,0.2,2851,1910,890,580,310,305,6,104,NIL,0.2,65,878,162
26.04.22,7.8,42,0.1,2403,1610,899,601,298,327,6.9,113,NIL,0.2,42,880,170
27.04.22,7.7,39,0.1,2388,1600,882,588,294,348,7.1,100,NIL,0.2,39,880,165
28.04.22,8,28,0,2098,1398,878,580,298,334,7,109,NIL,0.2,28,889,166
29.04.22,8.3,22,0,2097,1405,869,567,302,305,6.6,118,NIL,0.2,22,881,169
30.04.22,8.2,18,0.1,2448,1640,752,550,202,312,4.2,109,NIL,0.2,18,890,159
MIN.,7.1,17,0,2097,1398,714,428,202,142,5.8,100,0,0.2,18,864,150
MAX.,8.4,28,0.5,3239,2170,920,601,801,377,10.5,120,0,0.2,79,984,179
AVG.,7.851933333333335,19,0.12000000000000002,2678.9333333333334,1803.7333333333333,817.6,511.8,321.73333333333335,321,6.353333333333333,106.33333333333333,0,0.2000000000000001,32.5,890.5,165.96666666666667
No. of < Spec,2,--,21,--,--,--,--,--,--,3,--,--,--,--,--,--
No. of > Spec,9,18,0,--,3,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,6.666666666666667,--,70,--,--,--,--,--,--,10,,,,,,--
% > Specs.,30,60,0,,10,0,,--,0,0,0,,0,,0,0
