CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.01.22,7.6,29,0,3088,2069,821,484,337,331,6.6,118,NIL,0.2,29,910,160
02.01.22,7.5,84,0,3048,2033,996,884,112,412,6.5,116,NIL,0.2,84,864,158
03.01.22,7.7,26,0,2752,1844,839,496,343,329,6.9,112,NIL,0.2,26,754,163
04.01.22,7.7,27,0,3119,2090,886,570,316,342,6.9,120,NIL,0.2,27,864,170
05.01.22,8.1,27,0,3358,2250,1045,626,419,410,7.1,122,NIL,0.2,27,887,174
06.01.22,8.1,28,0,3149,2110,991,601,390,378,7,121,NIL,0.2,28,873,173
07.01.22,8,25,0,2970,1990,895,512,383,330,6.5,110,NIL,0.2,25,864,159
08.01.22,8,27,0,3363,2253,924,504,420,648,6.3,112,NIL,0.2,27,864,170
09.01.22,7.6,50,0,3746,2510,1084,692,392,570,6.8,112,NIL,0.3,50,887,220
10.01.22,7.8,32,0,4836,3240,1004,588,25,1094,7.2,120,NIL,0.2,32,873,189
11.01.22,7.2,33,0,4761,3190,1021,546,475,900,7,100,NIL,0.2,33,864,180
12.01.22,7.9,27,0,3851,2580,966,559,407,994,6.8,100,NIL,0.2,27,878,176
13.01.22,7.8,20,0,3567,2390,991,542,25,1022,7.1,119,,0.2,20,890,184
,,,,,,,,,,,,,,,,
15.01.22,7.7,22,0,3442,2240,982,536,446,959,7,112,,0.2,22,877,180
16.01.22,7.6,32,0,2403,1610,806,567,239,502,6.9,114,NIL,0.2,32,881,186
17.01.22,7.7,27,0,3047,2024,785,462,323,770,7,100,NIL,0.2,27,869,162
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
20.01.22,8,40,0,2805,1880,861,528,333,664,6.4,120,NIL,0.2,40,878,173
21.01.22,8.1,38,0,2880,1930,903,550,353,744,6.4,112,NIL,0.2,38,893,160
22.01.22,8.4,32,0,3029,2030,924,512,412,730,6.9,100,NIL,0.2,32,873,174
23.01.22,8.1,33,0,2493,1670,818,572,246,428,5.8,110,NIL,0.2,33,864,163
24.01.22,8,34,0,2825,1893,932,564,368,766,6.1,120,NIL,0.2,34,878,175
25.01.22,7.9,42,0,2716,1820,916,594,322,752,6,116,NIL,0.2,42,890,169
,,,,,,,,,,,,,,,,
27.01.22,8.3,47,0,2772,1850,926,538,27,762,6.4,124,NIL,0.2,47,893,186
28.01.22,8.1,38,0,2764,1839,907,529,,732,6.2,110,NIL,0.2,38,878,182
29.01.22,8.4,52,0,3045,2040,806,504,2,591,6.2,124,NIL,0.2,52,893,167
30.01.22,7.6,26,0,2961,1984,825,564,,320,6.4,110,NIL,0.2,26,873,150
31.01.22,7.9,34,0,2710,1820,890,520,,720,6.7,102,NIL,0.2,34,864,170
.,,,,,,,,,,,,,,,,
MIN.,7.2,17,0,2403,1610,785,462,2,142,5.8,100,0,0.2,20,754,150
MAX.,8.4,28,0,4836,3240,1084,884,475,1094,10.5,124,0,0.3,84,910,220
AVG.,7.881481481481482,19,0,3166.6666666666665,2117.740740740741,916.4444444444445,560.8888888888889,296.4583333333333,619.3571428571429,6.633333333333333,113.18518518518519,0,0.20384615384615395,34.51851851851852,873.1851851851852,173.07407407407408
No. of < Spec,1,--,27,--,--,--,--,--,--,1,--,--,--,--,--,--
No. of > Spec,8,26,0,--,9,0,--,--,18,0,0,--,0,--,0,6
% < Specs.,3.7037037037037037,--,100,--,--,--,--,--,--,3.7037037037037037,,,,,,--
% > Specs.,29.62962962962963,96.29629629629629,0,,33.333333333333336,0,,--,66.66666666666667,0,0,,0,,0,22.22222222222222
