CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,TSS,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,Max. 20 ppm,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2024-08-01 00:00:00,7.24,31,,NIL,1746,1170,805,443,362,300,2.1,-,NIL,0.5,,,80
2024-08-02 00:00:00,7.88,14,,NIL,1452,973,791,447,344,284,2.2,-,NIL,0.5,,,78
2024-08-03 00:00:00,7.7,12,,NIL,1676,1123,798,447,351,288,2.1,-,NIL,0.5,,,75
2024-08-05 00:00:00,7.71,14,,NIL,1805,1210,759,420,339,259,2.3,-,NIL,0.5,,,80
2024-08-06 00:00:00,7.98,12,,NIL,2132,1429,773,429,344,259,2.5,-,NIL,0.5,,,75
2024-08-07 00:00:00,7.89,19,,NIL,2566,1791,782,420,362,284,2.4,-,NIL,0.5,,,78
2024-08-08 00:00:00,7.54,12,,NIL,2714,1819,814,434,380,275,2.5,-,NIL,0.5,,,76
2024-08-09 00:00:00,7.31,27,,NIL,,2060,805,425,380,284,2.4,-,NIL,0.5,,,78
2024-08-10 00:00:00,7.77,18,,0.1,2718,1962,827,458,369,264,2.5,-,NIL,0.6,,,68
2024-08-12 00:00:00,7.85,25,,NIL,3298,2210,1202,588,614,267,2.5,-,NIL,0.6,,,79
2024-08-13 00:00:00,7.26,23,,NIL,3014,2020,1214,589,625,284,2.6,-,NIL,0.6,,,75
2024-08-14 00:00:00,7.74,25,,NIL,2797,1874,1205,575,630,259,2.4,-,NIL,0.5,,,78
2024-08-16 00:00:00,7.47,37,,0.1,2328,1560,1207,658,549,259,2.4,-,NIL,0.5,,,77
2024-08-17 00:00:00,7.51,37,,NIL,2035,1364,1219,672,547,284,2.4,-,NIL,0.5,,,77
2024-08-20 00:00:00,7.58,31,,NIL,1965,1317,1293,745,548,284,2.3,-,NIL,0.6,,,93
2024-08-21 00:00:00,7.25,32,,0.1,1967,1318,777,483,294,284,2.3,-,NIL,0.6,,,95
2024-08-22 00:00:00,6.95,81,,0.6,2908,1972,828,506,322,267,2.4,-,NIL,0.5,,,86
2024-08-23 00:00:00,7.6,36,,NIL,1780,1193,805,570,235,251,2.4,-,NIL,0.5,,,81
2024-08-24 00:00:00,7.62,27,,NIL,1861,1247,851,580,271,292,2.6,-,NIL,0.6,,,79
2024-08-27 00:00:00,7.26,35,,NIL,1880,1260,764,529,235,295,2.5,-,NIL,0.5,,,78
2024-08-28 00:00:00,7.47,21,,NIL,1964,1316,833,566,267,275,2.7,-,NIL,0.5,,,81
2024-08-29 00:00:00,7.4,23,,0.5,1992,1335,842,589,308,275,2.3,-,NIL,0.5,,,85
2024-08-30 00:00:00,7.6,22,,0.4,2279,1527,851,570,281,275,2.5,-,NIL,0.5,,,83
2024-08-31 00:00:00,7.6,23,,NIL,1961,1314,810,437,373,251,2.7,-,NIL,0.6,,,93
2024-09-02 00:00:00,7.11,16,,0.6,1843,1235,843,767,76,228,2.6,-,NIL,0.5,,,84
2024-09-03 00:00:00,7,22,,NIL,2032,1362,838,356,482,483,2.8,-,NIL,0.6,,,80
2024-09-04 00:00:00,7.02,30,,1,2608,1748,970,427,543,203,2.6,-,NIL,0.6,,,91
2024-09-05 00:00:00,6.96,32,,NIL,2247,1506,940,417,523,227,2.8,-,NIL,0.6,,,85
2024-09-06 00:00:00,7.23,36,,NIL,2925,1960,889,523,366,252,3.3,-,NIL,0.6,,,89
07.09.24,7.17,20,,0.2,2383,1597,904,508,396,236,3.2,-,NIL,0.6,,,90
09.09.24,7.38,21,,0.7,2155,1444,909,472,437,252,3.1,-,NIL,0.6,,,83
10.09.24,7.54,22,,NIL,1536,1029,864,447,417,244,2.9,-,NIL,0.6,,,77
11.09.24,7.44,12,,NIL,1934,1296,838,432,406,236,3.1,-,NIL,-,,,81
12.09.24,7.16,16,,0.6,2024,1356,899,437,462,226,3,-,NIL,0.6,,,79
13.09.24,7.31,22,,0.2,1516,1016,889,427,462,218,3.1,-,NIL,0.5,,,84
2024-09-14 00:00:00,7.3,18,,NIL,2270,1521,914,442,472,240,3.3,-,NIL,0.5,,,80
2024-09-17 00:00:00,8.23,90,,NIL,1073,719,828,737,91,391,3.2,-,NIL,0.5,,,81
2024-09-18 00:00:00,7.7,86,,0.2,1110,744,848,332,516,211,3,-,NIL,0.5,,,79
19.09.24,7.6,35,,0.4,1144,767,749,403,346,192,3.1,-,NIL,0.5,,,83
2024-09-20 00:00:00,7.02,33,,0.2,1446,969,758,389,369,187,3.3,-,NIL,0.5,,,78
21.09.24,7.76,20,,NIL,1347,903,728,385,343,171,3.5,-,NIL,0.5,,,80
23.09.24,7.69,22,,0.5,1608,1078,696,348,348,178,3.3,-,NIL,0.5,,,80
2024-09-24 00:00:00,7.15,20,,NIL,1774,1189,668,339,329,186,3.3,-,NIL,0.5,,,80
25.09.24,7.59,30,,0.5,1613,1081,724,380,344,203,3.5,-,NIL,0.5,,,81
2024-09-26 00:00:00,7.29,30,,0.8,1613,1081,701,371,330,186,3.2,-,NIL,0.5,,,85
2024-09-27 00:00:00,7.2,23,,NIL,1805,1210,665,324,341,175,3.1,-,NIL,0.5,,,82
2024-09-28 00:00:00,6.97,15,,NIL,1740,1166,661,333,328,167,3.3,-,NIL,0.5,,,79
30.09.24,6.9,18,,0.2,1812,1214,665,328,337,160,3.1,-,NIL,0.5,,,81
2024-10-01 00:00:00,7.25,18,,0.6,1882,1261,858,496,362,255,2.7,-,NIL,0.6,,,83
2024-10-02 00:00:00,7.75,16,,0.6,1844,1236,844,487,357,248,2.6,-,NIL,0.6,,,85
03.10.24,7.15,18,,0.5,1502,1007,835,473,362,233,2.5,-,NIL,0.5,,,81
04.10.24,7.66,24,,0.5,1762,1181,844,478,366,240,2.4,-,NIL,0.5,,,83
2024-10-05 00:00:00,7.37,20,,0.5,1825,1223,640,469,171,240,2.5,-,NIL,0.5,,,87
2024-10-07 00:00:00,7.53,22,,0.6,1582,1060,691,436,255,226,2.3,-,NIL,0.6,,,86
08.10.24,7.82,51,,0.8,1679,1125,655,429,226,262,2.4,-,NIL,0.5,,,85
09.10.24,7.66,40,,NIL,1743,1168,660,420,240,240,2.1,-,NIL,0.5,,,82
10.10.24,7.92,35,,NIL,1968,1319,673,307,366,247,2.2,-,NIL,0.5,,,85
11.10.24,7.85,33,,NIL,2192,1469,664,294,370,212,2.1,-,NIL,0.5,,,79
12.10.24,7.83,28,,0.5,2674,1792,669,289,380,247,2.2,-,NIL,0.5,,,81
2024-10-14 00:00:00,6.83,28,,1,2573,1724,678,325,353,306,2.3,-,NIL,0.5,,,82
15.10.24,6.95,29,,1,2984,1999,687,334,353,298,2.1,-,NIL,0.5,,,81
16.10.24,7.48,24,,0.2,2779,1862,678,330,348,291,2.2,-,NIL,0.5,,,86
17.10.24,7.85,19,,NIL,2331,1562,655,325,330,277,2.3,-,NIL,0.5,,,83
18.10.24,7.43,18,,NIL,2553,1711,659,339,320,277,2.1,-,NIL,0.5,,,82
19.10.24,7.36,22,,0.8,2764,1852,668,336,332,284,2.2,-,NIL,0.5,,,79
21.10.24,7.67,24,,0.6,2496,1672,696,292,404,370,4.3,-,NIL,0.6,,,80
22.10.24,7.35,30,,0.4,2385,1598,770,362,408,335,3.5,-,NIL,0.6,,,82
23.10.24,7.48,21,,0.4,2714,1819,789,371,418,364,3.5,-,NIL,0.5,,,86
24.10.24,7.65,18,,NIL,2577,1727,759,253,506,349,3.4,-,NIL,0.5,,,80
25.10.24,6.96,21,,0.4,2865,1920,768,366,402,364,3.5,-,NIL,0.5,,,86
26.10.24,7.39,37,,0.8,2463,1650,764,362,402,357,3.4,-,NIL,0.5,,,80
28.10.24,STOP,,,,,,,,,,,,,,,,
29.10.24,STOP,,,,,,,,,,,,,,,,
30.10.24,8.32,69,,NIL,1597,1070,678,325,353,306,3.3,-,NIL,0.5,,,86
31.10.24,7.01,65,,NIL,1825,1223,657,318,339,335,3.3,-,NIL,0.5,,,84
04.11.24,7.42,60,,1,2328,1560,691,390,301,387,3.2,-,NIL,0.5,,,83
05.11.24,7.86,62,,NIL,2422,1623,702,405,297,320,3.1,-,NIL,0.5,,,81
06.11.24,7.65,35,,NIL,2455,1645,706,401,305,306,3.2,-,NIL,0.5,,,85
07.11.24,7.68,36,,NIL,2813,1885,708,396,312,313,3.3,-,NIL,0.5,,,84
08.11.24,7.82,55,,0.9,2913,1952,726,409,317,306,3.2,-,NIL,0.5,,,86
09.11.24,8.51,53,,0.9,3268,2190,968,594,374,313,3.3,-,NIL,0.5,,,85
11.11.24,7.49,43,,NIL,3283,2200,906,573,333,306,3.1,-,NIL,0.5,,,83
12.11.24,7.1,30,,NIL,3402,2280,911,581,330,298,3.2,-,NIL,0.5,,,36
13.11.24,6.93,38,,0.4,3671,2460,895,562,333,334,3.1,-,NIL,0.5,,,83
14.11.24,7.83,37,,0.1,3179,2130,853,541,312,306,3.2,-,NIL,0.5,,,80
15.11.24,7.56,37,,NIL,2850,1910,844,499,345,291,3.1,-,NIL,0.5,,,82
16.11.24,7.8,37,,NIL,2965,1987,832,508,324,291,3.1,-,NIL,0.5,,,81
18.11.24,7.8,26,,NIL,3104,2080,853,499,354,298,3.2,-,NIL,0.5,,,83
19.11.24,8.16,30,,NIL,3000,2010,911,503,408,306,3.3,-,NIL,0.5,,,82
20.11.24,7.01,29,,0.9,3268,2190,903,516,387,327,3.4,-,NIL,0.5,,,83
21.11.24,7.22,30,,NIL,2870,1923,915,500,415,306,3.5,-,NIL,0.5,,,86
22.11.24,6.36,28,,0.9,3164,2120,907,512,395,320,3.2,-,NIL,0.5,,,80
23.11.24,7.7,37,,0.3,3104,2080,920,512,408,313,3.5,-,NIL,0.5,,,84
25.11.24,7.84,30,,NIL,2885,1993,920,512,408,313,3.4,-,NIL,0.5,,,80
26.11.24,7.01,25,,0.9,2985,2000,924,517,407,320,3.5,-,NIL,0.5,,,82
