CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,TSS,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,"Max.20
PPM",0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2024-09-02 00:00:00,8.85,-,,NIL,,875,425,262,163,130,7,295,6,-,,,-
2024-09-03 00:00:00,8.8,-,,NIL,1313,880,423,260,163,127,6.9,297,6,-,,,-
2024-09-04 00:00:00,8.65,-,,NIL,1291,865,427,263,164,130,6.7,302,6,-,,,-
2024-09-05 00:00:00,8.98,-,,NIL,1194,800,438,274,164,139,6.8,318,7,-,,,-
2024-09-06 00:00:00,9.22,-,,NIL,1102,720,350,224,126,142,7,300,8,-,,,-
2024-09-07 00:00:00,9.28,-,,NIL,1044,700,348,219,129,144,7.2,310,9,-,,,-
2024-09-09 00:00:00,9.25,27,,NIL,1077,722,353,229,124,146,6.9,315,8,-,,,-
2024-09-10 00:00:00,8.84,20,,NIL,1041,698,368,238,130,133,6.5,302,7,-,,,-
11.09.24,8.9,-,,NIL,1020,684,364,233,131,130,6.2,298,8,-,,,-
2024-09-12 00:00:00,8.96,21,,NIL,970,650,356,224,132,134,6,300,9,-,,,-
2024-09-13 00:00:00,8.92,-,,NIL,1004,673,360,229,131,140,6.2,303,9,-,,,-
2024-09-14 00:00:00,8.87,-,,NIL,1014,680,365,232,133,145,6.4,310,9,-,,,-
2024-09-16 00:00:00,8.85,13,,NIL,1132,759,344,213,131,122,6,290,4,-,,,-
17.09.24,8.9,11,,NIL,1140,764,369,233,136,128,6.2,302,5,-,,,-
2024-09-18 00:00:00,9,12,,NIL,1094,733,359,230,129,130,6.4,310,6,-,,,-
2024-09-19 00:00:00,8.89,13,,NIL,1073,724,346,213,133,124,6.6,308,5,-,,,-
2024-09-20 00:00:00,8.86,-,,NIL,1064,713,366,208,158,142,6,316,7,-,,,-
2024-09-21 00:00:00,8.87,12,,NIL,1053,703,354,200,154,140,6.4,310,6,-,,,-
2024-09-23 00:00:00,8.78,14,,NIL,1040,697,358,208,150,137,6.5,317,5,-,,,-
2024-09-24 00:00:00,8.7,11,,NIL,1014,680,369,212,157,129,6.4,320,4,-,,,-
2024-09-25 00:00:00,8.78,12,,NIL,1033,692,357,200,157,132,6,309,6,-,,,-
2024-09-26 00:00:00,9.1,14,,NIL,1030,690,398,264,134,140,6.5,320,9,-,,,-
2024-09-27 00:00:00,9.09,18,,NIL,1041,698,409,254,155,122,6.8,328,8,-,,,-
2024-09-28 00:00:00,8.2,16,,NIL,1164,780,456,293,163,120,7,340,10,-,,,-
30.09.24,9.25,16,,NIL,1149,770,444,290,154,127,6.9,332,9,-,,,-
01.10.24,8.85,9.1,,NIL,1179,790,475,296,179,122,7,325,9,-,,,-
2024-10-02 00:00:00,9.18,15,,NIL,1164,780,488,293,195,130,6.4,348,9,-,,,-
03.10.24,8.93,15,,NIL,1088,729,533,330,203,138,7,314,8,-,,,-
2024-10-04 00:00:00,8.9,15,,NIL,1097,735,545,337,208,132,7,310,8,-,,,-
2024-10-05 00:00:00,8.93,15,,NIL,1089,730,542,336,206,137,6.9,317,8,-,,,-
2024-10-07 00:00:00,8.9,-,,NIL,1124,753,473,,473,120,7.1,339,6,-,,,-
08.10.24,8.94,-,,NIL,1119,750,470,291,179,126,6.8,344,7,-,,,-
2024-10-09 00:00:00,9.25,10,,NIL,1184,793,502,309,193,125,6.4,378,9,-,,,-
10.10.24,9.3,13,,NIL,1176,788,509,310,199,121,6.6,384,9,-,,,-
11.10.24,9.09,15,,NIL,1208,810,513,,513,124,6.9,390,7,-,,,-
2024-10-12 00:00:00,9.15,19,,NIL,1219,817,507,314,193,130,6.7,390,7,-,,,-
2024-10-14 00:00:00,8.8,18,,NIL,1269,850,540,335,205,128,7,309,6,-,,,-
15.10.24,9.25,16,,NIL,1234,827,523,324,199,135,6.8,315,7,-,,,-
16.10.24,9.2,7,,NIL,1104,740,430,266,164,135,6.4,310,8,-,,,-
17.10.24,9.4,13,,NIL,1014,680,380,235,145,170,6.8,344,10,-,,,-
18.10.24,9.3,12,,NIL,1009,672,354,226,128,168,6,340,9,-,,,-
19.10.24,9.27,12,,NIL,1007,675,360,227,133,175,6.2,332,8,-,,,-
21.10.24,9.2,13,,NIL,1074,720,400,248,152,159,6.4,302,8,-,,,-
22.10.24,9.1,12,,NIL,1201,805,422,259,163,162,6.9,300,6,-,,,-
23.10.24,9.15,12,,NIL,1211,812,413,256,157,168,6.7,295,7,-,,,-
24.10.24,9.2,10,,1,1238,830,420,273,147,170,6.5,300,9,-,,,-
25.10.24,9.14,11,,NIL,1185,794,412,268,144,164,7,302,8,-,,,-
2024-10-26 00:00:00,9.25,16,,0.8,1200,804,423,274,149,159,6.4,318,9,-,,,-
28.10.24,9.04,17,,NIL,1108,743,403,264,139,142,6,300,6,-,,,-
29.10.24,9.1,19,,0.8,1100,737,410,264,146,148,6,307,7,-,,,-
30.10.24,9.1,16,,0.2,1119,750,395,254,141,140,6.8,298,6,-,,,-
31.10.24,9.1,15,,0.5,1030,690,410,269,141,140,6.8,304,8,-,,,-
04.11.24,9,15,,0.2,960,643,415,273,142,144,6,318,7,-,,,-
05.11.24,9.1,14,,NIL,925,620,422,280,142,140,6.3,321,9,-,,,-
06.11.24,9.1,14,,NIL,935,627,433,282,151,152,6.5,314,8,-,,,-
07.11.24,9.08,11,,NIL,955,640,440,284,156,160,6.5,320,9,-,,,-
08.11.24,9.1,10,,0.2,925,620,398,246,152,130,6.7,340,10,-,,,-
09.11.24,9.02,11,,0.3,886,594,350,233,117,120,6.9,310,8,-,,,-
11.11.24,9.02,12,,0.9,873,580,343,224,119,129,7.2,300,7,-,,,-
12.11.24,9.14,14,,0.2,885,593,350,239,111,132,7.4,308,9,-,,,-
13.11.24,9.1,12,,0.2,910,610,357,221,136,137,7.4,316,9,-,,,-
14.11.24,9.28,13,,0.4,943,632,330,214,116,133,6.9,310,8,-,,,-
15.11.24,9.3,13,,0.3,958,642,337,208,129,137,6.9,317,9,-,,,-
16.11.24,9.26,15,,NIL,973,652,345,213,132,142,7,324,9,-,,,-
18.11.24,8.01,15,,0.3,1014,680,357,221,136,155,6,130,NIL,-,,,-
19.11.24,6.5,15,,NIL,885,593,240,148,92,142,6.5,100,NIL,-,,,-
20.11.24,7,,,0.5,939,629,250,155,95,139,7,92,NIL,-,,,-
21.11.24,7.5,,,NIL,804,539,210,130,80,106,6.8,83,NIL,-,,,-
22.11.24,7.6,-,,0.2,776,520,200,124,76,94,7,74,NIL,-,,,-
23.11.24,7.5,-,,0.2,801,537,220,136,84,115,7.2,80,NIL,-,,,-
25.11.24,8.1,-,,NIL,887,594,240,150,90,118,6.9,86,NIL,-,,,-
26.11.24,8.15,-,,0.3,955,640,248,159,89,122,6.5,88,NIL,-,,,-
27.11.24,7.65,-,,0.3,925,620,200,126,74,95,6.5,100,NIL,-,,,-
28.11.24,8.1,-,,0.3,858,575,215,133,82,90,6.5,110,NIL,-,,,-
29.11.24,8,-,,0.2,880,590,212,131,81,124,6.3,100,NIL,-,,,-
30.11.24,8,-,,0.2,850,570,200,124,76,118,6.5,115,NIL,-,,,-
02.12.24,8,-,,0.2,805,540,192,119,73,107,6.7,150,NIL,-,,,-
03.12.24,7.8,-,,0.1,641,430,160,99,61,94,6.8,100,NIL,-,,,-
04.12.24,8.4,-,,0.2,613,411,200,125,75,96,7,100,2,-,,,-
05.12.24,7.6,-,,0.2,589,395,196,121,75,94,6.9,90,NIL,-,,,-
06.12.24,6.5,-,,NIL,650,436,210,130,80,100,7,98,NIL,-,,,-
07.12.24,6.5,-,,NIL,687,460,220,136,84,93,7.3,59,NIL,-,,,-
09.12.24,6,-,,0.2,634,425,200,124,76,106,7,50,NIL,-,,,-
10.12.24,6.7,-,,0.2,653,438,218,135,83,110,7.5,62,NIL,-,,,-
11.12.24,7,32,,0.2,650,436,226,140,86,117,7.3,69,NIL,-,,,-
12.12.24,7.5,-,,0.4,630,422,180,112,68,94,5.9,94,NIL,-,,,-
13.12.24,7.9,-,,0.2,671,450,192,119,73,99,6.2,93,NIL,-,,,-
14.12.24,8.1,-,,NIL,776,520,230,142,88,118,6.2,100,NIL,-,,,-
16.12.24,8.2,-,,NIL,850,570,215,133,82,112,6.5,110,NIL,-,,,-
17.12.24,8,-,,NIL,731,490,180,111,69,95,6.8,92,NIL,-,,,-
18.12.24,8.1,-,,NIL,643,431,195,120,75,107,6.6,100,NIL,-,,,-
19.12.24,8.3,-,,NIL,653,438,210,130,80,95,6.8,110,NIL,-,,,-
20.12.24,8.45,-,,NIL,668,448,200,122,78,110,6.4,142,NIL,-,,,-
21.12.24,8.4,-,,NIL,692,464,215,133,82,117,6.6,166,2,-,,,-
23.12.24,8.5,-,,0.1,731,490,240,148,92,142,6.8,183,5,-,,,-
24.12.24,8.65,-,,NIL,749,502,248,153,95,146,6.5,200,6,-,,,-
25.12.24,8.6,-,,0.2,768,515,240,148,92,150,6.4,210,5,-,,,-
26.12.24,8.55,-,,0.2,749,502,250,161,89,140,6.7,200,4,-,,,-
27.12.24,8.5,-,,0.3,764,512,254,160,94,142,6.2,204,4,-,,,-
28.12.24,8.6,-,,0.2,776,520,260,161,99,118,6.7,210,3,-,,,-
30.12.24,8.5,-,,0.1,813,545,245,151,94,125,6.9,230,4,-,,,-
31.12.24,8.68,-,,0.2,682,457,210,130,80,127,67,245,3,-,,,-
01.01.25,8.8,-,,0.2,701,470,217,137,80,136,6.9,260,NIL,-,,,-
02.01.25,8.6,-,,0.5,723,485,227,140,87,145,6.5,249,3,-,,,-
03.01.25,8.65,-,,NIL,701,470,236,146,90,150,6.2,240,4,-,,,-
04.01.25,8.7,-,,NIL,761,510,240,150,90,156,6.5,248,5,-,,,-
08.01.25,8.6,-,,NIL,850,470,250,155,95,110,5.5,200,3,-,,,-
