CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.04.23,8,82,,0.6,2124,1423,773,433,340,213,7.2,113,NIL,0.3,82,910,136
02.04.23,8.3,85,,0.4,3179,2130,1080,620,460,350,6.1,122,NIL,0.4,85,864,138
03.04.23,7.8,59,,0,2210,1481,781,441,340,221,7.3,118,NIL,0.3,59,754,140
04.04.23,7.8,54,,0,2210,1481,781,441,340,221,7.3,118,NIL,0.3,54,754,140
05.04.23,7.6,67,,0.6,1982,1328,764,424,340,198,7.1,104,NIL,0.4,67,864,136
06.04.23,7.6,68,,0.6,1940,1300,756,420,336,213,7.2,98,NIL,0.4,68,873,128
07.04.23,7.9,59,,0,2149,1440,785,454,331,221,6.9,120,NIL,0.4,59,864,134
08.04.23,7.9,48,,0.1,2090,1400,793,460,333,219,6.7,112,NIL,0.4,48,873,138
09.04.23,7.9,48,,0.1,2090,1400,793,460,333,219,6.7,112,NIL,0.4,48,873,135
10.04.23,7.7,39,,0.2,2030,1360,806,492,314,221,6.5,110,NIL,0.4,39,875,142
11.04.23,7.9,32,,0,2060,1380,811,500,311,229,6.8,118,NIL,0.4,32,875,137
12.04.23,7.6,51,,0.1,1985,1330,819,504,315,236,7,120,NIL,0.4,51,875,149
13.04.23,7.5,52,,0.6,2283,1530,832,525,307,251,7.1,100,NIL,0.4,52,877,146
14.04.23,7.7,59,,0.1,1821,1220,823,517,306,229,7,112,NIL,0.4,59,881,139
15.04.23,8.1,28,,0.2,2318,1550,860,533,327,273,7.2,118,NIL,0.5,28,869,148
16.04.23,8.1,28,,0.2,2318,1550,860,533,327,273,7.2,118,NIL,0.5,28,869,140
17.04.23,8,24,,0.1,2283,1530,857,521,336,251,7,116,NIL,0.4,24,878,146
18.04.23,7.5,47,,0.6,2297,1539,861,529,332,236,6.6,100,NIL,0.3,47,878,141
19.04.23,8.2,55,,0.2,2236,1498,860,529,331,233,6.4,124,NIL,0.5,55,873,142
20.04.23,8.2,59,,0,2228,1493,853,521,332,229,6,122,NIL,0.5,59,864,139
21.04.23,7.9,39,,0.5,1866,1250,844,512,332,221,6.2,104,NIL,0.5,39,878,132
22.04.23,7.9,35,,0.5,1881,1250,875,504,371,206,6.8,102,NIL,0.5,35,890,128
23.04.23,7.9,35,,0.5,1881,1250,875,504,371,206,6.8,102,NIL,0.5,35,890,130
24.04.23,7.9,46,,0.1,2298,1540,827,519,308,213,6.8,112,NIL,0.5,46,982,140
25.04.23,7.9,37,,0.1,2373,1590,815,504,311,229,6.7,113,NIL,0.5,37,982,151
26.04.23,7.5,39,,0.5,2267,1520,841,514,327,206,6.2,100,NIL,0.5,39,960,132
27.04.23,8.1,37,,0.8,2403,1610,940,536,404,289,6,120,NIL,0.6,37,893,120
28.04.23,8.1,36,,0.2,2527,1693,933,528,405,312,6,122,NIL,0.6,36,890,150
29.04.23,8,30,,0,2269,1520,920,523,397,320,6.3,118,NIL,0.6,30,872,156
01.05.23,8.1,15,,0.2,2574,1740,910,540,370,334,6,120,NIL,0.5,15,910,150
02.05.23,7.9,13,,0.1,2537,1700,907,519,388,328,6.3,119,NIL,0.5,13,864,149
03.05.23,7.9,15,,0.1,2310,1548,894,506,388,312,6.7,116,NIL,0.5,15,754,152
04.05.23,7.9,14,,0,2490,1596,874,509,365,240,6,118,NIL,0.5,14,864,140
05.05.23,7.8,13,,0,2507,1680,898,519,379,244,6.3,120,NIL,0.5,13,860,142
06.05.23,7.8,13,,0,2364,1584,885,510,375,236,6,114,NIL,0.5,13,873,139
07.05.23,8.3,19,,0,2373,1590,870,502,368,230,6.9,118,NIL,0.5,19,910,135
