CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,TSS,FRC,COND,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,Max. 20 PPM,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.01.24,7.56,44,,NIL,1173,786,902,474,428,229,1.2,-,NIL,0.5,,,57
02.01.24,7.72,34,,NIL,1104,740,888,483,405,237,1.5,-,NIL,0.5,,,59
03.01.24,7.66,35,,NIL,1055,707,897,469,428,252,1.4,-,NIL,0.5,,,52
04.01.24,7.72,31,,NIL,1048,702,892,478,414,237,1.3,-,NIL,0.5,,,57
2024-01-05 00:00:00,8.23,36,,NIL,1235,828,934,515,419,222,1.6,-,NIL,0.5,,,52
2024-01-06 00:00:00,8.36,32,,0.2,1299,870,925,501,424,244,1.8,-,NIL,0.5,,,46
2024-01-08 00:00:00,7.56,32,,0.4,1440,965,681,414,267,171,1.8,-,NIL,0.5,,,55
2024-01-09 00:00:00,7.62,32,,0.6,1531,1026,690,428,262,186,1.5,-,NIL,0.5,,,49
2024-01-10 00:00:00,7.9,30,,NIL,1544,1035,736,419,317,178,3.9,-,NIL,0.5,,,53
2024-01-11 00:00:00,7.58,32,,NIL,1497,1003,745,428,317,171,3.8,-,NIL,0.5,,,55
12.01.24,7.33,33,,NIL,1567,1050,708,400,308,186,3.7,-,NIL,0.5,,,46
2024-01-16 00:00:00,8.36,76,,NIL,1786,1197,662,359,303,186,3.6,-,NIL,0.5,,,41
2024-01-17 00:00:00,7.53,47,,NIL,1717,1151,619,339,280,193,3.4,-,NIL,0.5,,,47
2024-01-18 00:00:00,7.24,46,,NIL,1710,1146,636,288,348,178,3.8,-,NIL,0.5,,,48
2024-01-19 00:00:00,7.69,46,,NIL,1728,1158,687,352,335,193,3.3,-,NIL,0.5,,,42
2024-01-20 00:00:00,7.89,45,,NIL,1866,1250,700,373,327,193,,-,NIL,0.5,,,46
2024-01-22 00:00:00,7.57,40,,NIL,1820,1120,697,369,328,200,3.9,-,NIL,0.5,,,40
2024-01-23 00:00:00,7.45,36,,NIL,1805,1210,708,360,348,185,,-,NIL,0.5,,,43
2024-01-29 00:00:00,7.73,36,,NIL,2044,1370,738,360,378,192,3.2,-,NIL,0.5,,,76
2024-01-30 00:00:00,7.65,37,,NIL,2010,1347,776,369,407,192,3.4,-,NIL,0.5,,,77
2024-01-31 00:00:00,7.75,35,,NIL,2127,1425,755,352,403,185,3.5,-,NIL,0.5,,,70
2024-02-01 00:00:00,,43,,NIL,2185,1464,767,360,407,192,3.7,-,NIL,0.5,,,65
2024-02-02 00:00:00,7.15,43,,0.4,2246,1505,789,377,412,178,3.8,-,NIL,0.5,,,66
2024-02-03 00:00:00,7.2,61,,NIL,2280,1528,827,437,390,170,3.2,-,NIL,0.5,,,58
2024-02-05 00:00:00,7.69,61,,NIL,2248,1506,801,424,377,170,3.4,-,NIL,0.5,,,69
2024-02-06 00:00:00,7.57,11,,NIL,1690,1132,810,445,365,155,3.9,-,NIL,0.5,,,61
2024-02-07 00:00:00,7.69,62,,NIL,2413,1617,831,488,343,185,3.3,-,NIL,0.5,,,58
2024-02-08 00:00:00,7.69,59,,NIL,2185,1464,755,424,331,178,3.4,-,NIL,0.5,,,61
2024-02-09 00:00:00,7.33,61,,NIL,2219,1487,784,458,326,207,3.1,-,NIL,0.5,,,57
2024-02-10 00:00:00,7.61,58,,NIL,2376,1592,734,479,255,237,2.9,-,NIL,0.5,,,59
2024-02-12 00:00:00,7.94,75,,NIL,2422,1623,776,445,331,259,3.3,-,NIL,0.5,,,59
2024-02-13 00:00:00,7.96,55,,NIL,2397,1606,831,466,365,281,3.2,-,NIL,0.5,,,66
2024-02-14 00:00:00,7.8,55,,NIL,2264,1517,797,432,365,252,2.9,-,NIL,0.5,,,63
2024-02-15 00:00:00,8.14,34,,NIL,2152,1442,806,424,382,237,3.1,-,NIL,0.5,,,60
2024-02-16 00:00:00,8.18,35,,NIL,2343,1570,852,437,415,259,2.8,-,NIL,0.5,,,58
2024-02-20 00:00:00,7.41,75,,NIL,2897,1941,929,492,437,244,3.1,-,NIL,0.5,,,61
2024-02-21 00:00:00,7.41,78,,NIL,2373,1590,903,479,424,252,3.6,-,NIL,0.5,,,59
2024-02-22 00:00:00,8.05,51,,NIL,2379,1594,916,488,428,237,3.4,-,NIL,0.5,,,53
2024-02-23 00:00:00,7.73,37,,NIL,2178,1459,873,500,373,259,3.5,-,NIL,0.5,,,57
2024-02-26 00:00:00,7.89,76,,NIL,2215,1484,929,492,437,259,4.1,-,NIL,0.5,,,58
2024-02-27 00:00:00,7.42,46,,NIL,2164,1450,954,522,432,281,4.2,-,NIL,0.5,,,63
2024-02-28 00:00:00,8.09,93,,NIL,2068,1389,920,500,420,244,4,-,NIL,0.5,,,55
2024-02-29 00:00:00,7.92,92,,NIL,2066,1384,924,492,432,252,4.3,-,NIL,0.5,,,61
01.03.24,,100,,,2123,1423,,,,,,,NIL,0.5,,,
02.03.24,7.47,109,,NIL,2349,1574,1001,589,412,252,4.8,-,NIL,0.5,,,63
04.03.24,7.56,76,,NIL,2223,1490,996,538,458,259,4.7,-,NIL,0.5,,,60
05.03.24,7.71,87,,NIL,2254,1510,979,526,453,267,4.8,-,NIL,0.5,,,61
06.03.24,7.65,62,,NIL,2218,1486,971,513,458,252,4.3,-,NIL,0.5,,,58
2024-03-07 00:00:00,7.43,59,,NIL,2394,1604,954,517,437,231,4.1,-,NIL,0.5,,,50
09.03.24,7.52,48,,NIL,2363,1583,933,479,454,223,4.1,-,NIL,0.5,,,59
11.03.24,7.14,60,,NIL,2820,1890,988,526,462,238,4.3,-,NIL,0.5,,,61
2024-03-12 00:00:00,7.88,67,,NIL,2761,1850,979,513,466,223,4.1,-,NIL,0.5,,,56
2024-03-13 00:00:00,7.63,71,,NIL,2754,1845,992,511,481,231,4.2,-,NIL,0.5,,,59
2024-03-14 00:00:00,8.13,60,,NIL,2555,1712,967,521,446,245,4,-,NIL,0.5,,,56
15.03.24,8.08,61,,NIL,2619,1755,1007,560,447,223,4.6,-,NIL,0.5,,,63
2024-03-18 00:00:00,8.12,44,,NIL,2253,1510,883,496,387,231,4.5,-,NIL,0.5,,,59
2024-03-19 00:00:00,8.23,39,,NIL,2223,1490,803,483,320,223,4.3,-,NIL,0.5,,,58
20.03.24,7.66,39,,NIL,2051,1374,812,488,324,231,4.2,-,NIL,0.5,,,58
2024-03-21 00:00:00,7.41,30,,NIL,2156,1445,798,492,306,238,4.1,-,NIL,0.5,,,58
2024-03-22 00:00:00,7.96,35,,NIL,2088,1399,766,447,319,223,3.8,-,NIL,0.4,,,51
2024-03-23 00:00:00,8.37,26,,NIL,1958,1312,780,461,319,209,3.2,-,NIL,0.5,,,50
2024-03-26 00:00:00,7.89,31,,NIL,2166,1451,876,543,333,218,3.4,-,NIL,0.5,,,51
2024-03-27 00:00:00,7.75,30,,NIL,2087,1398,866,547,319,233,3.5,-,NIL,0.5,,,54
2024-03-28 00:00:00,8.26,23,,NIL,1976,1324,873,538,335,225,3.2,-,NIL,0.5,,,56
2024-03-29 00:00:00,8.21,21,,NIL,2164,1450,921,561,360,211,2.6,-,NIL,0.6,,,65
2024-03-30 00:00:00,7.55,28,,NIL,2279,1527,948,588,360,204,2.5,-,NIL,0.6,,,73
2024-04-01 00:00:00,7.55,38,,NIL,2403,1610,926,543,383,225,2.6,-,NIL,0.6,,,79
2024-04-02 00:00:00,8.15,66,,NIL,2350,1575,953,561,392,189,2.9,-,NIL,0.7,,,86
2024-04-03 00:00:00,8.11,64,,NIL,2522,1690,939,543,396,196,2.8,-,NIL,0.6,,,80
2024-04-04 00:00:00,8.36,50,,NIL,2600,1742,936,511,425,211,3,-,NIL,0.6,,,81
2024-04-05 00:00:00,7.64,97,,NIL,2592,1737,900,506,394,204,2.9,-,NIL,0.6,,,79
2024-04-08 00:00:00,8.53,85,,NIL,2828,1895,936,584,352,196,3.4,-,NIL,0.7,,,89
2024-04-09 00:00:00,8.28,92,,NIL,2498,1674,918,564,354,182,3.3,-,NIL,0.6,,,91
2024-04-10 00:00:00,7.41,95,,NIL,2769,1855,914,547,367,211,3.2,-,NIL,0.6,,,88
2024-04-11 00:00:00,8.26,88,,NIL,2761,1850,909,542,367,204,3.1,-,NIL,0.7,,,86
2024-04-12 00:00:00,7.97,87,,NIL,2620,1756,918,560,358,196,3.4,-,NIL,0.6,,,78
2024-04-16 00:00:00,8,91,,NIL,2462,1650,923,538,385,218,3.5,-,NIL,0.5,,,85
2024-04-17 00:00:00,7.8,94,,NIL,2626,1760,914,533,381,204,3.6,-,NIL,0.5,,,74
2024-04-18 00:00:00,8.24,112,,NIL,2706,1813,909,520,389,196,3.4,-,NIL,0.5,,,72
2024-04-19 00:00:00,7.25,88,,NIL,2420,1622,905,524,381,225,3.5,-,NIL,0.6,,,88
2024-04-22 00:00:00,7.85,154,,NIL,2594,1738,896,533,363,204,3.6,-,NIL,0.5,,,79
2024-04-23 00:00:00,7.42,86,,NIL,2507,1680,923,515,408,225,3.2,-,NIL,0.6,,,81
2024-04-24 00:00:00,8.05,56,,NIL,2197,1472,905,524,381,218,3.3,-,NIL,0.5,,,76
2024-04-25 00:00:00,8.32,48,,NIL,2156,1445,914,538,376,211,3.4,-,NIL,0.5,,,79
2024-04-26 00:00:00,8.55,48,,NIL,1994,1336,936,551,385,233,3.2,-,NIL,0.5,,,82
2024-04-29 00:00:00,8.42,55,,NIL,1713,1148,717,385,332,218,3,-,NIL,0.5,,,80
2024-04-30 00:00:00,7.63,46,,NIL,2015,1350,730,381,349,233,3.3,-,NIL,0.5,,,75
2024-05-01 00:00:00,7.78,54,,NIL,2016,1351,753,390,363,225,3.2,-,NIL,0.5,,,78
2024-05-02 00:00:00,8.03,78,,NIL,1946,1304,771,399,372,218,3.5,-,NIL,0.5,,,74
