CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,10 to 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2019-12-01 00:00:00,7.9,21,0.1,1398,706,420,286,240,6.6,10.6,122,868,154
2019-12-02 00:00:00,7.96,22,0.1,1410,710,428,282,242,6.7,10.7,124,870,156
2019-12-03 00:00:00,8,25,0.1,1480,722,441,281,281,6.7,10.7,128,892,153
2019-12-04 00:00:00,7.45,22,0.1,1300,704,433,271,249,6.9,10.9,118,870,155
2019-12-05 00:00:00,8.02,18,0.2,1237,706,424,282,245,6.8,10.8,119,860,154
2019-12-06 00:00:00,7.98,20,0.1,1282,704,420,284,246,6.6,10.6,120,866,154
2019-12-07 00:00:00,7.88,22,0.1,1322,706,424,282,248,6.6,10.6,120,868,154
2019-12-08 00:00:00,7.87,28,0.1,1380,705,398,307,249,6.5,10.6,118,874,156
2019-12-09 00:00:00,7.84,32,0.1,1483,706,374,332,249,6.5,10.5,119,879,158
2019-12-10 00:00:00,7.9,34,0.1,1590,714,378,336,257,6.8,10.8,118,872,165
2019-12-11 00:00:00,8.02,28,0.1,1570,731,433,298,345,6.9,10.9,129,860,150
2019-12-12 00:00:00,7.56,34,0.2,1610,739,441,298,349,7,11,123,872,156
2019-12-13 00:00:00,7.39,35,0.2,1710,748,458,290,353,6.5,10.5,110,880,158
2019-12-14 00:00:00,7.9,33,0.1,1722,759,464,295,355,7,11,128,870,160
2019-12-15 00:00:00,7.82,28,0.1,1650,740,352,388,310,6.8,10.8,120,868,160
16/12/19,7.8,26,0.1,1420,748,356,392,284,6.7,10.7,120,864,160
2019-12-17 00:00:00,7.7,24,0.1,1340,731,349,382,245,6.6,10.6,119,860,162
2019-12-18 00:00:00,7.88,26,0.1,1390,739,357,382,253,6.4,10.4,128,860,160
2019-12-19 00:00:00,7.62,34,0.1,1270,731,349,382,245,6.8,10.8,113,866,158
2019-12-20 00:00:00,7.98,30,0.2,1140,739,357,382,250,6.9,10.9,124,879,150
2019-12-21 00:00:00,7.73,36,0.1,1134,731,349,382,249,6.6,10.6,119,866,148
2019-12-22 00:00:00,7.78,34,0.1,1280,742,356,386,252,6.8,10.8,116,872,152
2019-12-23 00:00:00,7.84,30,0.1,1310,752,370,382,261,7,11,114,880,158
2019-12-24 00:00:00,8.04,35,0.1,1280,651,378,273,249,6.7,10.7,128,870,150
2019-12-25 00:00:00,7.7,38,0.1,1250,659,386,273,253,6.5,10.5,120,860,152
2019-12-26 00:00:00,7.75,34,0.1,1274,650,380,270,250,6.9,10.9,118,872,148
2019-12-27 00:00:00,8.1,19,0.1,1410,697,378,319,261,6.7,10.7,128,878,155
2019-12-28 00:00:00,8.02,20,0.1,1428,710,392,318,263,6.9,10.9,130,880,154
2019-12-29 00:00:00,8.01,18,0.1,1380,662,382,280,248,6.7,10.7,128,835,150
2019-12-30 00:00:00,8.06,18,0.1,1310,563,326,237,238,6.8,10.8,122,814,150
2019-12-31 00:00:00,8.09,16,0.1,1210,571,335,236,215,6.8,10.8,135,810,155
MIN.,7.39,16,0.1,1134,563,326,237,215,6.4,10.4,110,810,146
MAX.,8.1,38,0.2,1722,759,464,392,355,7,11,135,892,142
AVG.,7.85774193548387,27.096774193548388,0.11290322580645167,1386.1290322580646,705.6774193548387,389.93548387096774,331.05555555555554,265.61290322580646,6.732258064516129,10.735483870967741,121.87096774193549,865.6451612903226,155
No. of < Spec,2,5,27,31,31,31,31,31,0,0,31,31,31
No. of > Spec,8,24,0,0,0,0,0,0,0,0,0,0,0
% < Specs.,6.451612903225806,16.129032258064516,87.09677419354838,100,100,100,100,100,0,0,100,100,100
% > Specs.,25.806451612903224,77.41935483870967,0,0,0,0,0,0,0,0,0,0,0
