CIRCULATING WATER ANALYSIS FOR  X 01 COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SO4-2,SiO2
,7.5 - 8.3,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2019-12-01 00:00:00,8.02,36,0.2,770,580,353,227,138,6.5,10.5,130,862,150
2019-12-02 00:00:00,7.98,35,0.1,784,589,340,249,140,6.5,10.6,128,864,152
2019-12-03 00:00:00,8.15,30,0.1,740,571,349,222,142,6.9,10.9,133,876,148
2019-12-04 00:00:00,8.09,29,0.1,753,563,340,223,144,6.9,10.9,130,874,146
2019-12-05 00:00:00,7.8,25,0.2,660,554,332,222,130,6.6,10.6,119,864,145
2019-12-06 00:00:00,7.9,25,0.2,739,550,330,220,133,6.5,10.5,133,852,148
2019-12-07 00:00:00,7.9,33,0.1,740,525,281,244,118,6.3,10.3,130,820,150
2019-12-08 00:00:00,7.98,34,0.1,758,540,293,247,112,6.4,10.4,133,818,150
2019-12-09 00:00:00,7.78,35,0.2,719,521,277,244,104,6.2,10.2,133,830,133
2019-12-10 00:00:00,7.88,34,0.2,733,509,270,239,104,6.2,10.2,135,832,135
2019-12-11 00:00:00,7.9,32,0.2,870,441,302,139,107,6.8,10.8,140,810,140
2019-12-12 00:00:00,7.6,29,0.2,1087,460,320,140,116,6.7,10.7,122,822,145
2019-12-13 00:00:00,7.7,21,0.1,648,480,343,137,123,6.8,10.8,120,832,150
2019-12-14 00:00:00,7.72,24,0.1,684,480,340,140,128,6.8,10.8,128,840,154
2019-12-15 00:00:00,7.89,27,0.1,692,510,315,195,118,6.7,10.7,128,842,152
2019-12-16 00:00:00,8.05,30,0.2,700,525,277,248,111,6.7,10.7,130,840,152
2019-12-17 00:00:00,8,29,0.2,690,520,270,250,111,6.7,10.7,128,862,154
2019-12-18 00:00:00,7.92,31,0.2,733,550,270,280,118,6.8,10.8,130,880,158
2019-12-19 00:00:00,8.12,31,0.1,709,520,289,231,116,6.5,10.5,130,845,155
2019-12-20 00:00:00,7.88,29,0.2,792,539,302,237,124,6.6,10.6,130,860,156
2019-12-21 00:00:00,7.7,26,0.1,700,529,298,231,119,6.5,10.5,128,849,150
2019-12-22 00:00:00,7.7,27,0.1,692,538,290,248,130,6.7,10.7,115,860,154
2019-12-23 00:00:00,7.79,28,0.1,715,550,310,240,133,6.6,10.6,118,869,159
2019-12-24 00:00:00,8.15,29,0.1,690,496,294,202,138,6.9,10.9,130,850,145
2019-12-25 00:00:00,8.09,25,0.1,720,500,302,198,142,6.8,10.8,142,840,148
2019-12-26 00:00:00,8.1,24,0.1,733,510,310,200,148,6.6,10.6,130,820,150
2019-12-27 00:00:00,8.24,19,0.1,759,548,320,228,135,6.3,10.3,133,840,145
2019-12-28 00:00:00,8.2,19,0.1,763,540,319,221,138,6.4,10.4,138,829,140
2019-12-29 00:00:00,8.19,20,0.1,770,466,294,172,134,6.7,10.7,130,830,142
2019-12-30 00:00:00,8.1,23,0.1,720,490,298,192,138,6,10,130,828,145
2019-12-31 00:00:00,8.13,22,0.1,733,498,302,196,138,6.2,10.2,129,828,146
MIN,7.6,19,0.1,648,441,270,137,104,6,10,115,810,158
MAX.,8.24,36,0.2,1087,589,353,280,148,6.9,10.9,142,880,159
AVG.,7.956451612903224,27.774193548387096,0.13548387096774195,741.8064516129032,522.3225806451613,307.4193548387097,213.31034482758622,126.7741935483871,6.574193548387096,10.577419354838709,129.4516129032258,844.1290322580645,148.29032258064515
No. of < Spec,0,2,31,31,31,31,30,31,0,0,31,31,31
No. of > Spec,0,28,0,0,0,0,0,0,0,0,0,0,0
% < Specs.,0,6.451612903225806,100,100,100,100,100,100,0,0,100,100,100
% > Specs.,0,90.32258064516128,0,0,0,0,0,0,0,0,0,0,0
