SHRIRAM ALKALI & CHEMICALS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,"HYDROTECH  SERVICES , VAPI",Unnamed: 7,Unnamed: 8
REPORT : 01.04.2010 TO 30.06.2010,,,,"MAIN PLANT COOLING TOWER        WEX TECH, PUNE",,,,
RAW WATER  (MAIN PLANT ),,,,,,,,
,,,,,,,,
DATE,pH,TOTAL(TH),CALCIUM(CaH),TOTAL(TALK),P-ALKALINITY,CHLORIDE,SILICA,T.D.S
,,HARDNESS,HARDNESS,ALKALINITY,(PALK),(CL),SIO2,
UNITS,-,PPM,PPM,PPM,PPM,PPM,PPM,PPM
02.04.10,7.84,105,64,115,0,17,14,162
05.04.10,7.8,106,65,110,0,17,15,166
07.04.10,7.84,106,65,120,0,17,15,170
09.04.10,7.8,107,65,110,0,17,14,142
12.04.10,7.84,105,64,115,0,17,15,172
14.04.10,7.86,105,64,115,0,18,15,140
16.04.10,7.85,106,65,115,0,1.8,15,143
19.04.10,7.86,107,65,115,0,18,15,144
21.04.10,7.89,107,65,120,0,18,16,144
22.04.10,7.87,105,64,120,0,18,-,142
24.04.10,7.88,116,71,120,0,19,16,173
26.04.10,7.89,107,65,120,0,18,15,146
28.04.10,7.86,118,72,115,0,19,16,174
29.04.10,7.84,117,71,110,0,19,15,170
01.05.10,7.87,114,70,115,0,19,15,170
03.05.10,7.86,111,68,115,0,18,14,166
05.05.10,7.86,111,68,115,0,18,14,166
07.05.10,7.9,108,66,120,0,18,14,163
11.05.10,7.86,108,66,115,0,18,15,171
13.05.10,7.89,110,67,120,0,18,14,173
15.05.10,7.88,107,65,120,0,18,15,169
17.05.10,7.86,106,65,120,0,18,14,165
19.05.10,7.85,107,65,115,0,18,15,166
21.05.10,7.9,110,67,125,0,18,16,188
24.05.10,7.9,110,67,120,0,17,15,185
26.05.10,7.92,117,71,125,0,22,17,211
28.05.10,7.92,108,66,125,0,18,16,168
07.06.10,7.7,106,65,120,0,18,16,190
10.06.10,7.9,107,65,120,0,18,16,179
12.06.10,7.9,108,66,120,0,18,16,184
14.06.10,7.87,107,65,120,0,18,15,180
15.06.10,7.92,108,66,120,0,14,15,179
17.06.10,7.85,109,66,120,0,14,16,180
19.06.10,7.89,110,67,125,0,14,15,166
21.06.10,7.87,106,65,120,0,14,15,169
23.06.10,7.92,110,67,130,0,14,14,168
28.06.10,7.96,111,68,140,0,14,16,156
30.06.10,7.9,111,68,130,0,14,16,186
,,,,,,,,
,,,,,,,,
,,,,,,,,
SHRIRAM ALKALI & CHEMICALS,,,,,,"HYDROTECH  SERVICES , VAPI",,
REPORT : 01.07.2010 TO 30.09.2010,,,,"MAIN PLANT COOLING TOWER        WEX TECH, PUNE",,,,
RAW WATER  (MAIN PLANT ),,,,,,,,
,,,,,,,,
DATE,pH,TOTAL(TH),CALCIUM(CaH),TOTAL(TALK),P-ALKALINITY,CHLORIDE,SILICA,T.D.S
,,HARDNESS,HARDNESS,ALKALINITY,(PALK),(CL),SIO2,
UNITS,-,PPM,PPM,PPM,PPM,PPM,PPM,PPM
02.07.10,7.92,112,68,135,0,14,17,189
06.07.10,7.86,98,60,115,0,18,14,177
08.07.10,7.79,108,66,110,0,18,14,183
10.07.10,7.8,112,68,110,0,18,15,185
12.07.10,7.92,113,69,130,0,22,16,190
14.07.10,7.88,115,70,125,0,22,16,190
17.07.10,7.87,117,71,130,0,22,15,180
19.07.10,7.78,108,66,115,0,22,15,196
23.07.10,8.26,112,68,130,0,22,16,196
29.07.10,7.92,115,70,130,0,22,16,191
02.08.10,8.04,127,77,130,0,36,17,245
04.08.10,7.82,148,90,175,0,43,15,261
06.08.10,7.84,145,88,185,0,47,15,243
10.08.10,7.89,128,78,155,0,54,18,236
12.08.10,7.89,128,78,155,0,54,18,236
13.08.10,7.96,126,77,160,0,50,17,226
16.08.10,7.99,153,93,160,0,47,15,281
18.08.10,7.93,143,87,150,0,34,18,238
20.08.10,7.9,128,78,145,0,36,18,236
27.08.10,7.87,133,81,135,0,32,16,218
30.08.10,7.88,129,78,135,0,29,15,262
01.09.10,7.99,122,74,135,0,25,14,210
03.09.10,7.87,140,85,130,0,35,15,268
06.09.10,7.94,133,81,140,0,28,16,240
08.09.10,7.99,122,74,150,0,35,15,250
10.09.10,7.96,133,81,145,0,46,16,290
13.09.10,7.85,128,78,130,0,35,15,230
15.09.10,8.06,128,78,145,0,28,15,240
17.09.10,7.95,152,93,145,0,36,16,266
18.09.10,7.9,142,87,140,0,32,15,240
20.09.10,7.98,142,87,125,0,35,16,268
22.09.10,7.75,147,90,125,0,42,16,300
23.09.10,7.96,145,88,125,0,42,16,297
25.09.10,7.88,140,85,110,0,39,15,280
27.09.10,7.95,131,80,145,0,32,14,233
29.09.10,7.94,126,77,140,0,25,14,182
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SHRIRAM ALKALI & CHEMICALS,,,,,,"HYDROTECH  SERVICES , VAPI",,
REPORT : 01.10.2010 TO 31.12.2010,,,,"MAIN PLANT COOLING TOWER        WEX TECH, PUNE",,,,
RAW WATER  (MAIN PLANT ),,,,,,,,
,,,,,,,,
DATE,pH,TOTAL(TH),CALCIUM(CaH),TOTAL(TALK),P-ALKALINITY,CHLORIDE,SILICA,T.D.S
,,HARDNESS,HARDNESS,ALKALINITY,(PALK),(CL),SIO2,
UNITS,-,PPM,PPM,PPM,PPM,PPM,PPM,PPM
01.10.10,7.95,126,77,145,0,25,15,217
05.10.10,8.02,120,73,140,0,18,14,170
08.10.10,7.97,129,78,140,0,21,15,200
11.10.10,8.05,131,80,140,0,25,16,213
13.10.10,8.03,141,86,140,0,28,17,220
15.10.10,7.8,136,83,150,0,28,17,225
18.10.10,8.05,134,82,150,0,28,16,211
20.10.10,7.94,150,92,150,0,35,17,300
