CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,10 to 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2018-03-01 00:00:00,7.38,18,0.1,1457,604,355,249,252,6.9,10.9,103,653,125
2018-03-02 00:00:00,7.48,17,0.1,1480,630,372,258,262,6.8,10.8,102,652,132
2018-03-03 00:00:00,7.5,16,0.2,1520,673,384,289,274,6.9,10.9,100,643,140
2018-03-04 00:00:00,7.6,20,0.1,1550,680,390,290,268,7,11,100,652,142
2018-03-05 00:00:00,7.5,24,0.1,1530,650,359,291,265,7.2,11.2,102,660,139
2018-03-06 00:00:00,7.62,22,0.1,1470,661,367,294,267,6.7,10.7,103,643,146
2018-03-07 00:00:00,7.6,25,0.1,1340,653,363,290,259,7,11,102,658,133
2018-03-08 00:00:00,7.48,20,0.1,1170,645,355,290,252,6.9,10.9,107,652,120
2018-03-09 00:00:00,7.38,17,0.1,1228,653,363,290,267,6.9,10.9,103,650,115
2018-03-10 00:00:00,7.76,18,0.1,1220,649,359,290,259,6.9,10.9,100,630,139
2018-03-11 00:00:00,7.74,17,0.1,1250,630,345,285,238,6.8,10.8,102,645,135
2018-03-12 00:00:00,7.7,17,0.1,1270,604,355,249,231,6.7,10.7,100,670,132
2018-03-13 00:00:00,7.33,19,0.1,1250,608,363,245,238,6.7,10.7,98,660,128
2018-03-14 00:00:00,7.52,15,0.1,1340,571,335,236,231,6.7,10.7,100,653,132
2018-03-15 00:00:00,7.78,17,0.1,1420,604,355,249,259,6.8,10.8,100,658,136
2018-03-16 00:00:00,7.59,16,0.1,1372,616,343,273,274,6.7,10.7,105,689,127
2018-03-17 00:00:00,7.53,16,0.1,1390,588,326,262,267,6.9,10.9,105,673,132
2018-03-18 00:00:00,7.62,17,0.1,1540,610,340,270,280,6.8,10.8,104,670,128
2018-03-19 00:00:00,7.72,17,0.1,1688,680,369,311,310,6.8,10.8,100,669,130
2018-03-20 00:00:00,7.68,18,0.1,1702,661,355,306,303,6.5,10.5,109,680,138
2018-03-21 00:00:00,7.7,18,0.1,1620,653,347,306,295,6.9,10.9,116,693,125
2018-03-22 00:00:00,7.68,14,0.1,1502,632,332,300,288,6.5,10.5,117,640,120
2018-03-23 00:00:00,7.65,14,0.1,1683,652,356,296,303,6.7,10.7,114,653,129
2018-03-24 00:00:00,7.83,14,0.1,1670,648,352,296,295,6.6,10.6,110,655,122
2018-03-25 00:00:00,7.88,14,0.1,1676,650,354,294,292,6.7,10.7,112,648,124
2018-03-26 00:00:00,7.9,15,0.1,1680,640,350,290,290,6.7,10.7,113,640,120
2018-03-27 00:00:00,7.2,17,0.1,1539,604,332,272,295,6.5,10.5,115,633,122
2018-03-28 00:00:00,7.67,16,0.1,1530,628,352,276,310,6.7,10.7,105,648,120
2018-03-29 00:00:00,7.68,17,0.1,1560,620,343,277,312,6.8,10.8,110,630,125
2018-03-30 00:00:00,7.72,18,0.1,1410,540,330,210,240,6.8,10.8,112,650,120
2018-03-31 00:00:00,7.6,18,0.1,1250,508,333,175,214,6.7,10.7,114,630,118
MIN.,7.2,14,0.1,1170,508,326,175,214,6.5,10.5,98,630,115
MAX.,7.9,25,0.2,1702,680,390,311,312,7.2,11.2,117,693,146
AVG.,7.613548387096774,17.451612903225808,0.10322580645161296,1461.516129032258,627.258064516129,352.7096774193548,275.3333333333333,270.64516129032256,6.780645161290322,10.780645161290321,105.90322580645162,654.1935483870968,128.83870967741936
No. of < Spec,6,--,27,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,3,0,0,0,--,--,0,0,0,-,0,0
% < Specs.,21.42857142857143,--,96.42857142857143,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,10.714285714285715,0,0,0,-,--,0,0,0,-,0,0
