CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,Total PO4,T. Alk.,Total Iron,Sulphate,SiO2
,7.2-8.2,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,Max. 2 ppm,Max. 1000 ppm,180 ppm
2018-04-01 00:00:00,7.7,14,0.1,1568,950,528,422,248,4,116,0.2,973,190
2018-04-02 00:00:00,7.78,15,0.1,1543,936,516,420,245,4,116,0.2,970,188
2018-04-03 00:00:00,7.62,17,0.1,1539,922,498,424,296,4.1,120,0.2,962,176
2018-04-04 00:00:00,7.44,17,0.1,1630,928,512,416,267,4,118,0.2,954,162
2018-04-05 00:00:00,7.6,15,0.1,1622,922,492,430,273,4,120,0.2,964,158
2018-04-06 00:00:00,7.48,14,0.1,1633,952,516,436,281,4,112,0.2,952,155
2018-04-07 00:00:00,7.3,16,0.1,1654,980,516,464,231,4,110,0.2,960,152
2018-04-08 00:00:00,7.5,15,0.1,1585,963,504,459,232,4,110,0.2,958,150
2018-04-09 00:00:00,7.3,14,0.1,1749,1070,577,493,288,4,117,0.2,989,158
2018-04-10 00:00:00,7.68,16,0.1,1643,1036,553,483,282,4,113,0.2,993,153
2018-04-11 00:00:00,7.29,15,0.1,1640,1012,543,469,282,4,114,0.2,980,152
2018-04-12 00:00:00,7.4,14,0.1,1789,1259,690,569,282,4,112,0.2,1006,159
2018-04-13 00:00:00,7.38,14,0.1,1715,1065,545,520,304,4,116,0.2,1002,162
2018-04-14 00:00:00,7.22,14,0.1,1743,1048,562,486,320,4,119,0.2,1024,157
2018-04-15 00:00:00,7.39,14,0.1,1682,1036,557,479,290,4,100,0.2,984,156
2018-04-16 00:00:00,7.3,13,0.1,1670,1020,550,470,292,4,102,0.2,988,154
2018-04-17 00:00:00,7.58,14,0.1,1620,982,512,470,284,4,118,0.2,992,152
2018-04-18 00:00:00,7.38,13,0.1,1618,960,496,464,282,4,120,0.2,997,150
2018-04-19 00:00:00,7.46,14,0.1,1533,890,483,407,232,4,113,0.2,966,145
2018-04-20 00:00:00,7.53,15,0.1,1510,878,480,398,232,4,118,0.2,968,144
2018-04-21 00:00:00,7.33,15,0.1,1502,894,491,403,248,4,110,0.2,973,146
2018-04-22 00:00:00,7.23,15,0.1,1498,887,485,402,252,4,112,0.2,972,145
2018-04-23 00:00:00,7.33,15,0.1,1630,928,495,433,246,4,110,0.2,986,150
2018-04-24 00:00:00,7.4,15,0.1,1664,950,502,448,229,4,119,0.2,980,146
2018-04-25 00:00:00,7.5,15,0.1,1689,970,515,455,228,4,120,0.2,994,149
2018-04-26 00:00:00,7.44,17,0.1,1648,990,518,472,234,4,118,0.2,997,156
2018-04-27 00:00:00,7.23,18,0.1,1670,986,524,462,252,4,118,0.2,978,159
2018-04-28 00:00:00,7.4,17,0.1,1652,975,530,445,248,4,115,0.2,998,158
2018-04-29 00:00:00,7.5,13,0.1,1633,970,533,437,240,4,112,0.2,984,158
2018-04-30 00:00:00,7.87,15,0.1,1610,962,530,432,242,4,112,0.2,982,159
MIN.,7.22,13,0.1,1498,878,480,398,228,4,100,0.2,952,144
MAX.,7.87,18,0.1,1789,1259,690,569,320,4.1,120,0.2,1024,190
AVG.,7.452000000000001,14.933333333333334,0.10000000000000005,1629.4,977.3666666666667,525.1,453.3103448275862,262.06666666666666,4.003333333333333,114.33333333333333,0.2000000000000001,980.8666666666667,156.63333333333333
No. of < Spec,0,--,30,--,--,--,--,--,0,--,--,--,--
No. of > Spec,0,0,0,0,8,0,--,0,0,0,0,3,2
% < Specs.,0,--,100,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,0,0,0,26.666666666666668,,--,0,0,0,0,10,6.666666666666667
No. of < Spec,22,--,30,--,--,--,--,--,1,--,--,--,--
No. of > Spec,0,0,1,0,9,0,--,0,0,0,0,30,1
% < Specs.,70.96774193548387,--,96.77419354838709,--,--,--,--,--,3.225806451612903,-,-,-,--
% > Specs.,0,0,3.225806451612903,0,30,0,--,0,0,0,0,100,3.3333333333333335
