CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,Total PO4,T. Alk.,Total Iron,Sulphate,SiO2
,7.2-8.2,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,Max. 2 ppm,Max. 1000 ppm,180 ppm
2017-12-01 00:00:00,7.61,42,0.3,2065,1213,665,548,360,4,109,0.3,1075,230
2017-12-02 00:00:00,7.9,55,0.5,2098,1186,636,550,364,4,112,0.3,1030,228
2017-12-03 00:00:00,7.85,53,0.3,2130,1198,650,548,366,4,110,0.3,1028,228
2017-12-04 00:00:00,7.7,47,0.3,1982,1170,630,540,365,4,102,0.3,1020,220
2017-12-05 00:00:00,7.68,50,0.3,2018,1173,618,555,404,4,113,0.3,1030,230
2017-12-06 00:00:00,7.8,50,0.2,2200,1338,690,648,331,4,110,0.2,1025,234
2017-12-07 00:00:00,7.98,48,0.3,2290,1367,710,657,346,4.1,109,0.2,1034,240
2017-12-08 00:00:00,7.7,49,0.1,2230,1326,690,636,335,4,108,0.3,1024,238
2017-12-09 00:00:00,7.62,49,0.1,2210,1302,682,620,330,4,108,0.3,1022,226
2017-12-10 00:00:00,7.89,52,0.1,2242,1340,698,642,335,4,106,0.3,1082,230
2017-12-11 00:00:00,7.92,54,0.2,2260,1363,710,653,332,4,102,0.3,1120,232
2017-12-12 00:00:00,7.7,55,0.3,2240,1410,720,690,340,4.1,110,0.3,1140,242
2017-12-13 00:00:00,7.56,56,0.1,2293,1520,770,750,335,4.2,110,0.3,1130,243
2017-12-14 00:00:00,7.68,56,0.1,2118,1623,769,854,321,4,107,0.3,1128,247
2017-12-15 00:00:00,7.65,54,0.1,2010,1408,751,657,300,4,109,0.3,1118,239
2017-12-16 00:00:00,7.4,40,0.1,2096,1409,752,657,300,4,103,0.3,1087,230
2017-12-17 00:00:00,7.32,42,0.3,2110,1428,763,665,307,4,104,0.3,1080,232
2017-12-18 00:00:00,7.62,50,0.2,2269,1490,780,710,331,4,105,0.3,1092,237
2017-12-19 00:00:00,7.38,52,0.6,2230,1418,738,680,335,4.1,103,0.4,1123,240
2017-12-20 00:00:00,7.57,53,0.2,2282,1400,721,679,350,4,102,0.4,1102,230
2017-12-21 00:00:00,7.39,54,0.2,2290,1412,730,682,357,4,102,0.4,1110,233
2017-12-22 00:00:00,7.57,57,0.1,2276,1452,744,708,378,4,105,0.4,1142,244
2017-12-23 00:00:00,7.4,60,0.2,2450,1445,759,686,382,4,105,0.4,1153,250
2017-12-24 00:00:00,7.33,56,0.1,2410,1587,853,734,385,4,102,0.4,1126,239
2017-12-25 00:00:00,7.26,58,0.1,2430,1598,862,736,385,4.1,102,0.4,1130,240
2017-12-26 00:00:00,7.6,56,0.1,2480,1630,868,762,378,4,107,0.4,1130,248
2017-12-27 00:00:00,7.32,50,0.1,2610,1650,870,780,395,4,104,0.3,1133,265
2017-12-28 00:00:00,7.42,57,0.1,2690,1672,853,819,371,4,110,0.3,1092,250
2017-12-29 00:00:00,7.5,50,0.1,2583,1638,858,780,392,4.1,110,0.3,1080,237
2017-12-30 00:00:00,7.69,69,0.2,2670,1660,880,780,350,4,112,0.3,1098,248
2017-12-31 00:00:00,7.73,67,0.2,2693,1679,893,786,352,4.1,110,0.3,1088,252
MIN.,7.26,40,0.1,1982,1170,618,540,300,4,102,0.2,1020,220
MAX.,7.98,69,0.6,2693,1679,893,854,404,4.2,113,0.4,1153,265
AVG.,7.604516129032256,52.935483870967744,0.19999999999999998,2288.8709677419356,1435.6451612903227,752.0322580645161,683.6129032258065,352,4.025806451612903,106.80645161290323,0.31935483870967757,1089.4193548387098,238.1290322580645
No. of < Spec,0,--,14,--,--,--,--,--,0,--,--,--,--
No. of > Spec,0,31,1,25,31,22,--,0,0,0,0,31,31
% < Specs.,0,--,45.16129032258064,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,100,3.225806451612903,80.64516129032258,100,,--,0,0,0,0,100,100
No. of < Spec,11,--,15,--,--,--,--,--,1,--,--,--,--
No. of > Spec,0,31,3,26,31,24,--,0,0,0,0,31,31
% < Specs.,34.375,--,46.875,--,--,--,--,--,3.125,-,-,-,--
% > Specs.,0,100,9.375,83.87096774193547,100,0,--,0,0,0,0,100,100
