CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,10 to 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2017-03-01 00:00:00,7.94,32,1,1040,312,200,112,271,6.6,10.6,100,350,60
2017-03-02 00:00:00,8.2,27,0.1,1020,312,184,128,197,6.5,10.5,100,358,58
2017-03-03 00:00:00,7.8,29,0.1,1085,316,188,128,219,6.3,10.3,100,324,68
2017-03-04 00:00:00,7.61,31,NIL,1004,332,192,140,227,6.5,10.5,100,350,53
2017-03-05 00:00:00,7.8,30,0.1,1080,316,188,128,219,6.3,10.3,100,324,68
2017-03-06 00:00:00,7.48,42,NIL,995,280,144,136,256,6.4,10.4,100,340,55
2017-03-07 00:00:00,7.52,40,0.1,890,276,140,136,249,6.3,10.3,100,324,54
2017-03-08 00:00:00,8.02,34,0.2,890,284,144,140,243,6.2,10.2,100,362,54
2017-03-09 00:00:00,7.5,48,0.3,860,248,140,108,107,6.4,10.4,100,330,56
2017-03-10 00:00:00,7.9,44,0.1,820,256,144,112,205,6.7,10.7,103,335,52
2017-03-11 00:00:00,8,30,NIL,810,252,140,112,212,6.6,10.6,100,350,50
2017-03-12 00:00:00,7.65,23,NIL,960,248,148,100,280,6.3,10.3,100,350,66
2017-03-13 00:00:00,7.93,24,NIL,950,256,160,96,278,6.8,10.8,100,360,70
2017-03-14 00:00:00,7.93,34,1,998,260,152,108,219,6.4,10.4,100,340,50
2017-03-15 00:00:00,7.9,29,0.1,980,245,144,101,210,6.6,10.6,100,345,54
2017-03-16 00:00:00,7.64,29,0.5,840,244,120,124,154,6.3,10.3,102,350,50
2017-03-17 00:00:00,8,22,NIL,796,260,128,132,161,6.2,10.2,109,340,53
2017-03-18 00:00:00,7.9,21,0.1,784,256,124,132,168,6.5,10.5,106,345,57
2017-03-19 00:00:00,7.95,23,0.1,792,259,130,129,172,6.5,10.6,102,350,63
2017-03-20 00:00:00,7.89,18,NIL,794,252,122,130,163,6.3,10.3,100,340,50
2017-03-21 00:00:00,7.8,19,NIL,890,262,124,138,170,6.4,10.4,102,345,52
2017-03-22 00:00:00,7.84,34,NIL,970,268,144,124,212,6.1,10.1,100,328,52
2017-03-23 00:00:00,7.8,15,0.2,979,269,125,144,271,6.5,10.5,104,340,56
2017-03-24 00:00:00,7.65,22,NIL,967,268,144,124,180,6.5,10.5,102,350,58
2017-03-25 00:00:00,7.7,23,0.1,972,266,140,126,230,6.5,10.5,103,350,57
2017-03-26 00:00:00,7.84,25,NIL,970,268,144,124,212,6.1,10.1,100,354,52
2017-03-27 00:00:00,7.9,27,NIL,880,260,148,112,212,6.2,10.2,103,340,56
2017-03-28 00:00:00,7.5,22,NIL,892,264,144,120,212,6.6,10.6,100,350,59
2017-03-29 00:00:00,7.8,23,NIL,856,267,146,121,218,6.5,10.5,104,345,56
2017-03-30 00:00:00,8,18,0.1,840,260,140,120,219,6.3,10.3,102,340,60
2017-03-31 00:00:00,7.69,18,NIL,832,248,128,120,205,6.3,10.3,100,345,52
MIN.,7.48,18,0.1,784,244,120,96,205,6.1,10.1,100,324,50
MAX.,8.2,48,1,1085,332,200,144,280,6.8,10.8,109,362,70
AVG.,7.809032258064517,27.612903225806452,0.2625,917.2903225806451,269.80645161290323,147.06451612903226,122.74193548387096,211.32258064516128,6.409677419354838,10.412903225806454,101.35483870967742,343.6774193548387,56.483870967741936
No. of < Spec,1,--,10,--,--,,--,--,0,--,-,--,--
No. of > Spec,2,26,2,0,0,--,--,0,0,0,-,0,0
% < Specs.,3.225806451612903,--,62.5,--,--,--,--,--,0,-,-,-,--
% > Specs.,6.451612903225806,83.87096774193547,12.5,0,0,-,--,0,0,0,-,0,0
