CIRCULATING WATER ANALYSIS FOR  X 01 COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SO4-2,SiO2
,7.5-8.3,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2018-04-01 00:00:00,7.9,18,0.1,1587,980,513,467,326,6.5,10.5,118,770,140
2018-04-02 00:00:00,7.93,17,0.1,1493,924,508,416,324,6.5,10.5,119,772,138
2018-04-03 00:00:00,8,18,0.1,1548,939,523,416,338,6.5,10.5,116,774,153
2018-04-04 00:00:00,7.83,14,0.1,1450,912,492,420,331,6.5,10.5,119,722,140
2018-04-05 00:00:00,8,17,0.1,1325,729,389,340,288,6.8,10.8,114,738,137
2018-04-06 00:00:00,7.96,18,0.1,1290,680,360,320,267,6.7,10.7,117,730,130
2018-04-07 00:00:00,8.09,18,0.1,1165,624,328,296,259,6.5,10.5,120,728,132
2018-04-08 00:00:00,8.1,17,0.1,1184,640,339,301,259,6.6,10.6,120,728,130
2018-04-09 00:00:00,7.92,14,0.1,1140,650,342,308,245,6.8,10.8,123,760,148
2018-04-10 00:00:00,7.82,15,0.1,1080,620,320,300,228,6.7,10.7,124,750,142
2018-04-11 00:00:00,7.69,16,0.1,984,537,312,225,210,6.8,10.8,120,733,138
2018-04-12 00:00:00,7.7,16,0.1,993,480,272,208,181,7,10,110,720,138
2018-04-13 00:00:00,7.73,15,0.1,1020,495,279,216,183,7,10,112,722,139
2018-04-14 00:00:00,7.36,15,0.1,884,524,287,237,188,6.8,10.8,114,718,130
2018-04-15 00:00:00,7.42,14,0.1,899,533,293,240,186,6.8,10.8,114,716,128
2018-04-16 00:00:00,7.69,16,0.1,984,537,312,225,210,6.8,10.8,120,733,138
2018-04-17 00:00:00,7.8,16,0.1,998,568,324,244,220,6.9,10.9,118,693,140
2018-04-18 00:00:00,8.1,17,0.1,1092,590,410,180,210,6.7,10.7,120,689,142
2018-04-19 00:00:00,7.78,17,0.1,1070,591,316,275,217,6.7,10.7,118,690,128
2018-04-20 00:00:00,7.91,16,0.1,1137,624,341,283,232,6.7,10.7,114,685,125
2018-04-21 00:00:00,8.02,14,0.1,1160,616,358,258,225,6.9,10.9,119,730,137
2018-04-22 00:00:00,8,16,0.1,1152,610,355,255,224,6.9,10.9,118,728,135
2018-04-23 00:00:00,7.76,18,0.1,1265,695,349,346,253,6.9,10.9,114,720,139
2018-04-24 00:00:00,7.83,19,0.1,1290,699,359,340,258,6.7,10.7,125,742,140
2018-04-25 00:00:00,8.1,19,0.1,1240,703,374,329,246,6.7,10.7,125,714,132
2018-04-26 00:00:00,7.7,18,0.1,1302,740,374,366,246,6.9,10.9,116,722,142
2018-04-27 00:00:00,7.67,18,0.1,1315,761,412,349,267,6.9,10.9,116,743,136
2018-04-28 00:00:00,8.01,15,0.2,1320,770,420,350,282,7,11,120,748,130
2018-04-29 00:00:00,7.88,14,0.2,1343,784,443,341,284,6.9,10.9,118,746,129
2018-04-30 00:00:00,7.82,15,0.1,1360,790,450,340,286,7,11,118,752,130
MIN,7.36,14,0.1,884,480,272,180,181,6.5,10,110,685,125
MAX.,8.1,19,0.2,1587,980,523,420,338,7,11,125,774,153
AVG.,7.850666666666665,16.333333333333332,0.10666666666666672,1202.3333333333333,678.1666666666666,371.8,296.7142857142857,249.1,6.77,10.70333333333333,117.96666666666667,730.5333333333333,136.2
No. of < Spec,2,--,28,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,0,0,0,0,--,--,0,0,0,-,0,0
% < Specs.,6.666666666666667,--,93.33333333333334,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,0,0,0,0,-,--,0,0,0,-,0,0
