CIRCULATING WATER ANALYSIS FOR  X 01 COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SO4-2,SiO2
,7.5-8.3,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2017-12-01 00:00:00,7.62,18,0.6,1290,674,369,305,303,6.7,10.7,110,887,140
2017-12-02 00:00:00,8.1,18,0.1,1449,692,387,305,310,6.8,10.8,115,790,142
2017-12-03 00:00:00,8.02,18,0.1,1430,674,370,304,312,7,11,114,792,144
2017-12-04 00:00:00,7.99,24,0.3,1410,640,350,290,310,6.9,10.9,113,752,137
2017-12-05 00:00:00,7.92,23,0.5,1460,649,355,294,317,7.1,11.1,119,740,142
2017-12-06 00:00:00,8.01,30,1,1440,786,482,304,308,6.7,10.7,112,740,132
2017-12-07 00:00:00,8.12,29,0.3,1480,734,418,316,317,7.2,11.2,112,793,148
2017-12-08 00:00:00,8.28,33,0.1,1443,720,443,277,310,7,11,110,764,144
2017-12-09 00:00:00,8.12,28,0.2,1392,680,412,268,312,7,11,115,732,142
2017-12-10 00:00:00,7.8,26,0.3,1373,685,410,275,300,6.9,10.9,112,789,140
2017-12-11 00:00:00,7.92,24,0.3,1398,680,390,290,302,7,11,110,790,142
2017-12-12 00:00:00,7.87,24,0.1,1208,640,390,250,253,6.9,10.9,113,750,146
2017-12-13 00:00:00,7.82,25,0.1,1187,643,390,253,243,7.1,11.1,114,759,142
2017-12-14 00:00:00,8.09,22,0.1,1120,608,367,241,228,7,11,113,784,148
2017-12-15 00:00:00,8,23,0.4,1109,628,354,274,243,7,11,112,742,146
2017-12-16 00:00:00,8.1,24,0.1,1092,613,348,265,238,6.9,10.9,110,753,135
2017-12-17 00:00:00,8.08,23,0.1,1070,604,334,270,235,6.9,10.9,110,752,134
2017-12-18 00:00:00,7.9,24,0.2,1118,632,372,260,232,6.8,10.8,109,730,142
2017-12-19 00:00:00,7.75,22,0.3,1033,618,370,248,214,6.9,10.9,110,733,140
2017-12-20 00:00:00,8.1,26,0.2,1142,639,363,276,230,6.9,10.9,112,740,133
2017-12-21 00:00:00,8.12,25,0.2,1169,640,369,271,224,7,11,110,750,130
2017-12-22 00:00:00,8.08,24,0.1,1180,682,370,312,257,6.8,10.8,113,772,134
2017-12-23 00:00:00,8.12,26,0.2,1240,755,416,339,278,7,11,112,790,144
2017-12-24 00:00:00,8.1,27,0.2,1253,773,429,344,278,6.8,10.8,110,788,142
2017-12-25 00:00:00,8.03,21,0.3,1271,700,380,320,235,7.1,11.1,112,793,148
2017-12-26 00:00:00,8.1,22,0.5,1375,790,472,318,250,7,11,116,810,130
2017-12-27 00:00:00,7.9,23,0.2,1530,750,460,290,270,7.1,11.1,113,820,140
2017-12-28 00:00:00,7.92,21,0.2,1462,819,490,329,257,6.9,10.9,118,773,132
2017-12-29 00:00:00,7.83,17,0.1,1363,762,472,290,250,7,11,118,768,134
2017-12-30 00:00:00,8.02,19,0.1,1350,772,480,292,242,6.9,10.9,119,780,132
2017-12-31 00:00:00,8,17,0.1,1372,760,453,307,248,7,11,118,789,130
MIN,7.62,17,0.1,1033,604,334,241,214,6.7,10.7,109,730,130
MAX.,8.28,33,1,1530,819,490,344,317,7.2,11.2,119,887,148
AVG.,7.9945161290322595,23.419354838709676,0.2451612903225806,1297.0645161290322,691.6774193548387,402.0967741935484,288.51724137931035,267.93548387096774,6.945161290322582,10.945161290322583,113.03225806451613,772.4193548387096,139.19354838709677
No. of < Spec,0,--,12,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,25,2,0,0,--,--,0,0,0,-,0,0
% < Specs.,0,--,38.70967741935483,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,80.64516129032258,6.451612903225806,0,0,-,--,0,0,0,-,0,0
