CIRCULATING WATER ANALYSIS FOR  X 01 COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SO4-2,SiO2
,7.5-8.3,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2018-03-01 00:00:00,8.2,20,0.1,1840,1146,620,526,339,6.9,10.9,118,768,155
2018-03-02 00:00:00,8.18,18,0.1,1820,1120,612,508,339,6.9,10.9,120,770,156
2018-03-03 00:00:00,8.23,17,0.3,1730,1016,563,453,346,6.8,10.8,116,783,160
2018-03-04 00:00:00,8.2,16,0.3,1710,1004,560,444,348,6.9,10.9,115,780,158
2018-03-05 00:00:00,8.2,22,0.1,1709,1063,566,497,320,6.7,10.7,118,764,154
2018-03-06 00:00:00,8.1,21,0.1,1702,1059,564,495,319,6.9,10.9,110,780,150
2018-03-07 00:00:00,8,18,0.1,1740,1032,534,498,310,6.8,10.8,115,790,150
2018-03-08 00:00:00,8.1,18,0.1,1670,1016,530,486,303,6.8,10.8,117,763,148
2018-03-09 00:00:00,8.002,15,0.1,1460,978,520,458,288,6.7,10.7,110,760,139
2018-03-10 00:00:00,8.22,16,0.1,1460,1004,557,447,298,6.8,10.8,118,782,148
2018-03-11 00:00:00,8.2,15,0.1,1438,990,540,450,294,6.8,10.8,116,790,150
2018-03-12 00:00:00,8.1,18,0.1,1538,865,469,396,288,6.9,10.9,114,789,144
2018-03-13 00:00:00,8.07,24,0.2,1540,873,481,392,295,6.9,10.9,115,763,148
2018-03-14 00:00:00,7.72,23,0.2,1435,877,436,441,303,6.9,10.9,112,782,159
2018-03-15 00:00:00,7.59,24,0.1,1690,1077,571,506,288,7,11,109,784,150
2018-03-16 00:00:00,7.89,17,0.1,1400,824,461,363,281,6.9,10.9,115,793,150
2018-03-17 00:00:00,7.9,17,0.1,1330,787,445,342,273,6.8,10.8,112,796,153
2018-03-18 00:00:00,7.82,18,0.1,1322,780,440,340,274,6.9,10.9,110,794,152
2018-03-19 00:00:00,7.9,19,0.1,1283,740,410,330,270,6.9,10.9,112,783,153
2018-03-20 00:00:00,7.81,15,0.1,1215,677,384,293,216,6.7,10.7,110,779,156
2018-03-21 00:00:00,8,18,0.1,1190,673,367,306,203,6.8,10.8,115,770,145
2018-03-22 00:00:00,8.06,16,0.1,1260,676,376,300,238,6.8,10.8,120,782,146
2018-03-23 00:00:00,8,16,0.1,1269,680,392,288,245,6.5,10.5,122,778,140
2018-03-24 00:00:00,7.9,14,0.1,1370,696,400,296,252,6.8,10.8,119,764,144
2018-03-25 00:00:00,7.92,13,0.1,1340,680,390,290,248,6.7,10.7,120,762,142
2018-03-26 00:00:00,8.02,16,0.1,1390,710,410,300,256,6.9,10.9,120,760,148
2018-03-27 00:00:00,7.68,17,0.1,1469,743,440,303,280,6.9,10.9,107,730,144
2018-03-28 00:00:00,7.81,16,0.1,1460,816,420,396,268,6.9,10.9,110,763,142
2018-03-29 00:00:00,7.83,17,0.2,1480,840,433,407,287,6.7,10.7,115,783,149
2018-03-30 00:00:00,8.02,18,0.2,1570,880,453,427,289,6.5,10.5,114,720,150
2018-03-31 00:00:00,7.98,19,0.1,1520,890,502,388,320,6.9,10.9,118,733,150
MIN,7.59,13,0.1,1190,673,367,288,203,6.5,10.5,107,720,139
MAX.,8.23,24,0.3,1840,1146,620,506,348,7,11,122,796,160
AVG.,7.988774193548387,17.774193548387096,0.1258064516129033,1495.1612903225807,877.8064516129032,478.9032258064516,390.7586206896552,286.38709677419354,6.816129032258066,10.816129032258063,114.90322580645162,772.1935483870968,149.4516129032258
No. of < Spec,0,--,25,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,5,0,0,0,--,--,0,0,0,-,0,0
% < Specs.,0,--,80.64516129032258,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,16.129032258064516,0,0,0,-,--,0,0,0,-,0,0
