CIRCULATING WATER ANALYSIS FOR  X 01 COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SO4-2,SiO2
,7.5-8.3,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2017-03-01 00:00:00,7.8,24,0.1,1340,800,512,288,212,6.4,10.4,115,764,130
2017-03-02 00:00:00,7.85,21,0.1,1338,793,470,323,205,6.3,10.3,110,752,129
2017-03-03 00:00:00,8.1,17,0.1,1237,810,500,310,212,6.2,10.2,110,750,120
2017-03-04 00:00:00,7.9,20,NIL,1327,810,498,312,219,6.3,10.3,110,756,120
2017-03-05 00:00:00,7.87,18,NIL,1342,834,510,324,220,6.2,10.2,107,740,124
2017-03-06 00:00:00,7.6,22,0.1,1292,824,408,416,212,6,10,110,750,130
2017-03-07 00:00:00,7.84,17,NIL,1370,818,521,297,234,6,10,110,760,128
2017-03-08 00:00:00,8,18,NIL,1540,824,508,316,219,6.1,10.1,104,752,122
2017-03-09 00:00:00,7.9,17,NIL,1692,1062,639,423,307,6.2,10.2,104,740,120
2017-03-10 00:00:00,8.13,15,NIL,1787,1092,660,432,314,6.5,10.5,107,760,129
2017-03-11 00:00:00,7.96,20,NIL,1789,1131,669,462,322,6.4,10.4,103,745,122
2017-03-12 00:00:00,8,20,0.1,1502,756,429,327,216,6.3,10.3,116,786,138
2017-03-13 00:00:00,8.2,24,0.2,1492,779,480,299,227,6.2,10.2,112,780,145
2017-03-14 00:00:00,8.09,16,0.1,1721,1068,636,432,307,6.2,10.2,100,760,124
2017-03-15 00:00:00,8.1,19,NIL,1620,794,450,344,234,6.2,10.2,114,782,145
2017-03-16 00:00:00,8.1,17,NIL,1671,1098,640,458,314,6.3,10.3,104,750,122
2017-03-17 00:00:00,8.03,17,NIL,1772,1032,630,402,307,6,10,112,760,125
2017-03-18 00:00:00,7.93,16,NIL,1760,1026,620,406,300,6.1,10.1,114,750,135
2017-03-19 00:00:00,7.8,17,NIL,1690,1010,612,398,297,6,10,110,765,134
2017-03-20 00:00:00,8.12,14,NIL,1690,1022,630,392,295,6.1,10.1,114,760,130
2017-03-21 00:00:00,7.92,14,NIL,1650,1029,627,402,290,6.2,10.2,112,750,134
2017-03-22 00:00:00,8,20,NIL,1610,1076,692,384,263,6,10,114,765,130
2017-03-23 00:00:00,7.85,17,0.1,1480,970,635,335,260,6.3,10.3,112,760,134
2017-03-24 00:00:00,7.74,15,0.1,1597,992,664,328,249,6.4,10.4,104,750,135
2017-03-25 00:00:00,7.7,16,NIL,1582,990,670,320,248,6.3,10.3,105,760,137
2017-03-26 00:00:00,7.69,15,NIL,1620,971,652,319,252,6.2,10.2,104,740,130
2017-03-27 00:00:00,8.13,24,0.1,1342,938,579,359,241,6,10,114,765,140
2017-03-28 00:00:00,7.6,16,0.1,1289,896,496,400,249,6.2,10.2,110,760,142
2017-03-29 00:00:00,7.82,15,NIL,1192,910,580,330,252,6.3,10.3,110,765,140
2017-03-30 00:00:00,7.89,17,NIL,1264,876,552,324,227,6.4,10.4,109,750,138
2017-03-31 00:00:00,7.67,14,NIL,1290,858,551,307,219,6.2,10.2,109,740,130
MIN,7.6,14,0.1,1192,756,408,288,205,6,10,100,740,120
MAX.,8.2,24,0.2,1789,1131,692,462,322,6.5,10.5,116,786,145
AVG.,7.913870967741933,17.806451612903224,0.10909090909090909,1512.516129032258,931.9032258064516,571.6129032258065,360.2903225806452,255.58064516129033,6.209677419354839,10.209677419354836,109.3225806451613,757,131.03225806451613
No. of < Spec,0,--,10,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,5,0,0,0,--,--,0,0,0,-,0,0
% < Specs.,0,--,90.90909090909092,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,17.857142857142858,0,0,0,-,--,0,0,0,-,0,0
