CIRCULATING WATER ANALYSIS FOR  X 01 COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SO4-2,SiO2
,7.5 - 8.3,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2018-09-01 00:00:00,7.79,22,0.1,693,331,208,123,219,6.6,10.6,123,587,154
2018-09-02 00:00:00,7.860345,20,0.1,712,345,215,130,220,6.6,10.6,125,572,152
2018-09-03 00:00:00,8.18,17,0.2,670,340,238,102,156,6.7,10.7,126,540,142
2018-09-04 00:00:00,8.2,16,0.1,640,323,210,113,146,6.7,10.7,126,533,144
2018-09-05 00:00:00,8.09,15,0.1,536,310,189,121,124,6.8,10.8,123,508,147
2018-09-06 00:00:00,8,16,0.1,550,400,243,157,174,6.9,10.9,124,550,150
2018-09-07 00:00:00,8.4,18,0.1,491,336,181,155,161,6.6,10.6,129,480,161
2018-09-08 00:00:00,8.38,18,0.1,490,344,185,159,168,6.9,10.9,119,473,149
2018-09-09 00:00:00,7.89,15,0.1,643,338,210,128,153,6.9,10.9,120,595,145
2018-09-10 00:00:00,7.93,16,0.1,664,359,219,140,154,6.9,10.9,120,593,148
2018-09-11 00:00:00,7.82,14,0.1,621,320,206,114,146,6.7,10.7,118,434,147
2018-09-12 00:00:00,8.02,16,0.2,625,334,182,152,159,6.6,10.6,120,398,140
2018-09-13 00:00:00,7.7,16,0.2,689,380,228,152,180,7,11,118,610,153
2018-09-14 00:00:00,7.66,16,0.2,673,365,200,165,181,7,11,120,370,150
2018-09-15 00:00:00,7.76,16,0.1,774,420,238,182,203,6.7,10.7,110,398,152
2018-09-16 00:00:00,7.95,15,0.1,751,433,244,189,204,6.6,10.6,112,402,150
2018-09-17 00:00:00,8.2,19,0.1,740,402,213,189,166,6.5,10.5,130,370,149
2018-09-18 00:00:00,8.38,19,0.1,748,418,220,198,169,6.7,10.7,132,347,150
2018-09-19 00:00:00,8.32,19,0.1,740,410,220,190,231,6.9,10.9,138,392,146
2018-09-20 00:00:00,8.2,20,0.1,699,418,234,184,225,6.9,10.9,124,689,150
2018-09-21 00:00:00,8.38,18,0.1,740,460,260,200,164,6.7,10.7,133,513,154
2018-09-22 00:00:00,8.49,15,0.1,776,428,244,184,152,6.8,10.8,134,530,142
2018-09-23 00:00:00,8.4,14,0.1,789,449,253,196,153,6.8,10.8,134,532,140
2018-09-24 00:00:00,8.12,15,0.1,813,463,310,153,158,6.6,10.6,129,490,146
2018-09-25 00:00:00,7.93,14,0.1,742,432,251,181,145,6.8,10.8,126,380,145
2018-09-26 00:00:00,7.89,17,0.1,898,458,265,193,153,6.7,10.7,124,424,150
2018-09-27 00:00:00,8.08,28,0.1,1050,454,268,186,261,7,11,127,583,158
2018-09-28 00:00:00,8.09,25,0.1,1080,460,290,170,270,7,11,130,596,155
2018-09-29 00:00:00,7.7,24,0.1,1150,488,298,190,276,6.9,10.9,120,684,158
2018-09-30 00:00:00,7.78,23,0.1,1173,499,309,190,277,6.9,10.9,120,682,156
MIN,7.66,14,0.1,490,310,181,102,124,6.5,10.5,110,347,140
MAX.,8.49,28,0.2,1173,499,310,200,277,7,11,138,689,161
AVG.,8.0530115,17.866666666666667,0.11333333333333337,745.3333333333334,397.23333333333335,234.36666666666667,165.46428571428572,184.93333333333334,6.78,10.78,124.46666666666667,508.5,149.43333333333334
No. of < Spec,0,23,30,30,30,30,29,30,0,0,30,30,30
No. of > Spec,7,5,0,0,0,0,0,0,0,0,0,0,0
% < Specs.,0,76.66666666666667,100,100,100,100,100,100,0,0,100,100,100
% > Specs.,23.333333333333336,16.666666666666668,0,0,0,0,0,0,0,0,0,0,0
