Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,SHRIRAM ALKALINE &CHEMICAL LTD (main plant),,,,,,
,MONTHLY CHEMICAL CONSUMPTION(aug-14),,,,,,
DATE,AT1192,AT8600,AT2150,AT2501,AT3331,AT399,AT3500
,KGS,KGS,KGS,KGS,KGS,KGS,KGS
1.8.14,15,1,2,2,-,-,-
2.8.14,12,0.6,2,2,-,-,-
3.8.14,13,0.5,2,2,-,-,-
4.8.14,12,0.6,2,1,-,-,-
5.8.14,12,0.5,1.5,1.5,-,-,-
6.8.14,12,0.5,1.5,2,75 KG,-,-
7.8.14,12,0.6,1,2,-,-,-
8.8.14,11,0.6,1,1,-,-,-
9.8.14,11,0.6,1.5,1.2,-,-,-
10.8.14,12,0.6,1,1,-,-,-
11.8.14,11,0.5,0.9,0.9,-,-,-
12.8.14,11,0.5,0.9,0.9,-,-,-
13.8.14,12,0.5,0.8,0.8,-,-,-
14.8.14,11,0.5,1,1,-,-,-
15.8.14,12,0.6,1,1,-,-,-
16.8.14,12,0.6,0.9,1,-,-,-
17.8.14,12,0.6,1.3,1,-,-,-
18.8.14,12,0.6,1.3,0.9,-,60 KG,-
19.8.14,11,0.6,1,1,-,-,-
20.8.14,12,0.6,0.9,0.9,-,-,-
21.8.14,12,0.5,1.5,0.9,-,-,-
22.8.14,12,0.6,0.9,0.9,-,-,-
23.8.14,13,0.6,0.9,0.9,-,-,-
24.8.14,12,0.5,1,1,-,-,-
25.8.14,11,0.5,1,1,-,-,-
26.8.14,12,0.5,0.8,0.8,-,-,-
27.8.14,12,0.5,0.8,0.8,-,-,-
29.8.14,13,0.5,0.8,0.8,-,-,-
30.8.14,12,0.5,0.8,0.8,-,-,35 KG
31.8.14,13,0.6,1,1,-,-,-
TOTAL,360,16.999999999999996,34.999999999999986,33.999999999999986,75,60,35
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
CHEMICAL,JUNE(PHYSICAL STOCK),AUG(ISSUE CEM)3.8.14,AUG(CONSUMPTION),AUG(PHSICAL STOCK)31.8.14,,,
AT 1192,18,450,360,108,,,
AT2501,6,50,34,22,,,
AT8600,38,-,17,21,,,
AT2150,NIL,50,35,15,,,
AT3331,25,100,75,50,,,
AT399,40,50,60,30,,,
AT3500,20,50,35,35,,,
,,,,,,,
NOTE,19.07.14 TO 29.07.14 ,SHUT DOWN,,,,,
,PASSIVATION DOSAGE ,,,,,,
AT1192,50+30=80 KG,28.07.14,,,,,
AT2501,20 KG,28.07.14,,,,,
AT8600,0.5,28.07.14,,,,,
AT2150,12 KG,28.07.14,,,,,
