pH,Turbidity_NTU,Free_Residual_Chlorine_ppm,TDS_ppm,Total_Hardness_ppm,Calcium_Hardness_ppm,Magnesium_Hardness_ppm,Chlorides_ppm,Phosphate_ppm,Total_Alkalinity_ppm,Sulphates_ppm,Silica_ppm,Source_Sheet,Date,Iron_ppm,Suspended_Solids_ppm,Conductivity_uS_cm,Cycles_of_Concentration
8.3,5.0,,352.0,137.0,105.0,32.0,29.0,,,,12.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,525.0,
8.41,9.0,,372.0,146.0,114.0,32.0,36.0,,,,15.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,555.0,
8.4,5.0,0.5,419.0,160.0,123.0,37.0,36.0,,,,14.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,625.0,
8.24,9.0,0.5,407.0,161.0,112.0,49.0,36.0,,,,17.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,607.0,
8.14,17.0,0.6,419.0,165.0,111.0,54.0,37.0,,,,18.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,625.0,
7.26,17.0,,489.0,157.0,103.0,54.0,25.0,,,,12.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,729.0,
8.11,16.0,,437.0,170.0,108.0,62.0,25.0,,,,13.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,652.0,
8.05,16.0,0.4,495.0,161.0,103.0,58.0,22.0,,,,15.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,739.0,
8.6,25.0,0.4,404.0,157.0,103.0,54.0,29.0,,,,12.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,603.0,
7.72,20.0,,512.0,166.0,108.0,58.0,29.0,,,,13.0,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,764.0,
