Date,pH,Turbidity,TSS,FRC,Conductivity,TDS,Total_Hardness,Calcium_Hardness,Magnesium_Hardness,Chlorides,Ortho_PO4,Total_Iron,SS,Sulphate,Silica,Total_PO4,Total_Alkalinity,P_Alkalinity,PO4
2010-04-02,8.1,13.0,,,,1840.0,756.0,461.0,,106.0,,,,,102.0,,130.0,0.0,6.1
2010-04-05,8.12,18.0,,,,1930.0,714.0,436.0,,96.0,,,,,103.0,,130.0,0.0,6.2
2010-04-07,8.06,13.0,,,,1985.0,676.0,412.0,,89.0,,,,,95.0,,140.0,0.0,6.1
2010-04-09,7.9,18.0,,,,1720.0,605.0,369.0,,83.0,,,,,89.0,,130.0,0.0,6.0
2010-04-12,7.82,15.0,,,,1820.0,735.0,448.0,,90.0,,,,,90.0,,130.0,0.0,6.2
2010-04-14,8.04,10.0,,,,1880.0,739.0,451.0,,105.0,,,,,106.0,,140.0,0.0,6.1
2010-04-16,8.05,54.0,,,,1895.0,672.0,410.0,,90.0,,,,,101.0,,130.0,0.0,6.2
2010-04-19,7.84,57.0,,,,1170.0,328.0,200.0,,51.0,,,,,48.0,,125.0,0.0,6.0
2010-04-21,7.82,38.0,,,,1190.0,378.0,230.0,,76.0,,,,,57.0,,125.0,0.0,6.0
2010-04-22,7.84,38.0,,,,1210.0,378.0,230.0,,54.0,,,,,60.0,,130.0,0.0,6.2
2010-04-24,8.08,45.0,,,,1210.0,374.0,228.0,,58.0,,,,,62.0,,130.0,0.0,6.1
2010-04-26,7.89,25.0,,,,1270.0,420.0,256.0,,72.0,,,,,70.0,,135.0,0.0,6.1
2010-04-28,8.18,22.0,,,,1615.0,546.0,333.0,,83.0,,,,,89.0,,145.0,0.0,6.2
2010-04-29,8.08,28.0,,,,1450.0,454.0,277.0,,76.0,,,,,82.0,,140.0,0.0,6.1
2010-05-01,8.06,17.0,,,,1820.0,525.0,320.0,,90.0,,,,,78.0,,135.0,0.0,6.2
2010-05-03,8.02,16.0,,,,2170.0,630.0,384.0,,105.0,,,,,98.0,,135.0,0.0,6.2
2010-05-05,7.8,12.0,,,,1985.0,659.0,402.0,,116.0,,,,,84.0,,120.0,0.0,6.1
2010-05-07,8.08,13.0,,,,1670.0,672.0,410.0,,123.0,,,,,73.0,,140.0,0.0,6.1
2010-05-11,8.02,13.0,,,,2060.0,974.0,594.0,,156.0,,,,,102.0,,140.0,0.0,6.2
2010-05-13,7.94,10.0,,,,1830.0,861.0,525.0,,145.0,,,,,105.0,,135.0,0.0,6.1
2010-05-15,8.1,9.0,,,,1640.0,777.0,474.0,,127.0,,,,,85.0,,145.0,0.0,6.1
2010-05-17,8.05,10.0,,,,1740.0,672.0,410.0,,112.0,,,,,81.0,,140.0,0.0,6.1
2010-05-19,8.08,11.0,,,,1800.0,663.0,404.0,,108.0,,,,,89.0,,140.0,0.0,6.1
2010-05-21,8.12,16.0,,,,2090.0,714.0,435.0,,112.0,,,,,109.0,,150.0,0.0,6.2
2010-05-24,7.72,9.0,,,,1672.0,672.0,410.0,,109.0,,,,,90.0,,125.0,0.0,6.1
2010-05-26,8.02,11.0,,,,1575.0,729.0,445.0,,109.0,,,,,95.0,,140.0,0.0,6.0
2010-05-28,8.11,43.0,,,,1965.0,742.0,453.0,,130.0,,,,,90.0,,145.0,0.0,6.2
2010-06-07,8.18,18.0,,,,562.0,233.0,142.0,,40.0,,,,,,,140.0,0.0,6.1
2010-06-10,8.24,64.0,,,,586.0,263.0,160.0,,54.0,,,,,,,135.0,0.0,6.0
2010-06-12,7.72,51.0,,,,680.0,280.0,170.0,,54.0,,,,,,,130.0,0.0,6.0
2010-06-14,8.24,60.0,,,,1210.0,328.0,193.0,,59.0,,,,,90.0,,145.0,0.0,6.1
2010-06-15,8.31,40.0,,,,1080.0,322.0,196.0,,51.0,,,,,,,140.0,0.0,6.1
2010-06-17,7.78,25.0,,,,1172.0,348.0,212.0,,54.0,,,,,50.0,,130.0,0.0,6.1
2010-06-19,7.94,31.0,,,,1210.0,403.0,246.0,,62.0,,,,,58.0,,130.0,0.0,6.1
2010-06-21,8.02,30.0,,,,1233.0,416.0,254.0,,62.0,,,,,63.0,,135.0,0.0,6.1
2010-06-23,8.08,36.0,,,,1380.0,509.0,310.0,,62.0,,,,,55.0,,130.0,0.0,6.1
2010-06-28,8.06,25.0,,,,1926.0,517.0,315.0,,69.0,,,,,75.0,,150.0,0.0,6.2
2010-06-30,8.04,26.0,,,,1840.0,488.0,298.0,,65.0,,,,,43.0,,130.0,0.0,6.1
2010-07-02,8.15,20.0,,,,1550.0,428.0,261.0,,65.0,,,,,68.0,,130.0,0.0,6.1
2010-07-06,7.92,19.0,,,,1580.0,394.0,240.0,,54.0,,,,,49.0,,120.0,0.0,6.1
2010-07-08,7.79,17.0,,,,1010.0,340.0,207.0,,47.0,,,,,40.0,,110.0,0.0,6.1
2010-07-10,7.95,18.0,,,,1050.0,394.0,240.0,,69.0,,,,,43.0,,120.0,0.0,6.1
2010-07-12,7.96,20.0,,,,1390.0,466.0,284.0,,87.0,,,,,56.0,,125.0,0.0,6.0
2010-07-14,8.08,19.0,,,,1400.0,479.0,292.0,,90.0,,,,,65.0,,130.0,0.0,6.2
2010-07-17,8.02,20.0,,,,1830.0,976.0,607.0,,195.0,,,,,70.0,,110.0,0.0,6.1
2010-07-19,7.82,35.0,,,,1742.0,551.0,336.0,,154.0,,,,,74.0,,110.0,0.0,6.0
2010-07-23,8.05,19.0,,,,1950.0,420.0,281.0,,109.0,,,,,80.0,,115.0,0.0,6.0
2010-07-29,8.05,17.0,,,,1640.0,408.0,249.0,,90.0,,,,,80.0,,110.0,0.0,6.1
2010-08-02,8.09,7.0,,,,1370.0,347.0,212.0,,110.0,,,,,76.0,,120.0,0.0,6.0
2010-08-04,8.28,11.0,,,,2080.0,367.0,224.0,,198.0,,,,,86.0,,140.0,0.0,6.0
2010-08-06,8.02,19.0,,,,1912.0,338.0,236.0,,259.0,,,,,,,130.0,0.0,6.1
2010-08-10,7.96,18.0,,,,1330.0,347.0,212.0,,342.0,,,,,45.0,,110.0,0.0,6.1
2010-08-12,8.06,18.0,,,,2050.0,497.0,303.0,,548.0,,,,,50.0,,115.0,0.0,6.1
2010-08-13,8.06,21.0,,,,2080.0,508.0,310.0,,586.0,,,,,,,120.0,0.0,6.1
2010-08-16,8.07,12.0,,,,1840.0,510.0,311.0,,576.0,,,,,54.0,,110.0,0.0,6.1
2010-08-18,7.82,10.0,,,,1910.0,555.0,340.0,,558.0,,,,,66.0,,100.0,0.0,6.1
2010-08-20,7.93,12.0,,,,2025.0,510.0,311.0,,410.0,,,,,68.0,,115.0,0.0,6.0
2010-08-27,7.82,8.0,,,,1600.0,510.0,282.0,,447.0,,,,,63.0,,110.0,0.0,6.1
2010-08-30,8.12,17.0,,,,1730.0,448.0,273.0,,522.0,,,,,70.0,,115.0,0.0,6.0
2010-09-01,7.85,10.0,,,,1595.0,408.0,249.0,,500.0,,,,,62.0,,100.0,0.0,6.0
2010-09-03,7.94,15.0,,,,1820.0,428.0,261.0,,483.0,,,,,60.0,,110.0,0.0,6.1
2010-09-06,7.81,18.0,,,,1720.0,367.0,224.0,,500.0,,,,,40.0,,100.0,0.0,6.0
2010-09-08,7.7,16.0,,,,1400.0,347.0,212.0,,388.0,,,,,47.0,,95.0,0.0,6.0
2010-09-10,8.09,16.0,,,,1640.0,330.0,201.0,,494.0,,,,,50.0,,110.0,0.0,6.1
2010-09-13,8.12,15.0,,,,1785.0,367.0,224.0,,511.0,,,,,60.0,,120.0,0.0,6.1
2010-09-15,8.19,14.0,,,,1400.0,335.0,204.0,,416.0,,,,,52.0,,125.0,0.0,6.1
2010-09-17,8.06,17.0,,,,1700.0,315.0,192.0,,346.0,,,,,63.0,,115.0,0.0,6.0
2010-09-18,9.13,82.0,,,,9900.0,336.0,205.0,,406.0,,,,,,,1050.0,150.0,
2010-09-18,8.25,35.0,,,,9000.0,315.0,210.0,,395.0,,,,,,,700.0,0.0,
2010-09-20,7.96,23.0,,,,3100.0,306.0,187.0,,310.0,,,,,,,130.0,0.0,7.0
2010-09-22,7.95,22.0,,,,2180.0,420.0,256.0,,353.0,,,,,85.0,,130.0,0.0,6.1
2010-09-23,7.9,155.0,,,,2270.0,462.0,281.0,,406.0,,,,,,,150.0,0.0,5.0
2010-09-25,8.01,180.0,,,,1800.0,514.0,314.0,,238.0,,,,,100.0,,120.0,0.0,7.0
2010-09-27,8.15,120.0,,,,2150.0,525.0,320.0,,564.0,,,,,70.0,,125.0,0.0,6.1
