CIRCULATING WATER ANALYSIS FOR  MAIN PLANT COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.10.14,7.95,20,0.1,2471,1730,882,538,344,145,7.5,150,NIL,0.2,43,864,106
02.10.14,7.93,20,0.2,2542,1780,924,564,360,142,7.7,145,NIL,0.2,48,912,105
03.10.14,7.95,20,0.2,2550,1785,928,559,369,152,7.7,150,NIL,0.2,53,908,105
04.10.14,7.9,24,0.1,2642,1850,882,538,344,152,8,140,NIL,0.2,49,873,101
05.10.14,7.98,24,0.1,2528,1770,890,546,344,145,7.9,160,NIL,0.2,55,878,95
06.10.14,7.97,24,0.1,2457,1720,827,505,322,161,7.6,160,NIL,0.2,50,809,82
07.10.14,7.8,25,0.1,2285,1600,693,423,270,126,7.5,140,NIL,0.2,54,622,97
08.10.14,7.99,18,0.1,2185,1530,777,474,303,103,7.9,155,NIL,0.2,43,762,92
09.10.14,7.81,20,0.1,2050,1435,672,410,262,113,7.5,145,NIL,0.2,41,689,89
10.10.14,7.86,18,0.1,2157,1510,693,422,271,126,7.2,150,NIL,0.2,37,674,99
11.10.14,7.92,19,0.1,2260,1580,756,461,295,139,7.9,155,NIL,0.1,39,721,98
12.10.14,7.85,20,0.1,1935,1355,764,466,298,145,8,135,NIL,0.1,43,742,97
13.10.14,7.86,24,0.1,1900,1330,756,461,295,139,7.8,138,NIL,0.1,51,772,87
14.10.14,7.69,22,0.1,1885,1320,790,482,308,126,7.7,110,NIL,0.2,47,822,92
15.10.14,7.97,20,0.2,1971,1380,810,494,316,129,7.8,140,NIL,0.2,43,833,101
16.10.14,7.9,19,0.1,2000,1400,819,500,319,129,7.5,135,NIL,0.1,53,797,105
17.10.14,7.95,18,0.2,2114,1480,865,528,337,135,7.7,145,NIL,0.2,41,852,102
18.10.14,7.89,25,0.1,2197,1538,903,551,352,135,7.9,140,NIL,0.2,48,898,106
19.10.14,7.9,26,0.1,2200,1580,899,546,353,132,8,140,NIL,0.2,52,891,109
20.10.14,7.98,19,0.1,2230,1540,861,525,336,138,7.5,150,NIL,0.2,43,821,104
21.10.14,7.98,25,0.1,2310,1670,874,533,341,145,7.8,150,NIL,0.2,55,854,100
22.10.14,7.92,26,0.1,2300,1640,810,494,316,122,7.8,145,NIL,0.2,52,793,104
23.10.14,7.85,25,0.1,2170,1525,815,500,315,126,7.8,135,NIL,0.2,54,795,97
24.10.14,7.9,24,0.1,2160,1515,810,494,316,129,7.6,140,NIL,0.2,50,793,100
25.10.14,7.96,21,0.1,2160,1490,840,512,328,138,7.7,145,NIL,0.2,45,826,97
26.10.14,7.92,22,0.1,2150,1485,815,500,315,126,7.6,152,NIL,0.2,49,798,100
27.10.14,7.9,24,0.1,2160,1490,819,500,319,129,7.7,150,NIL,0.2,46,810,107
28.10.14,7.81,22,0.1,2140,1469,840,512,328,139,7.8,140,NIL,0.2,45,830,102
29.10.14,8.17,23,0.1,2282,1600,890,543,347,155,7.9,165,NIL,0.2,41,893,111
30.10.14,7.89,25,0.1,2295,1638,924,564,360,162,7.9,130,NIL,0.2,51,992,107
31.10.14,7.95,18,0.1,2320,1650,944,574,262,170,7.7,145,0,0.1,37,820,82
MIN.,8.17,26,0.2,2642,1850,928,564,369,162,8,165,0,0.2,55,992,111
MAX.,7.9116666666666635,22.066666666666666,0.11333333333333338,2222.866666666667,1557.8333333333333,827.6,504.8333333333333,322.76666666666665,136.1,7.730000000000001,144.5,NIL,0.18666666666666673,47.36666666666667,817.4666666666667,99.9
No. of < Spec,0,--,26,--,--,--,--,--,--,0,--,--,--,--,--,--
No. of > Spec,1,18,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,0,--,86.66666666666667,--,--,--,--,--,--,0,-,-,-,-,-,--
% > Specs.,3.3333333333333335,60,0,-,0,0,-,--,0,0,0,-,0,-,0,0
