CIRCULATING WATER ANALYSIS FOR  MAIN PLANT COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
01.09.14,7.94,18,0.1,2171,1520,855,539,316,158,7.4,160,NIL,0.2,37,836,75
02.09.14,7.92,18,0.1,2300,1610,837,510,327,144,7.5,158,NIL,0.2,36,806,94
03.09.14,8,17,0.1,2214,1550,844,515,329,137,7.8,165,NIL,0.2,35,802,95
04.09.14,7.96,18,0.1,2257,1580,855,522,333,155,7.5,160,NIL,0.2,37,841,99
05.09.14,7.85,16,0.1,2040,1638,866,528,338,127,7.8,155,NIL,0.2,34,826,104
06.09.14,7.9,18,0.1,2340,1570,800,488,312,137,7.9,162,NIL,0.2,36,886,102
07.09.14,7.89,18,0.1,2242,1600,759,470,289,148,7.9,160,NIL,0.2,37,842,109
08.09.14,7.9,18,0.2,2285,1660,874,533,341,148,7.9,125,NIL,0.2,38,867,110
09.09.14,7.81,18,0.1,2371,1730,903,550,353,158,7.8,162,NIL,0.2,39,879,113
10.09.14,7.89,19,0.1,2471,1750,884,539,345,144,7.5,150,NIL,0.2,35,871,104
11.09.14,7.81,18,0.1,2500,1720,892,544,348,145,7.8,155,NIL,0.2,33,854,101
12.09.14,7.98,17,0.1,2457,1750,877,535,342,170,7.8,150,NIL,0.2,38,884,103
13.09.14,7.94,18,0.1,2500,1710,895,546,349,131,7.9,165,NIL,0.2,36,829,97
14.09.14,7.98,18,0.1,2442,1703,899,539,360,145,7.4,162,NIL,0.2,35,838,101
15.09.14,7.8,18,0.1,2432,1740,902,550,352,150,7.9,170,NIL,0.2,39,841,103
16.09.14,7.78,19,0.1,2485,1678,855,522,333,145,7.8,150,NIL,0.1,36,823,108
17.09.14,7.82,18,0.1,2397,1730,866,528,338,145,7.7,145,NIL,0.2,37,842,111
18.09.14,7.85,19,0.1,2471,1760,837,510,327,129,8,155,NIL,0.2,35,847,105
19.09.14,7.95,18,0.1,2514,1750,848,517,331,126,7.9,160,NIL,0.2,39,813,109
20.09.14,7.82,19,0.1,2500,1806,946,577,369,152,7.9,165,NIL,0.2,36,821,114
21.09.14,7.95,18,0.1,2580,1770,939,597,342,149,7.7,160,NIL,0.2,35,826,111
22.09.14,7.8,18,0.1,2528,1763,903,557,346,135,7.5,165,NIL,0.2,37,894,113
23.09.14,7.88,19,0.1,2518,1740,866,528,338,135,7.8,155,NIL,0.2,39,852,110
24.09.14,7.85,18,0.1,2485,1695,873,532,341,135,7.6,160,NIL,0.2,41,867,107
25.09.14,7.7,19,0.1,2421,1624,837,510,327,129,7.9,158,NIL,0.2,38,819,110
26.09.14,7.98,18,0.1,2320,1685,855,521,334,135,7.6,140,NIL,0.2,36,823,102
27.09.14,7.95,18,0.1,2407,1678,848,517,331,145,7.6,165,NIL,0.2,33,829,109
28.09.14,7.92,18,0.1,2397,1640,837,520,317,135,7.9,160,NIL,0.2,32,830,102
29.09.14,7.96,18,0.1,2342,1680,882,538,344,138,7.9,162,NIL,0.2,38,873,112
30.09.14,7.76,18,0.1,2400,1696,819,499,320,152,7.9,150,NIL,0.2,35,811,110
MIN.,7.7,16,0.1,2422,1520,759,470,289,126,7.4,150,0,0.1,32,802,75
MAX.,8,19,0.2,2580,1806,946,597,369,170,8,170,0,0.2,41,894,114
AVG.,7.884666666666664,18.066666666666666,0.10333333333333337,2392.9,1684.2,865.1,529.3666666666667,335.73333333333335,142.73333333333332,7.750000000000001,156.96666666666667,NIL,0.19666666666666677,36.4,842.4,104.76666666666667
No. of < Spec,0,--,29,--,--,--,--,--,--,0,--,--,--,--,--,--
No. of > Spec,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,0,--,96.66666666666667,--,--,--,--,--,--,0,-,-,-,-,-,--
% > Specs.,0,0,0,-,0,0,-,--,0,0,0,-,0,-,0,0
