CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
01.04.16,7.5,17,0.1,1395,530,289,241,155,6.6,10.6,104,866,118
02.04.16,7.62,16,0.1,1380,549,293,256,152,6.8,10.8,110,861,117
03.04.16,7.58,18,0.1,1382,545,292,253,154,6.8,11.8,112,870,115
04.04.16,7.56,18,0.1,1370,545,286,259,148,6.8,11.8,108,863,117
05.04.16,7.8,17,0.1,1345,538,282,256,148,6.8,11.8,102,857,118
06.04.16,7.84,16,0.1,1335,534,278,256,141,6.8,10.8,104,863,117
07.04.16,7.7,16,0.1,1580,508,271,237,134,6.8,10.8,107,867,119
08.04.16,8,15,0.1,1460,500,267,233,127,7,10.8,105,868,118
09.04.16,7.8,15,0.1,1380,519,286,233,128,6.8,10.8,102,853,118
10.04.16,7.68,18,0.1,1390,534,278,256,127,6.38,10.8,106,870,119
11.04.16,7.7,18,0.1,1383,556,308,248,148,6.3,10.2,120,861,118
12.04.16,7.6,18,0.1,1370,549,301,248,141,6.2,10.2,110,868,116
13.04.16,7.7,19,0.1,1480,541,316,225,197,6.2,10.2,108,865,118
14.04.16,7.6,18,0.1,1470,632,372,260,198,6.2,10.21,122,857,117
15.04.16,7.8,19,0.01,1440,620,350,270,190,6.2,10.2,128,860,119
16.04.16,7.67,19,0.1,1447,617,345,271,183,6.3,10.3,108,853,117
17.04.16,7.58,18,0.1,1550,647,357,290,197,6.3,10.3,110,858,118
18.04.16,7.6,18,0.1,1518,658,346,312,204,6.5,10.5,104,868,119
19.04.16,7.89,22,0.1,1556,696,357,339,211,6.3,10.3,108,857,117
20.04.16,7.76,20,0.1,1545,682,350,332,218,6.3,10.3,110,865,119
21.04.16,7.72,21,0.1,1584,692,357,335,218,6.3,10.3,112,870,118
22.04.16,7.74,20,0.1,1576,699,361,338,225,6.3,10.3,114,873,119
23.04.16,7.7,19,0.1,1640,697,365,332,232,6.3,10.3,104,875,118
24.04.16,7.86,18,0.1,1680,760,403,357,226,6.3,10.3,110,872,118
25.04.16,7.81,19,0.1,1498,684,327,357,197,6.2,10.2,115,868,119
26.04.16,7.7,19,0.1,1662,701,385,316,232,6.4,10.4,102,865,118
27.04.16,7.65,19,0.1,1658,785,403,382,239,6.5,10.5,110,877,119
28.04.16,7.62,19,0.1,1680,739,374,365,211,6.3,10.3,100,878,118
29.04.16,7.68,19,0.1,1685,743,376,367,210,6.3,10.3,101,870,119
30.04.16,7.7,18,0.1,1650,739,365,374,218,6.3,10.3,104,872,118
MIN.,7.5,15,0.01,1335,500,267,225,127,6.2,10.2,100,853,115
MAX.,8,22,0.1,1685,785,403,382,239,7,11.8,128,878,119
No. of < Spec,0,--,30,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,2,0,0,0,--,--,0,0,0,-,0,0
% < Specs.,0,--,100,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,6.666666666666667,0,0,0,-,--,0,0,0,-,0,0
