CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,Max. 1000 ppm,180 ppm
2015-06-01 00:00:00,7.6,17,NIL,1310,608,372,236,120,7.5,120,0.0.,0.2,719,93
2015-06-02 00:00:00,7.59,16,0.2,1289,620,378,230,129,7.9,110,0,0.2,743,90
2015-06-03 00:00:00,7.5,15,0.1,1250,612,373,239,137,7.9,100,0,0.2,732,93
2015-06-04 00:00:00,7.8,15,0.1,1256,580,354,226,129,7.7,120,0,0.2,746,97
2015-06-05 00:00:00,7.7,17,0.2,1310,592,361,231,146,7.7,120,0,0.2,783,99
2015-06-06 00:00:00,7.62,18,0.1,1350,580,354,226,154,7.8,115,0,0.2,799,102
2015-06-07 00:00:00,7.72,18,0.1,1380,592,361,231,146,7.7,120,0,0.2,783,99
2015-06-08 00:00:00,7.65,18,0.1,1390,584,364,216,155,7.7,105,0,0.2,732,102
2015-06-09 00:00:00,7.67,17,0.1,1501,592,360,232,163,7.7,100,0,0.2,745,100
2015-06-10 00:00:00,7.52,18,0.1,1650,608,371,237,189,7.6,130,0,0.2,786,98
2015-06-11 00:00:00,7.43,19,0.2,1800,840,512,328,172,7.9,120,0,0.2,811,105
2015-06-12 00:00:00,7.8,17,0.1,1760,844,512,332,189,7.5,115,0,0.2,820,100
2015-06-13 00:00:00,7.5,18,0.1,1840,852,520,332,180,7.4,120,0,0.2,828,102
2015-06-14 00:00:00,7.55,18,0.1,1790,860,528,332,172,7.2,125,0,0.2,834,105
2015-06-15 00:00:00,7.6,18,0.1,1820,872,540,332,180,7.4,120,0,0.2,845,108
2015-06-16 00:00:00,7.67,18,NIL,1840,796,524,272,189,7.5,115,0,0.2,834,105
2015-06-17 00:00:00,7.55,18,0.1,1790,792,532,260,180,7.9,110,0,0.2,839,108
2015-06-18 00:00:00,7.7,18,0.5,1570,764,473,291,386,7.4,105,0,0.2,845,105
2015-06-19 00:00:00,7.78,17,0.5,1570,776,460,316,301,7.2,120,0,0.2,880,106
2015-06-20 00:00:00,7.69,18,0.5,1570,750,436,314,172,7.1,125,0,0.2,871,107
2015-06-21 00:00:00,7.58,18,0.5,1490,672,445,227,189,7.3,120,0,0.2,866,108
2015-06-22 00:00:00,7.55,20,0.4,1660,652,444,208,215,7.6,115,0,0.2,878,107
2015-06-23 00:00:00,7.7,19,0.2,1630,652,445,208,189,7.5,120,0,0.2,866,105
2015-06-24 00:00:00,7.6,18,0.2,1480,656,448,208,197,7.4,125,0,0.2,875,108
2015-06-25 00:00:00,7.86,19,0.1,1540,592,324,268,198,7.1,110,0,0.2,868,107
2015-06-26 00:00:00,7.55,18,0.3,1455,608,352,256,198,7,115,0,0.2,870,110
2015-06-27 00:00:00,7.6,18,0.3,1470,564,324,240,206,7.5,120,0,0.2,874,112
2015-06-28 00:00:00,7.58,16,0.3,1520,600,360,240,215,7.6,120,0,0.2,868,115
2015-06-29 00:00:00,7.7,16,0.2,1550,608,352,256,206,7.5,120,0,0.2,870,112
2015-06-30 00:00:00,7.85,17,0.2,1620,616,340,276,240,7.2,115,0,0.2,878,110
MIN.,7.4,15,0,1289,580,324,208,120,7,100,0,0.2,719,98
MAX.,7.86,20,0.5,1800,872,540,332,386,7.9,130,0,0.2,880,115
No. of < Spec,1,--,13,--,--,,--,--,0,--,-,--,--,--
No. of > Spec,0,0,0,0,0,--,--,0,0,0,--,0,0,0
% < Specs.,3.3333333333333335,--,46.42857142857143,--,--,--,--,--,0,,,,,--
% > Specs.,0,0,0,0,0,,--,0,0,0,,0,0,0
