CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,T. Alk.,P. Alk.,Total Iron,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,Max. 1000 ppm,180 ppm
01.07.15,7.6,16,0.2,1510,612,348,264,348,7.3,122,0,0.2,870,115
02.07.15,7.7,18,0.2,1510,628,356,272,356,7.2,124,0,0.2,852,112
03.07.15,7.7,18,0.2,1510,592,324,268,324,7,145,0,0.2,870,110
04.07.15,7.5,18,0.1,1540,676,380,296,380,7.2,148,0,0.2,852,115
05.07.15,7.5,17,0.1,1550,636,360,276,360,7,152,0,0.2,865,110
06.07.15,7.7,17,0.1,1535,656,372,284,372,7.1,155,0,0.2,855,115
07.07.15,7.5,17,0.2,1475,600,336,264,336,7.1,160,0,0.2,810,115
08.07.15,7.7,18,0.1,1505,652,324,328,324,7.2,155,0,0.2,822,112
09.07.15,7.6,17,0.1,1450,648,364,284,364,7.2,152,0,0.2,823,115
10.07.15,7.7,17,0.2,1500,620,352,268,352,7.3,158,0,0.2,829,110
11.07.15,7.7,18,0.2,1450,612,360,252,360,7.1,160,0,0.2,825,115
12.07.15,7.8,17,0.1,1420,600,336,264,336,7.1,158,0,0.2,832,110
13.07.15,7.7,18,0.1,1400,592,348,244,348,7.3,160,0,0.2,840,115
14.07.15,7.6,17,0.2,1480,604,348,256,348,7.3,165,0,0.2,865,115
15.07.15,7.7,17,0.2,1460,612,364,248,364,7.6,160,0,0.2,854,116
16.07.15,7.9,17,0.2,1450,616,388,228,388,6.8,162,0,0.2,850,116
17.07.15,7.8,18,0.1,1435,604,368,236,368,6.8,165,0,0.2,839,114
18.07.15,7.7,17,0.2,1460,634,391,243,391,6.9,160,0,0.2,845,112
19.07.15,7.6,15,0.1,1410,624,368,256,368,7.2,156,0,0.2,860,1110
20.07.15,7.7,16,0.2,1390,624,380,244,380,7,158,0,0.2,865,112
21.07.15,7.5,17,0.2,1410,556,340,216,340,6.7,160,0,0.2,860,110
22.07.15,7.9,17,0.2,1405,588,384,204,384,6.8,162,0,0.2,865,115
23.07.15,7.7,18,0.1,1415,536,340,196,340,6.7,1580,0,0.2,860,110
24.07.15,7.8,17,0.1,1470,536,336,200,336,6.9,160,0,0.2,865,115
25.07.15,7.5,17,0.1,1460,556,340,216,340,6.8,158,0,0.2,860,112
26.07.15,7.6,16,0.2,1510,548,348,200,348,6.7,160,0,0.2,830,113
27.07.15,7.5,17,0.1,1520,556,336,220,336,7.1,162,0,0.2,876,115
28.07.15,7.7,17,0.1,1490,524,320,204,320,7,164,0,0.2,859,112
29.07.15,7.8,17,0.1,1595,532,324,208,324,7.2,160,0,0.2,850,110
30.07.15,7.8,17,0.1,1645,520,328,192,328,6.5,160,0,0.2,831,112
31.07.15,7.7,17,0.1,1490,536,344,192,344,6.6,162,0,0.2,840,113
MIN.,7.5,15,0.1,1390,520,320,192,320,4.8,122,0,0.2,859,110
MAX.,7.9,18,0.2,1645,676,391,328,391,4.6,1580,0,0.2,876,1110
No. of < Spec,0,--,16,--,--,,--,--,0,--,-,-,--,--
No. of > Spec,0,0,0,0,0,--,--,0,0,1,--,0,0,1
% < Specs.,0,--,53.333333333333336,--,--,--,--,--,0,,,,,--
% > Specs.,0,0,0,0,0,,--,0,0,3.3333333333333335,,0,0,3.3333333333333335
