CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,Silica
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2013-04-01 00:00:00,7.59,121,0.2,2390,1618,1102,672,430,146,6.5,120,NIL,0.2,240,893,95
2013-04-02 00:00:00,7.86,118,0.2,2190,1479,918,560,358,125,7.2,150,NIL,0.2,236,984,91
2013-04-03 00:00:00,7.92,104,0.2,2100,1420,898,530,368,132,6.8,160,NIL,0.2,208,916,98
2013-04-04 00:00:00,7.98,85,0.2,2180,1470,877,510,367,125,8,165,NIL,0.2,170,966,110
2013-04-05 00:00:00,7.9,77,0.2,2150,1450,816,449,367,114,7.1,160,NIL,0.2,154,952,113
2013-04-06 00:00:00,7.8,62,0.2,2010,1360,775,428,347,110,7,150,NIL,0.2,120,938,108
2013-04-07 00:00:00,8.02,50,0.2,2000,1353,672,401,271,103,7,170,NIL,0.2,98,942,110
2013-04-08 00:00:00,8,49,0.2,1995,1348,726,416,310,114,7,170,NIL,0.2,90,956,112
2013-04-09 00:00:00,7.9,41,0.2,2050,1431,747,428,319,117,6.9,160,NIL,0.2,80,943,110
2013-04-10 00:00:00,7.88,52,0.1,2215,1550,726,420,306,114,6.8,160,NIL,0.2,101,929,108
2013-04-11 00:00:00,8.09,45,0.2,1740,1218,734,428,306,117,7,170,NIL,0.2,88,910,110
2013-04-12 00:00:00,7.98,37,0.2,1795,1256,747,428,319,125,6.8,170,NIL,0.2,74,925,108
2013-04-13 00:00:00,8.12,38,0.2,1968,1378,804,469,335,132,7.1,180,NIL,0.2,60,938,112
2013-04-14 00:00:00,7.94,22,0.2,2110,1477,849,510,339,189,7.1,165,NIL,0.2,48,949,110
2013-04-15 00:00:00,7.98,23,0.2,2128,1490,856,518,338,196,7.2,170,NIL,0.2,40,936,102
2013-04-16 00:00:00,8.02,38,0.2,1985,1390,918,694,224,160,7.2,180,NIL,0.3,75,921,108
2013-04-17 00:00:00,7.89,29,0.2,2084,1459,938,550,388,164,7.1,165,NIL,0.3,76,910,105
2013-04-18 00:00:00,7.8,24,0.2,2142,1500,971,571,400,171,7,160,NIL,0.2,45,924,108
2013-04-19 00:00:00,7.8,39,0.2,2150,1504,1089,679,410,175,5.8,160,NIL,0.2,76,930,110
2013-04-20 00:00:00,7.96,60,0.2,2140,1495,969,575,394,175,5.7,170,NIL,0.2,110,935,113
2013-04-21 00:00:00,8.05,23,0.2,2142,1500,990,580,410,178,5.9,180,NIL,0.2,50,960,115
2013-04-22 00:00:00,7.99,26,0.2,2850,1995,1040,582,458,189,7.2,185,NIL,0.2,45,946,121
2013-04-23 00:00:00,7.98,23,0.2,2690,1883,986,574,412,178,7.1,182,NIL,0.2,42,930,118
2013-04-24 00:00:00,7.97,19,0.2,2880,1960,1019,624,395,189,7,180,NIL,0.2,35,912,111
2013-04-25 00:00:00,8.02,18,0.2,2571,1800,953,562,391,164,7,185,NIL,0.2,30,898,102
2013-04-26 00:00:00,7.98,35,0.2,2592,1815,1019,603,416,174,7,170,NIL,0.2,62,915,108
2013-04-27 00:00:00,7.89,30,0.2,2595,1816,1027,611,416,178,7.1,165,NIL,0.2,60,930,110
2013-04-28 00:00:00,7.9,32,0.2,2600,1818,1028,613,415,176,7.3,160,NIL,0.2,62,935,115
2013-04-29 00:00:00,7.98,31,0.2,2685,1880,1040,624,416,178,7.1,170,NIL,0.2,63,943,120
2013-04-30 00:00:00,7.98,24,0.2,2427,1699,899,556,343,153,7.2,170,NIL,0.2,44,918,110
,,,,,,,,,,,,,,,,
MIN.,7.59,18,0.1,1740,1218,672,401,224,103,5.7,120,0,0.2,30,893,91
MAX.,8.12,121,0.2,2880,1995,1102,694,458,196,8,185,0,0.3,240,984,121
AVG.,7.939000000000001,45.833333333333336,0.19666666666666677,2251.8,1560.4,904.4333333333333,538.8333333333334,365.6,152.03333333333333,6.939999999999999,166.73333333333332,,0.20666666666666672,89.4,932.8,109.03333333333333
No. of < Spec,0,--,1,--,--,--,--,--,--,0,--,--,--,--,--,--
No. of > Spec,6,28,0,--,0,0,--,--,0,27,0,--,0,--,0,0
% < Specs.,0,--,3.3333333333333335,--,--,--,--,--,--,0,,,,,,--
% > Specs.,20,93.33333333333334,0,,0,0,,--,0,90,0,,0,,0,0
