CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2,COC
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm,Based on TH
2014-02-01 00:00:00,7.98,19,0.3,2253,1510,745,454,291,99,7.1,140,NIL,0.2,39,891,107,5.730769230769231
2014-02-02 00:00:00,8.03,22,0.3,2249,1507,737,445,292,99,7.1,150,NIL,0.2,45,895,105,5.45925925925926
2014-02-03 00:00:00,8.14,22,0.3,2244,1504,824,502,322,103,7,160,NIL,0.2,45,873,101,6.242424242424242
2014-02-04 00:00:00,8.23,22,0.3,2252,1509,815,497,318,103,7.1,170,NIL,0.2,44,882,103,6.269230769230769
2014-02-05 00:00:00,8.23,22,0.3,2417,1620,828,505,323,106,7,175,NIL,0.2,46,903,106,6.320610687022901
2014-02-06 00:00:00,7.98,20,0.3,2238,1500,844,575,269,108,7,140,NIL,0.2,41,911,108,6.393939393939394
2014-02-07 00:00:00,8.1,21,0.3,2313,1550,865,527,338,121,7.2,160,NIL,0.2,42,914,111,6.503759398496241
2014-02-08 00:00:00,8.06,22,0.3,2343,1570,873,536,337,125,7.1,150,NIL,0.2,45,915,101,6.326086956521739
2014-02-09 00:00:00,8.02,22,0.3,2328,1560,878,541,337,129,7.2,155,NIL,0.2,46,923,105,6.552238805970149
2014-02-10 00:00:00,8.05,22,0.3,2283,1530,865,527,338,125,7.3,158,NIL,0.2,47,915,103,6.553030303030303
2014-02-11 00:00:00,8.1,22,0.3,2268,1520,873,541,332,124,7,160,NIL,0.3,48,903,104,6.466666666666667
2014-02-12 00:00:00,8.18,20,0.3,2208,1540,869,543,326,129,7.1,165,NIL,0.2,42,910,108,6.485074626865671
2014-02-13 00:00:00,8.09,24,0.3,2208,1480,906,552,354,106,7.2,160,NIL,0.2,46,893,107,7.023255813953488
2014-02-14 00:00:00,8.12,22,0.3,2291,1535,882,538,344,95,7,165,NIL,0.2,48,880,102,6.890625
2014-02-15 00:00:00,8.02,20,0.3,2328,1560,845,515,330,103,7.5,155,NIL,0.2,42,894,105,6.550387596899225
2014-02-16 00:00:00,7.98,20,0.3,2305,1545,840,519,321,100,7.4,140,NIL,0.2,39,885,102,6.72
2014-02-17 00:00:00,8.08,22,0.3,2291,1535,845,538,307,110,7.4,155,NIL,0.2,42,880,107,6.550387596899225
2014-02-18 00:00:00,8.03,21,0.3,2305,1545,855,528,327,107,7.3,152,NIL,0.2,40,887,103,6.526717557251908
2014-02-19 00:00:00,8.08,22,0.3,2343,1570,865,538,327,115,7.2,160,NIL,0.2,38,894,105,6.7578125
2014-02-20 00:00:00,8.02,22,0.3,2328,1560,836,556,280,109,7.1,165,NIL,0.2,37,886,102,6.285714285714286
2014-02-21 00:00:00,8.05,20,0.3,2365,1585,840,560,280,107,7.2,155,NIL,0.2,36,880,104,6.5625
2014-02-22 00:00:00,8.05,20,0.3,2595,1738,985,680,305,110,7.1,165,NIL,0.2,35,894,104,7.519083969465649
2014-02-23 00:00:00,8.11,19,0.3,2529,1695,981,676,305,107,7,158,NIL,0.2,38,889,105,7.6640625
2014-02-24 00:00:00,8.14,15,0.3,2516,1686,972,672,300,162,7.1,155,NIL,0.2,35,880,107,7.476923076923077
2014-02-25 00:00:00,7.95,14,0.2,2373,1590,960,618,342,121,7.4,158,NIL,0.2,34,912,112,7.5
2014-02-26 00:00:00,8.12,21,0.3,2341,1569,976,622,354,110,7.6,130,NIL,0.2,31,965,119,7.625
2014-02-27 00:00:00,7.93,23,0.3,2985,2000,1030,663,367,132,7.8,165,NIL,0.2,35,998,127,7.984496124031008
2014-02-28 00:00:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MIN.,7.93,14,0.2,2208,1480,737,445,269,95,7,130,0,0.2,31,873,101,5.45925925925926
MAX.,8.23,24,0.3,2985,2000,1030,680,367,162,7.8,175,0,0.3,48,998,127,7.984496124031008
AVG.,8.069259259259262,20.77777777777778,0.2962962962962962,2351.814814814815,1578.2592592592594,875.3333333333334,554.3703703703703,320.962962962963,113.51851851851852,7.203703703703703,156.33333333333334,,0.2037037037037038,40.96296296296296,901.925925925926,106.4074074074074,6.701483568938312
No. of < Spec,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--
No. of > Spec,22,17,0,--,0,0,--,--,0,27,0,--,0,--,0,0,0
% < Specs.,0,--,0,--,--,--,--,--,--,0,,,,,,--,--
% > Specs.,81.48148148148148,62.96296296296296,0,,0,0,,--,0,100,0,,0,,0,0,0
