CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2,COC
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm,Based on TH
2014-01-01 00:00:00,8.06,26,0.4,2800,1960,728,445,283,110,7.6,170,NIL,0.2,58,881,98,5.6
2014-01-02 00:00:00,8.1,22,0.3,2814,1970,749,457,292,114,7.8,172,NIL,0.2,55,896,99,5.717557251908397
2014-01-03 00:00:00,8.08,22,0.4,2714,1900,728,444,284,106,7.9,170,NIL,0.2,50,841,97,5.6
2014-01-04 00:00:00,8.09,20,0.3,2642,1850,732,441,291,110,7.8,170,NIL,0.2,42,840,96,5.674418604651163
2014-01-05 00:00:00,8.11,25,0.3,2642,1850,728,449,279,106,7.8,180,NIL,0.2,52,848,98,5.6
2014-01-06 00:00:00,7.96,24,0.3,2731,1830,699,426,273,99,7.5,165,NIL,0.2,48,859,92,5.376923076923077
2014-01-07 00:00:00,8.1,20,0.3,2137,1496,665,405,260,95,7.3,180,NIL,0.2,43,832,87,5.32
2014-01-08 00:00:00,7.98,22,0.3,2447,1640,707,431,276,103,7.7,170,NIL,0.2,45,859,89,5.48062015503876
2014-01-09 00:00:00,7.96,15,0.3,2321,1625,736,449,287,106,7.5,168,NIL,0.2,32,869,98,5.75
2014-01-10 00:00:00,8.05,18,0.3,2257,1580,761,466,295,110,7.3,175,NIL,0.2,36,884,104,5.9921259842519685
2014-01-11 00:00:00,7.94,26,0.3,2388,1672,811,495,316,114,7.7,168,NIL,0.3,53,899,106,6.488
2014-01-12 00:00:00,7.96,22,0.3,2457,1720,807,491,316,105,7.4,165,NIL,0.2,46,884,110,6.255813953488372
2014-01-13 00:00:00,7.82,23,0.3,2514,1760,799,482,317,117,7.2,158,NIL,0.2,48,889,104,6.2421875
2014-01-14 00:00:00,7.98,24,0.3,2471,1730,836,528,308,106,7.3,165,NIL,0.2,52,896,105,6.582677165354331
2014-01-15 00:00:00,7.94,27,0.3,2612,1829,815,507,308,114,7.2,163,NIL,0.2,53,890,98,6.52
2014-01-16 00:00:00,7.97,28,0.2,2708,1896,882,538,344,110,7.2,165,NIL,0.2,58,902,103,6.890625
2014-01-17 00:00:00,8.14,32,0.3,2600,1820,915,558,357,121,7,182,NIL,0.2,75,918,109,7.2047244094488185
2014-01-18 00:00:00,8.05,46,0.3,2712,1899,948,578,370,117,7.3,170,NIL,0.2,89,926,112,7.40625
2014-01-19 00:00:00,8.1,63,0.3,2400,1680,944,574,370,121,7.2,175,NIL,0.2,101,930,110,7.044776119402985
2014-01-20 00:00:00,8.02,53,0.3,2284,1601,665,405,260,95,7.5,170,NIL,0.2,98,904,105,5.1953125
2014-01-21 00:00:00,8.05,48,0.3,2214,1550,699,426,273,99,7.6,172,NIL,0.2,96,911,102,5.503937007874016
2014-01-22 00:00:00,8.05,40,0.3,2185,1530,688,420,268,103,7.5,180,NIL,0.2,82,906,99,5.292307692307692
2014-01-23 00:00:00,8.11,36,0.3,2200,1540,792,453,339,99,7.6,18,NIL,0.2,73,891,96,6.1875
2014-01-24 00:00:00,8.14,27,0.3,2014,1410,659,402,257,95,7.1,172,NIL,0.2,56,878,92,5.108527131782946
2014-01-25 00:00:00,7.95,26,0.3,2064,1445,651,391,260,103,7.4,165,NIL,0.2,53,873,92,5.007692307692308
2014-01-26 00:00:00,8.12,28,0.3,2071,1450,642,424,218,92,7.2,178,NIL,0.2,58,879,92,5.219512195121951
2014-01-27 00:00:00,7.93,26,0.3,2114,1480,655,480,175,99,7,160,NIL,0.2,53,887,90,5.077519379844961
2014-01-28 00:00:00,8.14,24,0.2,2071,1450,700,427,273,95,7.1,180,NIL,0.2,50,897,98,5.384615384615385
2014-01-29 00:00:00,8.07,28,0.3,2071,1450,713,435,278,110,7,175,NIL,0.3,55,911,104,5.5271317829457365
2014-01-30 00:00:00,8.1,22,0.3,2100,1470,742,453,289,106,7.2,180,NIL,0.3,46,923,107,5.66412213740458
2014-01-31 00:00:00,8.05,20,0.3,2114,1480,721,440,281,103,7.3,172,Nil,0.2,42,904,110,5.340740740740741
MIN.,7.82,15,0.2,2014,1410,642,391,175,92,7,18,0,0.2,32,832,87,5.007692307692308
MAX.,8.14,63,0.4,2814,1970,948,578,370,121,7.9,182,0,0.3,101,930,112,7.40625
AVG.,8.036129032258065,28.483870967741936,0.3,2382.8709677419356,1663.3225806451612,752.1612903225806,461.93548387096774,290.2258064516129,105.90322580645162,7.393548387096774,166.2258064516129,,0.2096774193548388,58,887.3225806451613,100.06451612903226,5.846955402606393
No. of < Spec,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--
No. of > Spec,20,26,0,--,0,0,--,--,0,31,0,--,0,--,0,0,0
% < Specs.,0,--,0,--,--,--,--,--,--,0,,,,,,--,--
% > Specs.,64.51612903225806,83.87096774193547,0,,0,0,,--,0,100,0,,0,,0,0,0
