CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Ortho PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2,COC
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm,Based on TH
2013-06-01 00:00:00,7.91,54,0.2,2550,1782,663,412,251,139,7.6,170,NIL,0.2,103,928,108,5.61864406779661
2013-06-02 00:00:00,7.87,48,0.2,2622,1836,659,334,325,146,7.7,168,NIL,0.2,101,933,93,5.632478632478633
2013-06-03 00:00:00,8.01,36,0.2,2442,1710,704,317,387,157,7.6,180,NIL,0.2,98,938,112,5.966101694915254
2013-06-04 00:00:00,8.09,42,0.2,2371,1660,659,305,354,150,7.6,185,NIL,0.2,100,921,108,5.491666666666666
2013-06-05 00:00:00,7.92,30,0.2,2228,1560,638,329,309,135,7.5,172,NIL,0.2,86,908,110,5.316666666666666
2013-06-06 00:00:00,7.98,31,0.2,2192,1535,618,321,297,128,7.5,180,NIL,0.2,88,918,107,5.237288135593221
2013-06-07 00:00:00,7.9,27,0.2,2282,1598,634,342,292,132,7.5,170,NIL,0.2,76,925,111,5.283333333333333
2013-06-08 00:00:00,7.94,26,0.2,2157,1510,618,330,288,125,7.6,172,NIL,0.2,55,908,104,5.237288135593221
2013-06-09 00:00:00,7.8,22,0.2,2138,1497,615,377,238,125,7.5,160,NIL,0.2,53,909,102,5.168067226890757
2013-06-10 00:00:00,7.85,22,0.2,2285,1600,618,346,272,121,7.5,165,NIL,0.2,51,902,100,5.19327731092437
2013-06-11 00:00:00,7.88,23,0.2,2407,1650,659,367,292,128,7.4,168,NIL,0.2,48,918,104,5.53781512605042
2013-06-12 00:00:00,7.8,25,0.2,2350,1645,700,383,317,139,7.5,160,NIL,0.2,52,931,107,5.982905982905983
2013-06-13 00:00:00,7.95,20,0.2,2157,1510,618,396,222,132,7.6,172,NIL,0.2,43,915,108,5.237288135593221
2013-06-14 00:00:00,7.98,25,0.2,2321,1625,626,350,276,128,7.5,180,NIL,0.2,46,903,105,5.305084745762712
2013-06-15 00:00:00,8.07,25,0.2,2460,1722,679,370,309,132,7.6,185,NIL,0.2,48,928,109,5.658333333333333
2013-06-16 00:00:00,7.89,25,0.2,2462,1724,659,305,354,128,7.6,175,NIL,0.2,51,915,107,5.53781512605042
2013-06-17 00:00:00,,,,,,,,,,,,,,,,,
2013-06-18 00:00:00,,,,,,,,,,,,,,,,,
2013-06-19 00:00:00,,,,,,,,,,,,,,,,,
2013-06-20 00:00:00,,,,,,,,,,,,,,,,,
2013-06-21 00:00:00,,,,,,,,,,,,,,,,,
2013-06-22 00:00:00,,,,,,,,,,,,,,,,,
2013-06-23 00:00:00,7.9,25,0,1114,780,391,206,185,89,5,168,NIL,0.2,53,314,60,3.4
2013-06-24 00:00:00,7.8,42,0,1514,1060,486,247,239,103,10,160,NIL,0.2,67,456,73,4.189655172413793
2013-06-25 00:00:00,7.8,39,0.2,1600,1120,474,268,206,110,8,162,NIL,0.2,63,501,81,4.051282051282051
2013-06-26 00:00:00,7.84,45,0.2,1732,1213,535,288,247,135,7.5,165,NIL,0.2,76,536,90,4.612068965517241
2013-06-27 00:00:00,7.9,40,0.2,1714,1200,515,280,235,132,7.4,172,NIL,0.2,72,672,93,4.401709401709402
2013-06-28 00:00:00,7.8,30,0.2,1857,1300,638,329,309,150,7.2,160,NIL,0.2,55,723,95,5.5
2013-06-29 00:00:00,7.96,33,0.2,2042,1430,650,337,313,160,7.3,175,NIL,0.2,50,773,97,5.603448275862069
2013-06-30 00:00:00,7.76,30,0.2,1975,1383,659,342,317,168,7.5,160,NIL,0.2,47,779,93,5.632478632478633
,,,,,,,,,,,,,,,,,
MIN.,7.76,20,0,1114,780,391,206,185,89,5,160,0,0.2,43,314,60,3.4
MAX.,8.09,54,0.2,2622,1836,704,412,387,168,10,185,0,0.2,103,938,112,5.982905982905983
AVG.,7.900000000000001,31.875,0.18333333333333338,2123.8333333333335,1485.4166666666667,613.125,328.375,284.75,133,7.529166666666666,170.16666666666666,,0.20000000000000007,65.91666666666667,810.5833333333334,99.04166666666667,5.199779034159084
No. of < Spec,0,--,2,--,--,--,--,--,--,0,--,--,--,--,--,--,--
No. of > Spec,3,23,0,--,0,0,--,--,0,23,0,--,0,--,0,0,0
% < Specs.,0,--,8.333333333333334,--,--,--,--,--,--,0,,,,,,--,--
% > Specs.,12.5,95.83333333333334,0,,0,0,,--,0,95.83333333333334,0,,0,,0,0,0
